physics_tag,opes_barrier,opes_pace,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,neff_frac_median,round_trips_median
b1_h2_w2_n10_a1.5,3,250,2,0.13678,0.13403,0.13954,0.51816,0.793,560901.0
b1_h2_w2_n10_a1.5,3,500,2,0.14217,0.14127,0.14308,0.52756,0.803,553622.0
b1_h2_w2_n10_a1.5,4,250,2,0.14011,0.13854,0.14168,0.50231,0.725,640076.0
b1_h2_w2_n10_a1.5,4,500,2,0.13289,0.12946,0.13632,0.47703,0.745,625024.0
b1_h2_w2_n10_a1.5,6,250,2,0.13993,0.13929,0.14056,0.48193,0.642,701589.0
b1_h2_w2_n10_a1.5,6,500,2,0.14489,0.14442,0.14536,0.49053,0.672,683339.0
b1_h2_w2_n10_a1.5,8,250,2,0.1449,0.14264,0.14716,0.50172,0.591,721138.0
b1_h2_w2_n10_a1.5,8,500,2,0.13308,0.1319,0.13427,0.46617,0.639,717405.0
b2_h6_w2_n10_a1.5,3,250,2,0.31721,0.3099,0.32451,1.62449,0.305,7474.0
b2_h6_w2_n10_a1.5,3,500,2,0.32455,0.32367,0.32543,1.64734,0.306,7323.0
b2_h6_w2_n10_a1.5,4,250,2,0.10232,0.10138,0.10325,0.96523,0.29,26376.0
b2_h6_w2_n10_a1.5,4,500,2,0.10598,0.1059,0.10606,0.96556,0.274,25282.0
b2_h6_w2_n10_a1.5,6,250,2,0.10509,0.10414,0.10603,0.83636,0.191,205482.0
b2_h6_w2_n10_a1.5,6,500,2,0.10371,0.10365,0.10377,0.8875,0.163,177451.0
b2_h6_w2_n10_a1.5,8,250,2,0.13347,0.13345,0.1335,0.99027,0.087,315341.0
b2_h6_w2_n10_a1.5,8,500,2,0.1385,0.13601,0.14099,1.32615,0.084,213716.0
b4_h1_w2_n10_a1.5,3,250,2,0.02142,0.01924,0.0236,0.08071,0.195,352650.0
b4_h1_w2_n10_a1.5,3,500,2,0.02127,0.01939,0.02315,0.07785,0.189,260954.0
b4_h1_w2_n10_a1.5,4,250,2,0.03143,0.03111,0.03176,0.11279,0.088,309635.0
b4_h1_w2_n10_a1.5,4,500,2,0.0206,0.02008,0.02112,0.10602,0.083,182452.0
b4_h1_w2_n10_a1.5,6,250,2,0.04332,0.04323,0.0434,0.30027,0.042,148220.0
b4_h1_w2_n10_a1.5,6,500,2,0.10834,0.09346,0.12323,0.53502,0.048,29188.0
b4_h1_w2_n10_a1.5,8,250,2,0.13216,0.12778,0.13654,0.72602,0.04,47655.0
b4_h1_w2_n10_a1.5,8,500,2,0.21256,0.1978,0.22732,0.87877,0.046,6723.0
