physics_tag,opes_best_barrier,opes_best_pace,opes_best_sigma,opes_l2_f,opes_l2_fp,abf_l2_f,abf_l2_fp,mfr_l2_f,mfr_l2_fp,opes_vs_abf_pct,opes_vs_mfr_pct,n_opes_seeds,stage_used
b1_h2_w2_n10_a1.5,4,500,0.05,0.13333,0.48052,0.08784,0.32838,0.04306,0.2648,-51.8,-209.7,10,representative
b1_h4_w2_n10_a1.5,4,500,0.05,0.19443,0.72844,0.09265,0.34864,0.04842,0.27247,-109.8,-301.5,10,representative
b2_h4_w2_n10_a1.5,4,500,0.05,0.06579,0.36067,0.01544,0.09594,0.02138,0.09715,-326.0,-207.8,10,representative
b2_h6_w2_n10_a1.5,4,500,0.05,0.10993,0.98609,0.02648,0.16374,0.01836,0.15144,-315.2,-498.8,10,representative
b4_h1_w2_n10_a1.5,4,500,0.05,0.02184,0.08562,0.00531,0.02764,0.02418,0.06889,-311.4,9.7,10,representative
b4_h2_w2_n10_a1.5,4,500,0.05,0.04754,0.38009,0.00884,0.0461,0.03004,0.08707,-437.5,-58.2,10,representative
