run_id,study,stage,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_estimator,l2_f,l2_fp,l2_f_reweight,l2_fp_reweight,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_ref,n_barrier_crossings,n_round_trips,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,had_nan,runtime_seconds,physics_tag
representative__opes__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__b4_p500_s0.05_ginf__5b280e967faf,opes_wca,representative,opes,opes,0.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.18410618153148822,0.7220554646373578,0.1628555466854199,1.555528576174616,86.96569613244016,0.11476925668070061,0.7211813789889124,0.29265922172272246,0.5610202169966289,861499.0,430459.0,0.6499903677357184,0.37754432024866613,160.0,3.0402965545654297,0.0,160.67437682766467,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__b4_p500_s0.05_ginf__571df6b61e60,opes_wca,representative,opes,opes,1.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.1959515686429183,0.731436804283203,0.16087919744031376,1.5246451894371122,91.66717016851896,0.1218842450306237,0.7627364264616191,0.2778718618943204,0.5490123137841978,855177.0,427303.0,0.6484631548245404,0.37667157086674197,160.0,3.0446341037750244,0.0,142.3648420581594,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__b4_p500_s0.05_ginf__b1974fc3ea00,opes_wca,representative,opes,opes,2.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.20534780322121857,0.7444595790412364,0.16544431346371705,1.5530390742428795,97.2557469853858,0.11659134541933654,0.7635148607523042,0.29792139903216563,0.5664256375281183,851935.0,425658.0,0.6462253469741187,0.36847876680670727,160.0,3.0484182834625244,0.0,137.70035140402615,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__b4_p500_s0.05_ginf__7129a7e2991c,opes_wca,representative,opes,opes,3.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.20116507384120036,0.733600540879782,0.16068224669788603,1.5269268386971309,89.05107897185249,0.12096133481457622,0.7295126972317497,0.28915614712034915,0.5641317814957789,869594.0,434500.0,0.6428659214801358,0.36017659937847724,160.0,3.070329189300537,0.0,147.26907379366457,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed4__N1024__T120000__b4_p500_s0.05_ginf__958a2625f0df,opes_wca,representative,opes,opes,4.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.1922771076008723,0.7432168653768384,0.16230783606516888,1.5786078449273182,87.08762497369294,0.11396026180906757,0.755293057144729,0.31265854855248887,0.567859054728793,846699.0,423043.0,0.6472699063528936,0.3655585296224728,160.0,3.0494461059570312,0.0,142.8874950958416,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed5__N1024__T120000__b4_p500_s0.05_ginf__dea83642d0f2,opes_wca,representative,opes,opes,5.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.19492161100807534,0.714183293157494,0.16278738320944042,1.5293326761151627,88.7289951366223,0.11197282530810967,0.7247874243366786,0.3045109342591318,0.5753746520207935,893859.0,446633.0,0.6483309105738841,0.3680597346299329,160.0,3.0469870567321777,0.0,137.92380058858544,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed6__N1024__T120000__b4_p500_s0.05_ginf__b7ec9bc5ac6a,opes_wca,representative,opes,opes,6.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.1865958489370916,0.7046403256460597,0.15320992394059318,1.5288950863904602,93.7670616789427,0.10959191500767923,0.6820878858655227,0.30457271986889783,0.5436151916266714,865359.0,432388.0,0.6421959096084763,0.36387495747818066,160.0,3.0257439613342285,0.0,141.37290034163743,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed7__N1024__T120000__b4_p500_s0.05_ginf__8816e812dee4,opes_wca,representative,opes,opes,7.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.18905218401121746,0.7254519862965919,0.15626336185532622,1.5820669241855303,87.31104198492451,0.11380168975201399,0.7117270543290367,0.27914635921752795,0.5776026772796213,846806.0,423099.0,0.6498947622874784,0.370262618382401,160.0,3.0261223316192627,0.0,143.1567739872262,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed8__N1024__T120000__b4_p500_s0.05_ginf__a4158f325346,opes_wca,representative,opes,opes,8.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.1939452109238644,0.7212452059395843,0.1618679362502717,1.5156299587215105,90.22001414959183,0.11212578800231283,0.7171499544462585,0.29169937388211414,0.5631028343240978,868953.0,434182.0,0.6465956068052586,0.3692577760569127,160.0,3.042609930038452,0.0,137.8112715613097,b1_h4_w2_n10_a1.5
representative__opes__b1_h4_w2_n10_a1.5__seed9__N1024__T120000__b4_p500_s0.05_ginf__31e4592b14e8,opes_wca,representative,opes,opes,9.0,120000.0,1024.0,122880000.0,1.0,4.0,2.0,10.0,100.0,1.5,4.0,4.0,500.0,0.05,inf,meanforce,0.205534193862187,0.763042283130812,0.16650211348260566,1.5638226304662595,91.44975818612116,0.12383315824557636,0.7875559245974878,0.28601254756864497,0.5378828851312493,821688.0,410562.0,0.6493199446907104,0.37185552272345207,160.0,3.0153231620788574,0.0,141.98350247740746,b1_h4_w2_n10_a1.5
