rank_within_target,selected,method,target_type,gamma,eta,burnin_fraction,fr_every,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_mean_fr_event_fraction,passed_safety,n_seeds
1,True,abf_only,none,0.0,0.075,0.0,1,15.91035585335706,0.013688331632008,0.0717832788274096,0.0,True,5
1,True,abf_fr_estimated,estimated,0.1,0.075,0.0,5,14.081111206279628,0.0126394139727194,0.0771296723289129,1.5800503492755526e-05,True,5
2,False,abf_fr_estimated,estimated,0.05,0.15,0.4,5,14.58694283671768,0.0145047824280686,0.0729977352470154,4.417085695725594e-06,True,5
3,False,abf_fr_estimated,estimated,0.05,0.1,0.0,5,14.64769277958001,0.0135610255711321,0.0773558706852271,7.35025166250125e-06,True,5
4,False,abf_fr_estimated,estimated,0.02,0.1,0.0,5,14.720626526953254,0.012398737118458,0.072502957406892,2.9000001813983544e-06,True,5
5,False,abf_fr_estimated,estimated,0.02,0.075,0.2,5,14.777090896066005,0.013021369383148,0.0751653133325394,2.625000161060598e-06,True,5
6,False,abf_fr_estimated,estimated,0.05,0.075,0.4,5,14.828638917420564,0.0151045309930977,0.0717842079858921,5.417085768992062e-06,True,5
7,False,abf_fr_estimated,estimated,0.1,0.15,0.4,5,14.837200126865866,0.0135293172463779,0.0737321271326297,8.16834220434733e-06,True,5
8,False,abf_fr_estimated,estimated,0.05,0.15,0.0,5,14.961284405510424,0.0134133792355628,0.0774370924201394,6.750251650373684e-06,True,5
9,False,abf_fr_estimated,estimated,0.01,0.15,0.0,5,14.964203000469976,0.0128111205903069,0.0728256278541433,1.350000088677916e-06,True,5
10,False,abf_fr_estimated,estimated,0.05,0.075,0.0,5,14.9953813322079,0.0135080571117314,0.0787017526602758,8.0502517585046e-06,True,5
11,False,abf_fr_estimated,estimated,0.02,0.075,0.4,5,15.004838123018654,0.0129854732750663,0.0689206711604792,2.2500001402174047e-06,True,5
12,False,abf_fr_estimated,estimated,0.01,0.1,0.2,5,15.186212133361918,0.0126346805196996,0.0778846762271893,1.1250000738982636e-06,True,5
13,False,abf_fr_estimated,estimated,0.01,0.075,0.4,5,15.24662204164353,0.011973576338127,0.0672525303029562,1.0833334044946242e-06,True,5
14,False,abf_fr_estimated,estimated,0.01,0.1,0.0,5,15.308105612786209,0.0153287393553663,0.067995297350599,1.500000098531018e-06,True,5
15,False,abf_fr_estimated,estimated,0.1,0.15,0.2,5,15.361538634490143,0.0139931543977965,0.0819630401392977,1.0062814612865623e-05,True,5
16,False,abf_fr_estimated,estimated,0.01,0.15,0.4,5,15.36911851359396,0.0145437255072085,0.0771958556989335,8.337521497499741e-07,True,5
17,False,abf_fr_estimated,estimated,0.02,0.15,0.2,5,15.46346677788028,0.0133127061382351,0.0707086116924981,1.6875001108473952e-06,True,5
18,False,abf_fr_estimated,estimated,0.02,0.1,0.4,5,15.51182474828633,0.0141718238529187,0.0746683458261947,1.916666792567412e-06,True,5
19,False,abf_fr_estimated,estimated,0.02,0.15,0.4,5,15.546000110179245,0.0150543818991318,0.0736910823587111,1.7500001149528544e-06,True,5
20,False,abf_fr_estimated,estimated,0.05,0.1,0.4,5,15.567865195269794,0.0126862356866446,0.0756368439123519,4.5837523581819065e-06,True,5
21,False,abf_fr_estimated,estimated,0.05,0.1,0.2,5,15.56935394990979,0.0130510228265759,0.0730685376046661,6.313128540114121e-06,True,5
22,False,abf_fr_estimated,estimated,0.05,0.15,0.2,5,15.658326840640186,0.0121921850499077,0.0738626659510436,5.625000341069608e-06,True,5
23,False,abf_fr_estimated,estimated,0.01,0.075,0.0,5,15.725307877652885,0.0140848594849533,0.0781725760434918,1.700000111668487e-06,True,5
24,False,abf_fr_estimated,estimated,0.01,0.1,0.4,5,15.784878845185442,0.0128807559940222,0.0733729826086592,1.0833334044946242e-06,True,5
25,False,abf_fr_estimated,estimated,0.02,0.075,0.0,5,15.836929160689932,0.0135624183641672,0.0764418054645717,3.200000205652032e-06,True,5
26,False,abf_fr_estimated,estimated,0.01,0.15,0.2,5,15.867338270268888,0.0130693463065426,0.0800074684233293,1.0625000697928043e-06,True,5
27,False,abf_fr_estimated,estimated,0.1,0.15,0.0,5,15.883102680994185,0.0128311583909947,0.0774605208874518,1.2550754522635543e-05,True,5
28,False,abf_fr_estimated,estimated,0.01,0.075,0.2,5,15.921778448586403,0.0146438478032414,0.0774316474438464,1.3125000862146407e-06,True,5
29,False,abf_fr_estimated,estimated,0.1,0.1,0.2,5,16.024733040193684,0.0186232180995276,0.1001475712389818,1.0875314671920933e-05,True,5
30,False,abf_fr_estimated,estimated,0.02,0.1,0.2,5,16.13365622662046,0.0131770863155524,0.0712888971249811,2.3753142158966512e-06,True,5
