run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,2,0.05,0.075,0.0,5,0.0136714970290143,0.0814907013279845,14.83270686937264,41.79728940682183,0.0294230556383488,0.0294223695034667,518025,872,7.000754153523303e-06,0.0010000000474974,False,0.341,0.172,0.328,14.137531733512878,518025
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,3,0.05,0.075,0.0,5,0.0135080571117314,0.0787017526602758,15.76808996494269,42.39252851326018,0.0246604677426436,0.0246603136451603,505325,839,9.65050307513593e-06,0.0020000000949949,False,0.334,0.175,0.333,14.137531733512878,505325
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,4,0.05,0.075,0.0,5,0.0120324702262647,0.0728715516770864,15.93308946387623,43.28322501332477,0.0267555623620843,0.0267571365382538,523992,867,7.650251709492296e-06,0.0010000000474974,False,0.333,0.18,0.312,14.137531733512878,523992
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0,0.1,0.075,0.0,5,0.0176749090641443,0.0957052143259262,17.759326740245196,43.11103167039621,0.0292414577583943,0.0292408333902934,453074,746,1.610075481949025e-05,0.0020000000949949,False,0.334,0.156,0.329,14.137531733512878,453074
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,1,0.1,0.075,0.0,5,0.0115501331708052,0.0678766058056641,13.699998173438662,31.82146427843001,0.0287523287407837,0.0287472623672835,443131,743,1.6250001017397153e-05,0.0020000000949949,False,0.326,0.151,0.356,14.137531733512878,443131
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,2,0.1,0.075,0.0,5,0.0164357228293767,0.0870049294142387,15.91109920444742,43.01061356389488,0.0249680495919919,0.0249675027994538,502174,759,1.5800503492755526e-05,0.0020000000949949,False,0.334,0.18,0.329,14.137531733512878,502174
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,3,0.1,0.075,0.0,5,0.0126394139727194,0.0771296723289129,14.081111206279628,37.14598932956522,0.0286070834229509,0.0286067660171396,483510,771,1.4551005951943808e-05,0.0020000000949949,False,0.32,0.157,0.328,14.137531733512878,483510
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,4,0.1,0.075,0.0,5,0.0114271283109813,0.0697171290467872,13.766937973843982,34.688298338145664,0.0281975641916907,0.0281975088589121,465009,748,1.5450503506144743e-05,0.0020000000949949,False,0.319,0.173,0.333,14.137531733512878,465009
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0,0.01,0.075,0.2,5,0.0137425095019043,0.0623130402207482,15.911281768619345,36.96382560001377,0.0259337861523865,0.0259358394005651,489670,980,1.2500000821091817e-06,0.0010000000474974,False,0.342,0.174,0.325,13.4513916015625,489670
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,1,0.01,0.075,0.2,5,0.0147411371708485,0.0869676822221856,15.921778448586403,40.67892955207286,0.0340861008078352,0.0340900973815894,475474,979,1.3125000862146407e-06,0.0010000000474974,False,0.334,0.181,0.32,13.4513916015625,475474
