method,target_type,median_final_l2_Fprime,iqr_final_l2_Fprime,median_final_l2_F,iqr_final_l2_F,median_integrated_l2_F,iqr_integrated_l2_F,prob_beats_abf,median_barrier_crossings,median_fr_event_fraction
abf_only,none,0.0717832788274096,0.005418316412429,0.013688331632008,0.0012305605619876009,15.91035585335706,1.587404590585754,,486431.0,0.0
abf_fr_estimated,estimated,0.0672525303029562,0.008270082602376203,0.011973576338127,0.0004145603355427997,15.24662204164353,1.2119706589249848,0.8,505884.0,1.0833334044946242e-06
abf_fr_uniform,uniform,0.0680301069935279,0.013738773174812896,0.0118011113378734,0.002616090639103001,14.97090992512817,1.1768544164116594,0.6,479310.0,7.250000421663571e-06
abf_fr_oracle,oracle,0.0602371305578991,0.0089631986599535,0.0113176817292962,0.0008112211189664001,13.267515252650862,1.1130761613928186,1.0,475842.0,1.6651006130814495e-05
