step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,hold_max,n_clones,cooldown_until,row,seed
10000,A3,0.0,31,True,0.2515083631287425,0.0,26,66.0,False,,3.139336917562724,694.0,26.0,10694.0,0,5200
10000,A3,0.0,31,True,0.40136601809066647,0.0,24,100.0,False,,2.4520609318996414,694.0,24.0,10694.0,1,5201
10000,A3,0.0,31,True,0.2931697195355734,0.0,28,90.0,False,,2.9847670250896057,694.0,28.0,10694.0,2,5202
10000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.1416666666666666,,,,3,5203
10000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,2.534259259259259,,,,4,5204
10000,A3,0.0,31,False,0.0,0.0,0,0.0,False,,3.763888888888889,,,,5,5205
10000,A3,0.0,28,False,0.0,0.0,0,0.0,False,,2.9123015873015876,,,,6,5206
10000,A3,0.16537574994637516,32,True,0.3036445284508168,0.0,30,96.0,False,,3.03125,694.0,30.0,10694.0,7,5207
10000,A3,0.0,31,True,0.2446145819708939,0.0,32,82.0,False,,3.28584229390681,648.0,32.0,10648.0,8,5208
10000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,5.736111111111111,,,,9,5209
10000,A3,0.0,29,False,0.0,0.0,0,0.0,False,,2.4813218390804597,,,,10,5210
10000,A3,0.0,27,False,0.0,0.0,0,0.0,False,,3.608230452674897,,,,11,5211
10000,A3,0.0,29,False,0.0,0.0,0,0.0,False,,2.67911877394636,,,,12,5212
10000,A3,0.0,28,False,0.0,0.0,0,0.0,False,,2.607936507936508,,,,13,5213
10000,A3,0.0,29,False,0.0,0.0,0,0.0,False,,3.343869731800766,,,,14,5214
10000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.6875,,,,15,5215
10500,A3,0.0943155873211214,32,False,0.0,0.0,0,0.0,True,,,,,,0,5200
10500,A3,0.1513707316278958,32,False,0.0,0.0,0,0.0,True,,,,,,1,5201
10500,A3,0.13320078646759653,32,False,0.0,0.0,0,0.0,True,,,,,,2,5202
10500,A3,0.0,29,False,0.0,0.0,0,0.0,False,,3.217911877394636,,,,3,5203
10500,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.0949074074074074,,,,4,5204
10500,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.595833333333333,,,,5,5205
10500,A3,0.0,30,False,0.0,0.0,0,0.0,False,,2.7004629629629635,,,,6,5206
10500,A3,0.15350088794931666,32,False,0.0,0.0,0,0.0,True,,,,,,7,5207
10500,A3,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,8,5208
10500,A3,0.0,30,False,0.0,0.0,0,0.0,False,,4.524074074074074,,,,9,5209
10500,A3,0.0,31,True,0.17086927577256136,0.0,26,80.0,False,,2.418906810035842,704.0,26.0,11204.0,10,5210
10500,A3,0.0,29,False,0.0,0.0,0,0.0,False,,4.524904214559387,,,,11,5211
10500,A3,0.0,31,False,0.0,0.0,0,0.0,False,,3.650537634408602,,,,12,5212
10500,A3,0.0,28,False,0.0,0.0,0,0.0,False,,3.5277777777777777,,,,13,5213
10500,A3,0.0,31,True,0.2332958804846399,0.0,22,62.0,False,,2.236111111111111,694.0,22.0,11194.0,14,5214
10500,A3,0.0,30,False,0.0,0.0,0,0.0,False,,4.321759259259259,,,,15,5215
11000,A3,0.0,31,True,0.21581504998733286,0.0,27,82.0,False,,2.8158602150537635,694.0,27.0,11694.0,0,5200
11000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,2.3578703703703705,,,,1,5201
11000,A3,0.0,31,False,0.09951518914802703,0.0,0,0.0,False,,1.6689068100358424,,,,2,5202
11000,A3,0.0,30,True,0.4228567105506762,0.0,27,78.0,False,,2.7962962962962963,694.0,27.0,11694.0,3,5203
11000,A3,0.0,29,False,0.0,0.0,0,0.0,False,,3.132183908045977,,,,4,5204
11000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.475925925925926,,,,5,5205
11000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,2.926851851851852,,,,6,5206
11000,A3,0.11413961142031326,32,True,0.3371807817965795,0.0,24,70.0,False,,2.296875,704.0,24.0,11704.0,7,5207
11000,A3,0.0,30,False,0.17190974921113988,0.0,0,0.0,False,,1.611111111111111,,,,8,5208
11000,A3,0.0,30,True,0.4146925416554379,0.0,36,92.0,False,,4.4564814814814815,694.0,36.0,11694.0,9,5209
11000,A3,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,10,5210
11000,A3,0.0,29,False,0.0,0.0,0,0.0,False,,3.5656130268199235,,,,11,5211
11000,A3,0.0,31,True,0.21982971333367402,0.0,29,86.0,False,,3.4802867383512543,694.0,29.0,11694.0,12,5212
11000,A3,0.0,30,False,0.0,0.0,0,0.0,False,,3.4513888888888884,,,,13,5213
11000,A3,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,14,5214
11000,A3,0.0,30,True,0.2329827969148404,0.0,33,114.0,False,,3.258796296296296,704.0,33.0,11704.0,15,5215
11500,A3,0.10085117418166778,32,False,0.0,0.0,0,0.0,True,,,,,,0,5200
11500,A3,0.0,31,True,0.14342826634865946,0.0,18,60.0,False,,2.091845878136201,694.0,18.0,12194.0,1,5201
11500,A3,0.0,31,False,0.0,0.0,0,0.0,False,,2.341845878136201,,,,2,5202
11500,A3,0.1940141560651582,32,False,0.0,0.0,0,0.0,True,,,,,,3,5203
11500,A3,0.0,31,False,0.0,0.0,0,0.0,False,,2.921146953405018,,,,4,5204
11500,A3,0.0,29,False,0.0,0.0,0,0.0,False,,2.578065134099617,,,,5,5205
11500,A3,0.0,31,False,0.0,0.0,0,0.0,False,,3.899641577060932,,,,6,5206
11500,A3,0.10323578486771115,32,False,0.0,0.0,0,0.0,True,,,,,,7,5207
