arm,n_seeds,pct,ci95,ci90,wins,median_metric,abf_metric,ess_frac,max_anc_frac,round_trips,repl
fr_estimated,16,-22.831995672030104,"[-25.4164242559172, -17.33511655551801]","[-25.24538975854305, -17.74069388023924]",16,30.99020340594609,39.96634765259229,0.17010118852951633,0.01904296875,789828.0,2179.0
sham_practical,16,2.5959872228909,"[-0.6541355631406027, 9.222893989309014]","[0.025877653526793127, 8.884088242960619]",5,41.31585449878504,39.96634765259229,0.1964863503694781,0.01708984375,779993.0,2179.0
fr_oracle,16,-17.458737274111705,"[-21.666931058355196, -12.511830532759948]","[-20.468682442127864, -14.002822956255613]",15,32.63823323999384,39.96634765259229,0.20517722023098367,0.0166015625,787935.0,1774.0
sham_oracle,16,3.2340778482076358,"[-3.06764745623729, 6.057181979646057]","[-1.908626010429613, 5.783016957402866]",6,40.39926955234156,39.96634765259229,0.22690016673900534,0.0146484375,779408.5,1774.0
