cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_Fp_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,low_support_fraction_med,median_support_med,n_transitions_med,n_round_trips_med,fd_compact_med,fd_intermediate_med,fd_extended_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_frac_compact_med,final_frac_extended_med,dist_cond_tv_weighted_med,dist_cond_kl_weighted_med,dist_cond_basin_err_weighted_med,dist_cond_support_fraction_med,final_neff_frac_med,final_n_kernels_med,final_l2_F_reweight_med,final_quarter_decrease_med,norm_final_l2_F_med,fr_event_fraction_med,max_fr_event_fraction_med,n_fr_applications_med,deaths_per_application_med,n_seeds
opes_tuning_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,opes_tuning,opes,opes,1024.0,3.503626580433729,108.02307040435757,13.049146554550187,421.6381061790018,2.375869020594073,3.7939617808557613,0.2845744680851064,175512.4685363628,4791.5,0.0,-1.0,-1.0,-1.0,0.0,,,,0.0,0.90478515625,0.19499142075352946,1.0210673117640743,0.13329062695689964,0.75,0.9296957600506235,99.0,3.728711463455876,0.037832658512880285,0.35220109342352507,,,,,4
opes_tuning_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,opes_tuning,opes_b16s05,opes,1024.0,4.312442609904494,135.45637085195165,15.109468268716762,484.17346839136087,2.375869020594073,4.918457454068598,0.30851063829787234,931782.8439448071,14380.0,0.0,-1.0,-1.0,-1.0,0.0,,,,0.00048828125,0.25732421875,0.21188350865165942,1.122122290920624,0.13162459390722037,0.75,0.4637663516435021,71.0,5.0610308935522035,0.061940710436051066,0.43350710118957325,,,,,4
opes_tuning_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,opes_tuning,opes_b16s10,opes,1024.0,4.324184832225425,125.96991946911488,14.236919334165492,442.08366701832324,2.375869020594073,4.46493241036224,0.3484042553191489,106785.00141931561,66068.5,0.0,-1.0,-1.0,-1.0,0.0,,,,0.00146484375,0.90185546875,0.19978941765256364,1.4096014937419716,0.1432766191596898,0.75,0.926276263155954,99.0,4.711822485187422,0.007755828177092089,0.4346874848422575,,,,,4
opes_tuning_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,opes_tuning,opes_b24s10,opes,1024.0,4.352437283249154,126.76803552066963,14.268257086710705,442.64142203741756,2.375869020594073,4.497353635498403,0.3670212765957447,108167.65560414296,59402.0,0.0,-1.0,-1.0,-1.0,0.0,,,,0.00146484375,0.900390625,0.20036357910029556,1.4446708631637373,0.1412505316997439,0.75,0.9251479781551404,99.0,4.741456668426327,0.007139036697930715,0.4375275546710519,,,,,4
opes_tuning_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,opes_tuning,opes_b8s05,opes,1024.0,3.207614796905834,101.38248456384667,12.713732977714276,419.1702019760658,2.375869020594073,3.5337149359651097,0.3723404255319149,699783.6332574557,162980.5,0.0,-1.0,-1.0,-1.0,0.0,,,,0.0,0.34912109375,0.15909482843739797,0.8545952999116155,0.11273355321820136,0.75,0.525632067484616,71.0,4.027537503291173,0.04123754366229741,0.32244459071658815,,,,,4
production_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,production,abf,abf,1024.0,1.4996397337265281,101.0724948863501,10.223249509054076,497.0359322501856,4.270347917931112,2.293937063046757,0.22340425531914893,5543877.9809134845,4845591.0,9087.5,3491.5,767.5,0.0,0.0,,,,0.21435546875,0.10205078125,0.07225226095446333,0.27829512392509703,0.02518552442491672,0.8333333333333334,,,,0.16045437220425202,0.1507508696587358,,,,,8
production_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,production,fr_active,fr_estimated,1024.0,2.01489577793248,109.44174539251347,11.327259339859761,516.1323833256404,4.270347917932268,2.483116256241037,0.08244680851063829,5102538.466899406,4423052.5,6132.0,3491.5,767.5,0.0,623.5,66.22760856241592,66.22760856241592,0.0615234375,0.1796875,0.2587890625,0.08689370134127618,0.35586703847923185,0.038871744761301105,0.8333333333333334,,,,0.06367515762926534,0.20254684106044576,4.476779051172708e-05,6.39120346297837e-05,13601.0,0.04584221748400853,8
production_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,production,fr_estimated,fr_estimated,1024.0,1.5316899677236786,101.84136079186882,10.276121540053218,498.59864567673884,4.270347917932821,2.318304525532425,0.21808510638297873,5523141.852948281,4831709.5,8997.5,3491.5,767.5,0.0,101.0,806.1488772278165,806.1488772278165,0.0087890625,0.21435546875,0.10595703125,0.07246820706579557,0.28147364427258476,0.025036344817563408,0.8333333333333334,,,,0.15585814817490673,0.1539727105710395,7.251879457392838e-06,1.203479227329451e-05,13601.0,0.007425924564370266,8
production_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,production,fr_oracle,fr_oracle,1024.0,1.5330676664421086,102.05692872705815,10.276909565999325,499.0652087471923,4.270347917932053,2.3239782523781383,0.21808510638297873,5530417.3581583835,4833162.5,8977.5,3491.5,767.5,0.0,97.5,808.5207622906769,808.5207622906769,0.0078125,0.212890625,0.10888671875,0.07227573465827236,0.28109731845441643,0.025104243182406838,0.8333333333333334,,,,0.15616395668808578,0.15411120335384604,7.000576703918829e-06,1.203479227329451e-05,13601.0,0.007168590544812881,8
production_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,production,fr_uniform,fr_uniform,1024.0,1.5331974688419676,102.0569943338403,10.27726294482098,499.06553450302533,4.2703479179324475,2.323980434950493,0.21808510638297873,5530196.712685104,4833153.0,8979.0,3491.5,767.5,0.0,97.5,808.5207622906769,808.5207622906769,0.0078125,0.212890625,0.10888671875,0.07227666997323576,0.2811219996236933,0.025098839587078214,0.8333333333333334,,,,0.15617883140084401,0.15412425170420813,7.000576703918829e-06,1.203479227329451e-05,13601.0,0.007168590544812881,8
