cell,name,final_l2_F,integrated_l2_F,n_transitions,n_round_trips,final_ancestor_ess,fr_event_fraction,dist_cond_tv_weighted,low_support_fraction,final_neff_frac
opes_tuning_dist_pentane_b2_trans_g256,opes,3.503626580433729,108.02307040435757,4791.5,0.0,,,0.19499142075352946,0.2845744680851064,0.9296957600506235
opes_tuning_dist_pentane_b2_trans_g256,opes_b16s05,4.312442609904494,135.45637085195165,14380.0,0.0,,,0.21188350865165942,0.30851063829787234,0.4637663516435021
opes_tuning_dist_pentane_b2_trans_g256,opes_b16s10,4.324184832225425,125.96991946911488,66068.5,0.0,,,0.19978941765256364,0.3484042553191489,0.926276263155954
opes_tuning_dist_pentane_b2_trans_g256,opes_b24s10,4.352437283249154,126.76803552066963,59402.0,0.0,,,0.20036357910029556,0.3670212765957447,0.9251479781551404
opes_tuning_dist_pentane_b2_trans_g256,opes_b8s05,3.207614796905834,101.38248456384667,162980.5,0.0,,,0.15909482843739797,0.3723404255319149,0.525632067484616
production_dist_pentane_b2_trans_g256,abf,1.4996397337265281,101.0724948863501,4845591.0,9087.5,,,0.07225226095446333,0.22340425531914893,
production_dist_pentane_b2_trans_g256,fr_active,2.01489577793248,109.44174539251347,4423052.5,6132.0,66.22760856241592,4.476779051172708e-05,0.08689370134127618,0.08244680851063829,
production_dist_pentane_b2_trans_g256,fr_estimated,1.5316899677236786,101.84136079186882,4831709.5,8997.5,806.1488772278165,7.251879457392838e-06,0.07246820706579557,0.21808510638297873,
production_dist_pentane_b2_trans_g256,fr_oracle,1.5330676664421086,102.05692872705815,4833162.5,8977.5,808.5207622906769,7.000576703918829e-06,0.07227573465827236,0.21808510638297873,
production_dist_pentane_b2_trans_g256,fr_uniform,1.5331974688419676,102.0569943338403,4833153.0,8979.0,808.5207622906769,7.000576703918829e-06,0.07227666997323576,0.21808510638297873,
production_dist_pentane_b2_trans_g256,opes,3.3193051348243845,141.32725281841473,12039.0,0.0,,,0.192476754055053,0.2712765957446808,0.9123466729979895
runlength_dist_pentane_b2_trans_g256,abf,1.3642128571287393,155.341587529503,9996934.0,18679.5,,,0.10387026409476623,0.2845744680851064,
tuning_dist_pentane_b2_trans_g256,abf,1.7025277951438427,83.15970344693235,3540329.0,6691.0,,,0.07554681496671362,0.19680851063829788,
tuning_dist_pentane_b2_trans_g256,fr_r0005,1.7085911187300544,83.30114683092864,3538306.5,6677.5,992.0311622844704,1.7291493073638162e-06,0.07579759873522066,0.19680851063829788,
tuning_dist_pentane_b2_trans_g256,fr_r002,1.7191850776140214,83.57604526268977,3530515.0,6625.5,890.1426911912647,7.170883892302885e-06,0.07608061609001701,0.19680851063829788,
tuning_dist_pentane_b2_trans_g256,fr_r005,1.777781837649384,84.49932541893757,3504409.5,6455.0,636.9171450996993,1.8766355718154357e-05,0.07745043078837113,0.19148936170212766,
tuning_dist_pentane_b2_trans_g256,fr_r010,1.9303003516773007,85.94280074541194,3419270.0,5680.0,175.08896927964378,3.8448143422560146e-05,0.08254956210154502,0.15691489361702127,
tuning_dist_pentane_b2_trans_g256,opes,3.5036265804337234,108.02307040435748,4791.5,0.0,,,0.19499142075352946,0.2845744680851064,0.9296957600506239
