cell,method,verdict,rel_final,rel_final_lo,rel_final_hi,rel_integrated,win_rate_final,geneal_ok,event_ok,basin_ok
production_dist_pentane_b2_trans_g256,fr_active,harmful,0.3280901741785123,0.28016317029754223,0.3432995358068437,0.08071926242861048,0.0,False,True,True
production_dist_pentane_b2_trans_g256,fr_estimated,equivalent,0.020334707939890555,0.016319480426845025,0.023854413238113527,0.006863977989207954,0.0,True,True,True
production_dist_pentane_b2_trans_g256,fr_oracle,equivalent,0.02009255058007657,0.01658674824687788,0.026601245884055994,0.007397189778987394,0.0,True,True,True
production_dist_pentane_b2_trans_g256,fr_uniform,equivalent,0.020069577272933355,0.016651332646752115,0.026642830102054177,0.007399816936934553,0.0,True,True,True
production_dist_pentane_b2_trans_g256,opes,harmful,1.1798643978170287,1.0916149717578645,1.3063088648931216,0.3962898822890061,0.0,True,True,True
tuning_dist_pentane_b2_trans_g256,fr_r0005,equivalent,0.002617292879630998,0.00041903548849642284,0.005818433003184494,0.00083062101594851,0.25,True,True,True
tuning_dist_pentane_b2_trans_g256,fr_r002,equivalent,0.01260317617508758,0.007618191281603471,0.024487832446581433,0.0036931041450989463,0.0,True,True,True
tuning_dist_pentane_b2_trans_g256,fr_r005,equivalent,0.04410446195717134,0.026375549358355718,0.06678363933777451,0.009864393890704903,0.0,True,True,True
tuning_dist_pentane_b2_trans_g256,fr_r010,harmful,0.13371865509355235,0.12400499139045332,0.16898002086917202,0.026735682313462624,0.0,False,True,True
tuning_dist_pentane_b2_trans_g256,opes,harmful,1.0581246658689785,0.9579576775806354,1.1361059106335716,0.29271933429874886,0.0,True,True,True
