kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,final_neff_frac,final_n_kernels,final_l2_F_reweight,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application
dist,pentane,opes,opes,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes__trans__b2__N1024__T60000__ns4__70b0719c28b1,751.3635391332209,101,3.518913776908596,109.351510175417,13.030123238457973,423.46945668768967,2.375869020594073,3.8869964126186947,0.2872340425531915,176073.7551478372,4928,0,-1,-1,-1,0,,,,0.0,0.90234375,0.19484520831469077,1.0132318925056207,0.13631038760710906,0.75,0.9299218296106841,99.0,3.732766347447021,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.042201081595526185,0.35373783462302866,,,,
dist,pentane,opes,opes,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes__trans__b2__N1024__T60000__ns4__70b0719c28b1,751.3635391332209,102,3.488339383958862,107.06994541362731,13.0681698706424,420.44267445882275,2.375869020594073,3.7567719884357413,0.28191489361702127,174951.1819248884,4655,0,-1,-1,-1,0,,,,0.0,0.9072265625,0.19513763319236815,1.0289027310225278,0.12806557933956236,0.75,0.9294696904905628,99.0,3.7246565794647313,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.03317251173999267,0.3506643522240215,,,,
dist,pentane,opes,opes,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes__trans__b2__N1024__T60000__ns4__70b0719c28b1,751.3635391332209,103,3.340018297615222,103.48371903293511,12.790363558106492,412.0668572703843,2.375869020594073,3.6122843983993604,0.26595744680851063,205533.37782546133,7763,0,-1,-1,-1,0,,,,0.0,0.8955078125,0.19294917438850268,1.0036137231600712,0.13027086630669021,0.75,0.9194992982307558,99.0,3.625639559818384,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.037943310524545595,0.3357544160225647,,,,
dist,pentane,opes,opes,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes__trans__b2__N1024__T60000__ns4__70b0719c28b1,751.3635391332209,104,3.5453934725252845,108.97619539508783,13.222562746999833,422.83353789918084,2.375869020594073,3.8311515732757813,0.2872340425531915,156472.84762709867,4183,0,-1,-1,-1,0,,,,0.0,0.9228515625,0.20066221423526598,1.0429790645059542,0.15696197709906118,0.75,0.936179601200537,99.0,3.7678848665969262,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.03772200650121498,0.356399698704607,,,,
dist,pentane,opes,opes_b16s05,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s05__trans__b2__N1024__T60000__ns4__8a8f401bc13a,687.1991414129734,101,4.3672789058680435,136.6124613831911,15.217988644140386,487.95135278147177,2.375869020594073,4.929938336881231,0.30851063829787234,880676.7068336153,12671,0,-1,-1,-1,0,,,,0.0,0.2626953125,0.21257614148752813,1.12415071956572,0.13382067599833464,0.75,0.4760878910312971,71.0,5.073541109638191,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.06229735082529012,0.43901950468186185,,,,
dist,pentane,opes,opes_b16s05,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s05__trans__b2__N1024__T60000__ns4__8a8f401bc13a,687.1991414129734,102,4.29557519026288,134.6405968963702,15.0801849967854,483.61145046560074,2.375869020594073,4.9069765712559645,0.30851063829787234,950433.802652329,15172,0,-1,-1,-1,0,,,,0.0,0.251953125,0.21151817652306915,1.119069593393769,0.13057572921757626,0.75,0.4588097070465687,71.0,5.053694826257954,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.06158407004681202,0.4318115084930837,,,,
dist,pentane,opes,opes_b16s05,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s05__trans__b2__N1024__T60000__ns4__8a8f401bc13a,687.1991414129734,103,4.329310029546109,135.88782409260466,15.138751540648125,484.73548631712094,2.375869020594073,4.937523754918832,0.31382978723404253,913131.8852372853,13588,0,-1,-1,-1,0,,,,0.0009765625,0.2685546875,0.2122488407802497,1.120093862275528,0.13079337167127691,0.75,0.46872299624043545,71.0,5.068366960846454,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.06048590133099263,0.43520269388606286,,,,
dist,pentane,opes,opes_b16s05,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s05__trans__b2__N1024__T60000__ns4__8a8f401bc13a,687.1991414129734,104,4.250673050435632,135.02491761129866,14.983632644497321,482.7942541684928,2.375869020594073,4.892636182785069,0.2925531914893617,958507.7969470584,16589,0,-1,-1,-1,0,,,,0.0009765625,0.232421875,0.21114498827860143,1.124260374629915,0.13245581614316385,0.75,0.44338325834545167,71.0,5.031741576388354,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.06356719736425999,0.4272977333001078,,,,
dist,pentane,opes,opes_b16s10,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s10__trans__b2__N1024__T60000__ns4__b5f43477aa8b,697.1161711718887,101,4.3499684363375986,127.047855560676,14.28564481610717,445.5284175406158,2.375869020594073,4.494282531150272,0.3404255319148936,103742.09941131926,67087,0,-1,-1,-1,0,,,,0.0048828125,0.900390625,0.2048368767901116,1.5145091883392638,0.1416750533221577,0.75,0.9268776976639406,99.0,4.707327495728528,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.006891079275671844,0.4372793745177784,,,,
dist,pentane,opes,opes_b16s10,trans,2.0,2.3,False,opes_tuning,60000,1024,opes_tuning__dist__pentane__opes_b16s10__trans__b2__N1024__T60000__ns4__b5f43477aa8b,697.1161711718887,102,4.298401228113252,126.33402999166273,14.188193852223813,442.80503458895123,2.375869020594073,4.446467306777649,0.35638297872340424,112198.31290834142,65050,0,-1,-1,-1,0,,,,0.0009765625,0.9033203125,0.1923945585866334,1.3071501953546085,0.13864552162433072,0.75,0.9256748286479675,99.0,4.716317474646318,opes_tuning_dist_pentane_b2_trans_g256,9.947801542514195,0.012039219345890938,0.4320955951667366,,,,
