init,seed,d_int_0.07,d_fin_0.07,d_int_0.0175,d_fin_0.0175,d_int_raw,d_fin_raw,min_ess_frac_fr,wmax_fr,d_frozen
left,400,-11.442,14.011,-33.195,-66.988,-35.449,-69.872,0.3643,0.0142,-0.852
left,401,-14.896,15.643,-30.638,-45.947,-32.346,-49.812,0.3940,0.0127,1.061
left,402,-6.498,13.158,-21.288,-44.778,-22.155,-47.859,0.4136,0.0093,14.173
left,403,-16.573,9.677,-34.764,-70.602,-35.845,-73.006,0.3733,0.0137,-18.365
left,404,-16.583,3.312,-32.294,-55.412,-32.159,-58.259,0.4503,0.0088,-30.300
left,405,-18.696,9.488,-36.398,-71.068,-36.208,-75.593,0.4039,0.0098,-14.345
left,406,-10.271,16.567,-23.969,-42.432,-25.874,-45.152,0.4075,0.0161,-7.410
left,407,-18.636,4.370,-36.105,-67.560,-36.535,-69.576,0.3880,0.0083,-21.119
left,408,-3.625,9.095,-28.236,-71.589,-27.855,-74.624,0.3972,0.0103,-19.022
left,409,-20.009,16.769,-35.501,-57.463,-38.200,-61.651,0.3303,0.0200,4.144
left,410,-7.822,9.249,-29.210,-75.522,-32.258,-79.742,0.3717,0.0146,-21.709
left,411,-12.219,4.861,-29.350,-56.064,-29.905,-58.100,0.3491,0.0142,-14.897
left,412,-20.437,0.191,-38.764,-61.121,-39.808,-63.647,0.3587,0.0186,-27.115
left,413,-11.540,17.919,-26.767,-42.431,-29.319,-45.917,0.4433,0.0117,3.909
left,414,-8.696,7.226,-29.938,-70.996,-31.375,-75.291,0.3681,0.0103,-14.621
left,415,-5.981,4.186,-30.707,-75.668,-31.958,-78.794,0.4667,0.0068,-22.446
one_right,400,-9.436,18.224,-35.531,-60.729,-40.037,-64.481,0.2503,0.0278,-5.679
one_right,401,-9.181,10.015,-37.213,-71.283,-38.877,-75.831,0.4000,0.0122,-19.901
one_right,402,3.462,12.169,-24.600,-58.440,-29.757,-63.406,0.4099,0.0132,-3.709
one_right,403,-18.992,7.967,-37.158,-59.158,-37.906,-63.806,0.3409,0.0142,-8.359
one_right,404,-13.219,22.442,-39.605,-53.184,-41.904,-57.819,0.4149,0.0122,-14.546
one_right,405,-28.278,9.333,-46.123,-29.860,-46.539,-33.390,0.3443,0.0176,8.096
one_right,406,0.196,12.639,-31.702,-63.756,-33.070,-69.048,0.3761,0.0161,1.478
one_right,407,-9.652,9.309,-24.884,-55.998,-24.821,-59.230,0.3984,0.0127,4.693
one_right,408,-17.246,7.769,-41.011,-62.429,-41.609,-64.412,0.3503,0.0127,-19.538
one_right,409,-10.013,7.998,-27.928,-63.467,-27.785,-65.775,0.3955,0.0132,-11.858
one_right,410,-3.449,3.301,-29.201,-57.740,-30.185,-60.566,0.4096,0.0098,-16.141
one_right,411,1.770,23.043,-19.153,-41.275,-22.606,-46.742,0.3772,0.0132,20.667
one_right,412,-6.608,8.183,-34.706,-52.105,-39.417,-52.166,0.3949,0.0127,12.079
one_right,413,-5.839,1.714,-33.626,-64.689,-34.426,-68.720,0.3971,0.0137,-33.987
one_right,414,-11.897,8.830,-32.100,-59.602,-31.801,-63.406,0.3163,0.0195,-18.965
one_right,415,1.572,2.789,-22.140,-58.169,-26.971,-60.293,0.3966,0.0122,-25.255
