step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,hold_max,n_clones,cooldown_until,row,seed
11500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.959608760415212,,,,4,5204
11500,A4a,0.0,29,False,0.0,0.0,0,0.0,False,,4.098321888839131,,,,5,5205
11500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,5.497265279523344,,,,6,5206
11500,A4a,0.1587203464593297,32,False,0.0,0.0,0,0.0,True,,,,,,7,5207
11500,A4a,0.10964540887134756,32,False,0.0,0.0,0,0.0,True,,,,,,8,5208
11500,A4a,0.12274966739418289,32,False,0.0,0.0,0,0.0,True,,,,,,9,5209
11500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,3.348920076339431,,,,10,5210
11500,A4a,0.0,31,True,0.45994114983796736,0.0,38,106.0,False,,5.039320625610948,678.0,38.0,12178.0,11,5211
11500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,12,5212
11500,A4a,0.0,31,True,0.42457082493253184,0.0,32,84.0,False,,3.343210910952847,648.0,32.0,12148.0,13,5213
11500,A4a,0.0,31,False,0.2025789021351433,0.0,0,0.0,False,,1.7386794209374858,,,,14,5214
11500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,15,5215
12000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,0,5200
12000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,1,5201
12000,A4a,0.0,31,False,0.26786053611007726,0.0,0,0.0,False,,1.722712144486338,,,,2,5202
12000,A4a,0.217320481970721,32,True,0.2627107259619079,0.0,17,40.0,False,,2.1171266233766235,678.0,17.0,12678.0,3,5203
12000,A4a,0.2236831737526456,32,True,0.6252382015049125,0.0,34,162.0,False,,3.885841675685426,716.0,34.0,12716.0,4,5204
12000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.6494300144300142,,,,5,5205
12000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.081107154494251,,,,6,5206
12000,A4a,0.13234519464335726,32,False,0.15574108959480243,0.0,0,0.0,False,,1.7358867694805193,,,,7,5207
12000,A4a,0.0,31,False,0.15765264963287168,0.0,0,0.0,False,,1.8286936182097475,,,,8,5208
12000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.3920382395382394,,,,9,5209
12000,A4a,0.0,31,True,0.22264070062599425,0.0,15,30.0,False,,2.1982462877624163,576.0,15.0,12576.0,10,5210
12000,A4a,0.10879446504683242,32,False,0.0,0.0,0,0.0,True,,,,,,11,5211
12000,A4a,0.0,29,False,0.0,0.0,0,0.0,False,,2.4270301537542918,,,,12,5212
12000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,13,5213
12000,A4a,0.0,31,False,0.33105627742266047,0.0,0,0.0,False,,1.9539705813899362,,,,14,5214
12000,A4a,0.0,31,False,0.2169627575904766,0.0,0,0.0,False,,1.3779779360424522,,,,15,5215
12500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.4365091002187775,,,,0,5200
12500,A4a,0.0,30,True,0.2686658419256657,0.0,18,40.0,False,,3.136749639249639,632.0,18.0,13132.0,1,5201
12500,A4a,0.122369141268161,32,True,0.1535178120790578,0.0,10,20.0,False,,2.006864402958153,504.0,10.0,13004.0,2,5202
12500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,3,5203
12500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,4,5204
12500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.2525577200577205,,,,5,5205
12500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,4.418523328523329,,,,6,5206
12500,A4a,0.0483520125232812,32,True,0.26535920332370905,0.0,20,44.0,False,,3.950804924242424,632.0,20.0,13132.0,7,5207
12500,A4a,0.0,31,True,0.2264615809498191,0.0,18,36.0,False,,2.4577863892380027,538.0,18.0,13038.0,8,5208
12500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.2608934971838197,,,,9,5209
12500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,10,5210
12500,A4a,0.11931813950735344,32,True,0.29912799549248953,0.0,20,52.0,False,,3.044445571789322,678.0,20.0,13178.0,11,5211
