init,seed,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw,PRIMARY_dI_0.0175,PRIMARY_dF_0.0175,S1_dI_0.0175,S1_dF_0.0175,S2_dI_0.0175,S2_dF_0.0175,S3_dI_0.0175,S3_dF_0.0175,S4_dI_0.0175,S4_dF_0.0175,S5_dI_0.0175,S5_dF_0.0175,S6_dI_0.0175,S6_dF_0.0175,V_F0_dI_0.0175,V_F0_dF_0.0175,V_T0_dI_0.0175,V_T0_dF_0.0175,V_Fc_dI_0.0175,V_Fc_dF_0.0175,V_Tc_dI_0.0175,V_Tc_dF_0.0175,V_Pc_dI_0.0175,V_Pc_dF_0.0175,S7_dI_0.0175,S7_dF_0.0175,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw
left,800,-46.917,-9.621,-4.121,13.473,-44.636,-20.352,-21.512,-78.312,-56.156,-83.368,-80.303,-12.241,-64.423,10.183,-39.369,-76.655,-4.974,17.850,-56.546,-82.726,-58.337,-80.399,-84.540,-80.967,-28.330,-26.005,-46.339,-1.115,-4.335,10.891,-43.907,-10.827,-22.894,-79.602,-57.448,-83.235,-80.093,-2.225,-64.510,9.646,-39.478,-72.074,-2.764,20.316,-56.749,-81.810,-58.624,-79.829,-84.650,-80.056,-28.537,-34.864,-46.917,-9.621,-4.121,13.473,-44.636,-20.352,-21.512,-78.312,-56.156,-83.368,-80.303,-12.241,-64.423,10.183,-39.369,-76.655,-4.974,17.850,-56.546,-82.726,-58.337,-80.399,-84.540,-80.967,-28.330,-26.005
left,801,-34.727,-7.381,-18.799,2.252,-19.615,-9.421,-33.363,-75.925,-59.445,-82.845,-73.448,-1.973,-66.969,8.223,-43.885,-74.954,7.252,29.975,-46.434,-78.193,-56.504,-77.702,-82.306,-76.400,-4.542,-12.933,-33.893,4.577,-18.882,12.195,-18.505,-6.790,-34.863,-77.432,-60.213,-82.238,-72.766,9.823,-66.582,17.824,-42.889,-69.049,8.225,32.877,-46.917,-78.964,-56.940,-76.399,-82.261,-75.215,-7.051,-32.034,-34.727,-7.381,-18.799,2.252,-19.615,-9.421,-33.363,-75.925,-59.445,-82.845,-73.448,-1.973,-66.969,8.223,-43.885,-74.954,7.252,29.975,-46.434,-78.193,-56.504,-77.702,-82.306,-76.400,-4.542,-12.933
left,802,-36.936,-13.953,0.046,7.372,-36.965,-19.861,-24.917,-74.965,-58.189,-84.199,-77.601,-17.238,-64.466,3.273,-30.251,-45.996,13.250,36.331,-52.671,-79.937,-52.650,-78.458,-83.182,-79.281,-32.144,-62.850,-36.552,-4.072,-1.425,2.621,-35.635,-6.522,-26.378,-77.555,-59.710,-84.624,-76.690,-4.013,-63.785,2.684,-28.887,-42.013,15.938,40.030,-52.613,-79.019,-53.288,-78.469,-82.839,-78.455,-33.364,-63.817,-36.936,-13.953,0.046,7.372,-36.965,-19.861,-24.917,-74.965,-58.189,-84.199,-77.601,-17.238,-64.466,3.273,-30.251,-45.996,13.250,36.331,-52.671,-79.937,-52.650,-78.458,-83.182,-79.281,-32.144,-62.850
left,803,-20.022,-10.947,-9.299,28.322,-11.822,-30.602,-41.837,-76.554,-50.909,-80.516,-71.284,-7.143,-67.434,33.804,-32.767,-46.308,-5.241,7.160,-48.713,-83.729,-53.482,-79.121,-83.298,-78.229,-23.717,-69.696,-19.975,3.714,-9.720,19.860,-11.358,-13.471,-40.958,-78.864,-51.586,-80.108,-71.033,7.919,-67.321,24.720,-31.196,-43.741,-2.408,10.198,-47.664,-81.711,-52.751,-78.079,-82.897,-77.190,-23.935,-67.492,-20.022,-10.947,-9.299,28.322,-11.822,-30.602,-41.837,-76.554,-50.909,-80.516,-71.284,-7.143,-67.434,33.804,-32.767,-46.308,-5.241,7.160,-48.713,-83.729,-53.482,-79.121,-83.298,-78.229,-23.717,-69.696
left,804,-8.929,7.091,-26.435,15.266,23.796,-7.092,-45.036,-79.495,-61.929,-81.851,-64.788,-12.668,-71.556,-6.001,-9.106,-50.161,31.480,20.990,-31.957,-80.950,-49.944,-78.042,-80.646,-82.093,-25.140,-61.776,-7.525,19.967,-25.345,16.624,23.869,2.866,-45.596,-80.680,-62.452,-81.290,-64.339,-0.633,-71.210,-3.401,-9.500,-46.588,33.991,23.876,-32.610,-80.126,-49.690,-76.822,-80.599,-80.802,-25.536,-62.792,-8.929,7.091,-26.435,15.266,23.796,-7.092,-45.036,-79.495,-61.929,-81.851,-64.788,-12.668,-71.556,-6.001,-9.106,-50.161,31.480,20.990,-31.957,-80.950,-49.944,-78.042,-80.646,-82.093,-25.140,-61.776
left,805,-27.551,-24.489,-16.482,14.069,-13.254,-33.803,-34.999,-72.407,-52.374,-78.917,-72.562,-25.122,-68.370,13.113,-26.161,-67.853,-1.121,-1.175,-43.615,-81.734,-52.908,-79.164,-82.165,-79.339,-23.638,-43.180,-26.525,-16.482,-15.174,10.229,-13.383,-24.233,-35.373,-73.945,-52.991,-78.545,-72.101,-13.454,-67.791,14.226,-25.100,-62.513,1.012,1.424,-44.022,-80.259,-52.516,-78.240,-81.970,-77.451,-25.263,-47.339,-27.551,-24.489,-16.482,14.069,-13.254,-33.803,-34.999,-72.407,-52.374,-78.917,-72.562,-25.122,-68.370,13.113,-26.161,-67.853,-1.121,-1.175,-43.615,-81.734,-52.908,-79.164,-82.165,-79.339,-23.638,-43.180
left,806,-34.287,-5.265,-19.736,2.737,-18.128,-7.789,-19.243,-76.784,-56.834,-83.593,-75.266,10.711,-69.789,20.062,-25.320,-66.635,22.940,34.051,-33.883,-78.592,-46.932,-78.006,-80.026,-74.297,-11.466,-35.838,-32.971,9.275,-19.452,9.075,-16.783,0.183,-22.417,-78.870,-57.660,-83.198,-74.527,22.580,-69.390,22.357,-26.627,-62.453,22.822,37.418,-35.438,-78.831,-47.997,-76.910,-80.237,-74.099,-12.009,-43.622,-34.287,-5.265,-19.736,2.737,-18.128,-7.789,-19.243,-76.784,-56.834,-83.593,-75.266,10.711,-69.789,20.062,-25.320,-66.635,22.940,34.051,-33.883,-78.592,-46.932,-78.006,-80.026,-74.297,-11.466,-35.838
left,807,-41.435,-8.696,-20.680,6.917,-26.166,-14.603,-30.714,-81.084,-62.444,-84.362,-76.455,-7.431,-68.111,8.398,-37.961,-79.081,8.044,10.440,-48.844,-83.846,-59.423,-82.729,-83.687,-82.490,-17.541,-22.781,-36.381,-1.567,-18.002,2.631,-22.414,-4.091,-32.985,-82.852,-62.533,-84.782,-74.956,8.285,-67.721,12.903,-36.307,-77.451,13.792,10.913,-48.006,-83.554,-57.366,-83.121,-83.216,-81.432,-18.367,-27.066,-41.435,-8.696,-20.680,6.917,-26.166,-14.603,-30.714,-81.084,-62.444,-84.362,-76.455,-7.431,-68.111,8.398,-37.961,-79.081,8.044,10.440,-48.844,-83.846,-59.423,-82.729,-83.687,-82.490,-17.541,-22.781
left,808,-40.787,-2.611,-2.295,12.161,-39.396,-13.170,-26.815,-81.871,-52.270,-81.282,-80.312,-2.228,-67.513,12.601,-41.533,-76.185,-9.208,-5.671,-55.647,-84.258,-56.665,-82.344,-85.591,-82.274,-24.140,-33.900,-40.482,15.874,-5.406,11.279,-37.080,4.130,-26.521,-83.922,-53.583,-80.803,-79.901,13.186,-68.056,8.697,-39.919,-73.990,-5.781,-2.951,-53.768,-83.258,-56.267,-81.369,-85.232,-81.802,-23.050,-35.631,-40.787,-2.611,-2.295,12.161,-39.396,-13.170,-26.815,-81.871,-52.270,-81.282,-80.312,-2.228,-67.513,12.601,-41.533,-76.185,-9.208,-5.671,-55.647,-84.258,-56.665,-82.344,-85.591,-82.274,-24.140,-33.900
left,809,-36.862,-1.419,-19.051,14.403,-22.003,-13.830,-20.707,-78.392,-55.862,-81.264,-76.882,-3.987,-70.361,11.423,-36.270,-72.969,13.426,13.690,-38.154,-81.380,-49.936,-78.699,-81.669,-79.254,-2.956,-31.117,-34.481,19.777,-20.573,18.744,-17.511,0.870,-24.597,-81.190,-57.362,-80.509,-75.291,15.611,-70.045,14.614,-34.128,-68.452,15.864,15.591,-37.801,-81.026,-50.597,-77.470,-81.369,-78.253,-5.577,-39.858,-36.862,-1.419,-19.051,14.403,-22.003,-13.830,-20.707,-78.392,-55.862,-81.264,-76.882,-3.987,-70.361,11.423,-36.270,-72.969,13.426,13.690,-38.154,-81.380,-49.936,-78.699,-81.669,-79.254,-2.956,-31.117
