seed,H,G_ideal
8000,55,0.05905051490557167
8000,250,0.17039269253425327
8000,600,0.2864993502800872
8000,1200,0.3966214468335453
8000,2325,0.493776117003461
8000,2350,0.49522228960914094
8000,6000,0.5960778794449044
8001,55,0.06616209769624626
8001,250,0.19577252778823773
8001,600,0.3281546389219444
8001,1200,0.44307673565106775
8001,2325,0.540132083920384
8001,2350,0.5415037511144172
8001,6000,0.630342352900689
8002,55,0.06838305777733866
8002,250,0.1985378056935002
8002,600,0.3326403046999523
8002,1200,0.44780310396620704
8002,2325,0.545243359462841
8002,2350,0.5466075010939043
8002,6000,0.6330909794113733
8003,55,0.06285154080055244
8003,250,0.1854465046100644
8003,600,0.31371819268934653
8003,1200,0.4288957759904646
8003,2325,0.5249803017659924
8003,2350,0.5263632383332997
8003,6000,0.6179570653215372
8004,55,0.07511059148428356
8004,250,0.2051013640855761
8004,600,0.3312686532948165
8004,1200,0.443372802656943
8004,2325,0.5370966508620671
8004,2350,0.5384398146857945
8004,6000,0.6260341358278084
8005,55,0.08926060808752123
8005,250,0.22963534052885826
8005,600,0.35940299386089614
8005,1200,0.4695728678068507
8005,2325,0.5605517206294552
8005,2350,0.5618239612560183
8005,6000,0.642256179692864
8006,55,0.05487883265284266
8006,250,0.16666074757870797
8006,600,0.2887045099622796
8006,1200,0.40352082655522914
8006,2325,0.5021050500504383
8006,2350,0.5035486664400025
8006,6000,0.6016826865369023
8007,55,0.07387799884947022
8007,250,0.20674683824790752
8007,600,0.3366083192152721
8007,1200,0.45060726276044083
8007,2325,0.5443883894733892
8007,2350,0.5457267598209569
8007,6000,0.6311371830651971
