seed,H,G_ideal
8000,49,0.04038215092681807
8000,250,0.14973574092323794
8000,600,0.2676326014682917
8000,1200,0.3827227890246597
8000,2350,0.4866819217955076
8000,2635,0.5025881564551666
8000,6000,0.5909755102174052
8001,49,0.06436957320528425
8001,250,0.21449125822809278
8001,600,0.3594414069186812
8001,1200,0.4772255120404919
8001,2350,0.5682965161035619
8001,2635,0.5809303552879145
8001,6000,0.6461467148792492
8002,49,0.0538321513870017
8002,250,0.18727930651945024
8002,600,0.32029963260700733
8002,1200,0.43689264550160967
8002,2350,0.5323035970064662
8002,2635,0.5460179111655221
8002,6000,0.6202431823504363
8003,49,0.057705867260988364
8003,250,0.18379637186464692
8003,600,0.31511476918863446
8003,1200,0.43260132560856246
8003,2350,0.5299819064982201
8003,2635,0.5441578859839744
8003,6000,0.6191095060848085
8004,49,0.05016552875957825
8004,250,0.17489187614049795
8004,600,0.30420143990219506
8004,1200,0.4209438880305799
8004,2350,0.521909473196857
8004,2635,0.5367587194014463
8004,6000,0.6148108789266091
8005,49,0.04841282172087569
8005,250,0.1745298449866165
8005,600,0.30347486874093776
8005,1200,0.4200059596917266
8005,2350,0.5204234200924867
8005,2635,0.5351815612540561
8005,6000,0.6146888143254743
8006,49,0.04984332738666164
8006,250,0.16415073217739207
8006,600,0.282929721623436
8006,1200,0.39601920047194583
8006,2350,0.4982922885110611
8006,2635,0.5137851798162956
8006,6000,0.5982886252726125
8007,49,0.055926821713774166
8007,250,0.18430912360554874
8007,600,0.31718033124194467
8007,1200,0.4344822446449894
8007,2350,0.5337117004319223
8007,2635,0.5481367450871424
8007,6000,0.6229522243499264
