cell,seed,arm,t,e_F,e_Fprime
K2,8000,abf,1.0,0.5812349934991563,1.5646207276551674
K2,8001,abf,1.0,0.6832822614057097,1.733241125158268
K2,8002,abf,1.0,0.7789853097710494,1.9757326175138534
K2,8003,abf,1.0,0.6448242384341919,1.6515074325950982
K2,8004,abf,1.0,0.6050497583582198,1.6144613530565064
K2,8005,abf,1.0,0.678547260753657,1.7725529786746987
K2,8006,abf,1.0,0.5883081544117703,1.5319130750817922
K2,8007,abf,1.0,0.6095019069983811,1.6363179558979943
K2,8000,abf,2.0,0.5174295709709031,1.425023147560412
K2,8001,abf,2.0,0.6512156010799443,1.6537174850624852
K2,8002,abf,2.0,0.6997808222584677,1.8184771015593293
K2,8003,abf,2.0,0.5768435391657435,1.499858671049199
K2,8004,abf,2.0,0.5618927415461341,1.5238433350094565
K2,8005,abf,2.0,0.6319454750213027,1.6633568688141582
K2,8006,abf,2.0,0.5590474655612208,1.3990956610257432
K2,8007,abf,2.0,0.5734655178069388,1.5516390698925
K2,8000,abf,3.0,0.4712661542620399,1.3110045961461712
K2,8001,abf,3.0,0.5959026536223311,1.5645957677105315
K2,8002,abf,3.0,0.6606159317834019,1.7422144346009572
K2,8003,abf,3.0,0.5470179572267394,1.424777025787451
K2,8004,abf,3.0,0.5133544191054068,1.4051172901033187
K2,8005,abf,3.0,0.5970044294519474,1.5741412654593359
K2,8006,abf,3.0,0.533129732388883,1.3362630495780057
K2,8007,abf,3.0,0.5508134093616779,1.4902367995810286
K2,8000,abf,4.0,0.45289197786162827,1.2672823379993756
K2,8001,abf,4.0,0.5675639518606215,1.5094778047836026
K2,8002,abf,4.0,0.6266118681234321,1.6682133724616695
K2,8003,abf,4.0,0.5221588783673123,1.3677218421797477
K2,8004,abf,4.0,0.4788434899564653,1.308514306436164
K2,8005,abf,4.0,0.5741102249768941,1.5169273748028562
K2,8006,abf,4.0,0.49889489658993713,1.2466483818920124
K2,8007,abf,4.0,0.5222329397223663,1.406365091395348
K2,8000,abf,5.0,0.43348407405346717,1.218275309956386
K2,8001,abf,5.0,0.5466566873794805,1.463893888419431
K2,8002,abf,5.0,0.5957744229221428,1.5991246458626334
K2,8003,abf,5.0,0.5082909992169076,1.3083147747308435
K2,8004,abf,5.0,0.4614017911938717,1.239606188204105
