cell,seed,j,C,a,V,pi_star,occ0,f_ref
K2,8000,0,22165.0,5.758094411151144e-32,0.002055976714209611,0.00390625,0.01171875,-20.001447663525564
K2,8000,1,25785.0,5.640582280311324e-32,0.0016110588015577393,0.00390625,0.00390625,-16.736926222184675
K2,8000,2,28578.0,3.6156014672276936e-06,0.002793003440849036,0.00390625,0.0,-14.119694821265368
K2,8000,3,34986.0,7.272868562147565e-05,0.006123380237788304,0.00390625,0.015625,-12.112613681448535
K2,8000,4,47787.0,0.00017841234520502852,0.01064123028005094,0.00390625,0.0234375,-10.612314324874749
K2,8000,5,73879.0,0.0002490952182237675,0.010350488002124653,0.00390625,0.0390625,-9.37970088141536
K2,8000,6,106483.0,0.00035289069444323373,0.004564170133468926,0.00390625,0.03125,-8.130169058873427
K2,8000,7,139940.0,0.0003948425611381609,0.0018577889955842465,0.00390625,0.08203125,-6.598728030372591
K2,8000,8,154363.0,0.0004941982548528808,0.0011782406894484503,0.00390625,0.05859375,-4.620588418274956
K2,8000,9,161813.0,0.0005099707143646579,0.0010495546767829037,0.00390625,0.06640625,-2.252863240698835
K2,8000,10,152262.0,0.0006023350264339747,0.0012267790439238952,0.00390625,0.04296875,0.22605911217101549
K2,8000,11,129621.0,0.0005944796779032567,0.002892344134704605,0.00390625,0.046875,2.355230571581429
K2,8000,12,93027.0,0.0006773010091865126,0.04197772343476869,0.00390625,0.03515625,3.6060840625782453
K2,8000,13,63462.0,0.0006483694517539563,0.16142437984433933,0.7037693420806526,0.02734375,3.275144141174126
K2,8000,14,64643.0,0.0007190962031104933,0.07609653637218647,0.00390625,0.00390625,0.6855115062732063
K2,8000,15,60789.0,0.0006716400359167596,0.004620523604157207,0.00390625,0.01953125,-0.08397731392047976
K2,8000,16,62011.0,0.0007277206082059181,0.004691300987465188,0.00390625,0.01953125,0.27399170958044256
K2,8000,17,59692.0,0.0006642914303916642,0.07560160144239197,0.00390625,0.0234375,-0.3699228766684197
K2,8000,18,62726.0,0.0007031742244727865,0.12023271463081592,0.17904315791934747,0.04296875,-2.9743058338938515
K2,8000,19,92656.0,0.0006263236351786695,0.016659212894437163,0.00390625,0.02734375,-3.436226280277556
K2,8000,20,110755.0,0.0006454570519110974,0.0019859295630539004,0.00390625,0.05078125,-2.215293491858746
K2,8000,21,114008.0,0.0005577366502777776,0.0011929600557520936,0.00390625,0.05078125,-0.11939669396034924
K2,8000,22,113379.0,0.0005545690905208532,0.001055295837503997,0.00390625,0.0390625,2.3566676671297633
K2,8000,23,111652.0,0.00045853047568898827,0.0011220675129074648,0.00390625,0.01953125,4.739356923226084
K2,8000,24,101707.0,0.0004305103403020531,0.0013895188489255977,0.00390625,0.03125,6.729879356794805
K2,8000,25,90980.0,0.0003287051114123004,0.002054734692406201,0.00390625,0.02734375,8.282174936728236
K2,8000,26,76675.0,0.0002732808012546973,0.0029781784841526413,0.00390625,0.03515625,9.536218308969232
K2,8000,27,59862.0,0.00016826055744771585,0.0036811585383153974,0.00390625,0.03125,10.762180863513906
K2,8000,28,47136.0,8.288047337878629e-05,0.00319251863859547,0.00390625,0.0390625,12.251816073352863
K2,8000,29,38579.0,3.615601467227656e-06,0.002220639611381833,0.00390625,0.03125,14.228240678469687
K2,8000,30,32066.0,0.0,0.001566733669833561,0.00390625,0.0078125,16.82835293200227
K2,8000,31,26533.0,0.0,0.0019318696003122033,0.00390625,0.015625,20.20578082012556
K2,8001,0,29548.0,5.758094411151144e-32,0.002055976714209611,0.00390625,0.00390625,-20.001447663525564
K2,8001,1,29877.0,5.640582280311324e-32,0.0016110588015577393,0.00390625,0.0,-16.736926222184675
K2,8001,2,30472.0,3.6156014672276936e-06,0.002793003440849036,0.00390625,0.0078125,-14.119694821265368
K2,8001,3,36801.0,7.272868562147565e-05,0.006123380237788304,0.00390625,0.015625,-12.112613681448535
K2,8001,4,46973.0,0.00017841234520502852,0.01064123028005094,0.00390625,0.00390625,-10.612314324874749
K2,8001,5,67387.0,0.0002490952182237675,0.010350488002124653,0.00390625,0.03515625,-9.37970088141536
K2,8001,6,96854.0,0.00035289069444323373,0.004564170133468926,0.00390625,0.03125,-8.130169058873427
K2,8001,7,124173.0,0.0003948425611381609,0.0018577889955842465,0.00390625,0.03125,-6.598728030372591
K2,8001,8,144698.0,0.0004941982548528808,0.0011782406894484503,0.00390625,0.078125,-4.620588418274956
K2,8001,9,153764.0,0.0005099707143646579,0.0010495546767829037,0.00390625,0.10546875,-2.252863240698835
K2,8001,10,147460.0,0.0006023350264339747,0.0012267790439238952,0.00390625,0.03125,0.22605911217101549
K2,8001,11,117637.0,0.0005944796779032567,0.002892344134704605,0.00390625,0.05078125,2.355230571581429
K2,8001,12,69986.0,0.0006773010091865126,0.04197772343476869,0.00390625,0.0390625,3.6060840625782453
K2,8001,13,38349.0,0.0006483694517539563,0.16142437984433933,0.8345909650254902,0.015625,3.275144141174126
K2,8001,14,34694.0,0.0007190962031104933,0.07609653637218647,0.048221534974509705,0.0,0.6855115062732063
K2,8001,15,36799.0,0.0006716400359167596,0.004620523604157207,0.00390625,0.0,-0.08397731392047976
K2,8001,16,38324.0,0.0007277206082059181,0.004691300987465188,0.00390625,0.01171875,0.27399170958044256
K2,8001,17,37750.0,0.0006642914303916642,0.07560160144239197,0.00390625,0.015625,-0.3699228766684197
K2,8001,18,45068.0,0.0007031742244727865,0.12023271463081592,0.00390625,0.0078125,-2.9743058338938515
K2,8001,19,87020.0,0.0006263236351786695,0.016659212894437163,0.00390625,0.0234375,-3.436226280277556
K2,8001,20,123333.0,0.0006454570519110974,0.0019859295630539004,0.00390625,0.03515625,-2.215293491858746
K2,8001,21,135689.0,0.0005577366502777776,0.0011929600557520936,0.00390625,0.046875,-0.11939669396034924
K2,8001,22,138251.0,0.0005545690905208532,0.001055295837503997,0.00390625,0.0625,2.3566676671297633
K2,8001,23,130546.0,0.00045853047568898827,0.0011220675129074648,0.00390625,0.03515625,4.739356923226084
K2,8001,24,116759.0,0.0004305103403020531,0.0013895188489255977,0.00390625,0.05078125,6.729879356794805
K2,8001,25,104618.0,0.0003287051114123004,0.002054734692406201,0.00390625,0.03515625,8.282174936728236
K2,8001,26,94839.0,0.0002732808012546973,0.0029781784841526413,0.00390625,0.05859375,9.536218308969232
K2,8001,27,83071.0,0.00016826055744771585,0.0036811585383153974,0.00390625,0.03515625,10.762180863513906
K2,8001,28,65681.0,8.288047337878629e-05,0.00319251863859547,0.00390625,0.0390625,12.251816073352863
K2,8001,29,56836.0,3.615601467227656e-06,0.002220639611381833,0.00390625,0.03125,14.228240678469687
K2,8001,30,51142.0,0.0,0.001566733669833561,0.00390625,0.0234375,16.82835293200227
K2,8001,31,45601.0,0.0,0.0019318696003122033,0.00390625,0.0390625,20.20578082012556
K2,8002,0,20774.0,5.758094411151144e-32,0.002055976714209611,0.00390625,0.0,-20.001447663525564
K2,8002,1,24564.0,5.640582280311324e-32,0.0016110588015577393,0.00390625,0.0,-16.736926222184675
K2,8002,2,26231.0,3.6156014672276936e-06,0.002793003440849036,0.00390625,0.0,-14.119694821265368
K2,8002,3,27104.0,7.272868562147565e-05,0.006123380237788304,0.00390625,0.0,-12.112613681448535
K2,8002,4,31431.0,0.00017841234520502852,0.01064123028005094,0.00390625,0.0078125,-10.612314324874749
K2,8002,5,49980.0,0.0002490952182237675,0.010350488002124653,0.00390625,0.01953125,-9.37970088141536
K2,8002,6,86911.0,0.00035289069444323373,0.004564170133468926,0.00390625,0.0546875,-8.130169058873427
