run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
representative__abf__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__41c87f7486f8,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.08544808654094914,0.3366500200026235,50.25812533109996,0.03891470622438213,0.3675253596306667,0.0837635680617696,nan,0.7653182839071111,1573256,786345,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.11549213714898,248.11926263850182,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__500faf73e602,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09466950947649523,0.34811975688272173,45.927749307837296,0.03934491037876847,0.3680739384514441,0.1247798454821796,nan,0.7378238499448055,1568266,783834,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,231.7137227645144,231.717427524738,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__7e6d4c605221,wca_representative,representative,sample,abf,abf,2,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.07976390397872671,0.31207174591807374,43.02039643230842,0.037973651253944404,0.3563154000882472,0.12452718884109565,nan,0.7865204806565222,1558460,778929,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,246.11556698661298,246.11935878824443,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__a5063e953ded,wca_representative,representative,sample,abf,abf,3,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.08677612771612113,0.35320341908958286,45.80204114721064,0.04184747072494903,0.37441265007066377,0.1215912469723267,nan,0.7613269145427954,1569291,784355,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,231.65190143324435,231.6556310839951,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed4__N1024__T120000__47dbc21e38f5,wca_representative,representative,sample,abf,abf,4,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09193631139091926,0.35569477545285294,48.8910997020173,0.04369778250319809,0.3864315216525975,0.1552104670411221,nan,0.7649233844258991,1558574,778973,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,245.22744298633188,245.23126120772213,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed5__N1024__T120000__d40873606585,wca_representative,representative,sample,abf,abf,5,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09980753144387303,0.3707137075622155,44.76541927317773,0.04710052269551851,0.41480731702395834,0.11278453952489588,nan,0.7733521496560007,1563211,781306,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,235.0792757673189,235.08301409892738,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed6__N1024__T120000__ac0f426e311c,wca_representative,representative,sample,abf,abf,6,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09337092544881849,0.34836582693911805,47.88856636256524,0.04240602907973349,0.37824547422846644,0.13391579084411379,nan,0.8070703461586279,1565502,782440,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,245.66527715325356,245.66906570550054,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed7__N1024__T120000__60b2548140b6,wca_representative,representative,sample,abf,abf,7,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.08819498176135794,0.3266059207892206,45.03591331429227,0.04466978415967567,0.37471149516903235,0.12976673237103306,nan,0.7525079465532324,1564458,781932,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,231.79574751202017,231.79942463338375,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed8__N1024__T120000__798c8d87e7c1,wca_representative,representative,sample,abf,abf,8,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09434477475613524,0.35034381900249856,50.908101837118515,0.044662299443168546,0.3870068433378968,0.12153903125011961,nan,0.8067354649869198,1565000,782198,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,247.5510270446539,247.554851626046,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed9__N1024__T120000__3b75d2291046,wca_representative,representative,sample,abf,abf,9,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09768076777851868,0.3489223545134333,45.18510049588424,0.046736370883329686,0.39818600193248294,0.09480490197663324,nan,0.7624070816092768,1562448,780936,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,222.39039055630565,222.39403475821018,b1_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed0__N1024__T120000__962c8d352737,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.017168073516354708,0.09919582458040471,24.406628364416576,0.012150808615435093,0.0476333124077315,0.11463341180200765,nan,1.084575735746799,961073,480257,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.4182821298018,248.422056180425,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed1__N1024__T120000__e8567735dbb0,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.016289673343837473,0.0976223077835508,25.892724011932383,0.009651497438084964,0.042406228377976626,0.09014168677225454,nan,1.1347918537666504,967744,483597,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,222.07202917709947,222.07567437831312,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed2__N1024__T120000__701b59029dae,wca_representative,representative,sample,abf,abf,2,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.016332593966310816,0.09454429556694198,22.486669384811762,0.010652886967505559,0.036893952995380896,0.0754717595568749,nan,1.1430625675750632,976245,487851,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.06349266972393,248.06724993046373,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed3__N1024__T120000__9959c89d9cd1,wca_representative,representative,sample,abf,abf,3,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.015121090375463934,0.09416099208700777,22.359761397502783,0.0087653245950024,0.04253534178201988,0.09458121545472195,nan,1.1172151741317997,976829,488134,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,222.96075494028628,222.96441602148116,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed4__N1024__T120000__e70c78c1ce85,wca_representative,representative,sample,abf,abf,4,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.01302096438074702,0.09281677258424688,20.641000261939357,0.010227303433590922,0.038403146577624635,0.08729403526659367,nan,1.1191748488336657,963186,481326,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,249.54503814131021,249.5487776035443,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed5__N1024__T120000__30f7e556faee,wca_representative,representative,sample,abf,abf,5,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.015766832947956902,0.09893169490948858,21.630511327647895,0.011170484756132993,0.0516346339891983,0.09903576971470401,nan,1.1050081764710598,972971,486202,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,223.70768733415753,223.7114149844274,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed6__N1024__T120000__206df9e02cf1,wca_representative,representative,sample,abf,abf,6,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.012585932950880896,0.099219341733225,28.030016511016473,0.007787125934428065,0.03085771509402979,0.08312568908051782,nan,1.1326947016494524,981813,490624,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.56084522698075,248.56462944857776,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed7__N1024__T120000__fb5f51e38e74,wca_representative,representative,sample,abf,abf,7,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.013416559990542243,0.09270278991256391,22.906910884664327,0.009493207861599228,0.028030060023090594,0.11202614207468833,nan,1.0951507743967828,982467,490958,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,237.19795056805015,237.2017080988735,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed8__N1024__T120000__0451c57f31b7,wca_representative,representative,sample,abf,abf,8,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.01253029150742984,0.0905993688408192,22.126181009058598,0.008094065539309355,0.03093945920237528,0.0792379900186424,nan,1.111443655313716,978981,489214,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,249.92222459986806,249.92601789161563,b2_h4_w2_n10_a1.5
representative__abf__b2_h4_w2_n10_a1.5__seed9__N1024__T120000__aac43c67b274,wca_representative,representative,sample,abf,abf,9,120000,1024,122880000,2.0,4.0,2.0,10,100,1.5,8.0,0.0,marginal_uniform,0.2,0.015860113224850526,0.0973304330809711,21.12633414293324,0.01074788022907565,0.05179772269202955,0.10614581197628797,nan,1.110184212138163,973688,486563,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,236.27129104174674,236.27494324278086,b2_h4_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed0__N1024__T120000__893690e62320,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.02587390195709584,0.1598512070420656,49.33284630414587,0.017913695289049465,0.06881355807099063,0.07532848322256867,nan,1.2881599972868532,996585,498022,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,251.0209242431447,251.02467436436564,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed1__N1024__T120000__b5964b907373,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.028495722380075125,0.16707933237591915,29.121039672764844,0.01751887295973195,0.0729869220563798,0.1039631704578088,nan,1.2722628153228797,1001805,500619,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,229.1953515773639,229.19901135843247,b2_h6_w2_n10_a1.5
