physics_tag,n_replicas,n_steps,method,name,beta,h,M,abf_l2_f_median,fr_l2_f_median,n_seeds,n_wins,win_rate,median_gain_pct_F,q25_gain_pct_F,q75_gain_pct_F,R_final_median,fr_event_fraction_median,fr_final_ess_median,fr_max_anc_frac_median
b1_h2_w2_n10_a1.5,1024,120000,fr_estimated,fr_estimated,1.0,2.0,100,0.08784255229561672,0.043056585284019885,10,10,1.0,49.99958110170378,45.882755082079115,52.82976190596559,2.0000334641008735,0.00010473109157042149,185.6542512819703,0.0166015625
b1_h2_w2_n10_a1.5,1024,120000,fr_estimated_adaptive,fr_estimated_adaptive,1.0,2.0,100,0.08784255229561672,0.04298432109176792,10,10,1.0,50.049112811535494,45.76469652473672,56.53068661050785,2.005999739534413,0.00011329999906254687,163.43181846228623,0.01904296875
b1_h2_w2_n10_a1.5,1024,120000,fr_oracle,fr_oracle,1.0,2.0,100,0.08784255229561672,0.048433970289423284,10,10,1.0,45.705962462639135,40.36081131986328,46.4746400195214,1.8418284780567338,8.75932765861707e-05,210.89744731527986,0.01611328125
b1_h2_w2_n10_a1.5,1024,120000,fr_uniform,fr_uniform,1.0,2.0,100,0.08784255229561672,0.04260999546712227,10,10,1.0,50.87867413158172,48.28828242273585,54.02428679280172,2.0363039743806066,0.00010543906398430079,162.65947013744463,0.0205078125
b1_h4_w2_n10_a1.5,1024,120000,fr_estimated,fr_estimated,1.0,4.0,100,0.09265361841986888,0.048421104740149185,10,10,1.0,49.13991338814456,45.9638449146603,50.33824106478104,1.9661852995796325,9.601570702714864e-05,180.30954123664216,0.01806640625
b1_h4_w2_n10_a1.5,1024,120000,fr_estimated_adaptive,fr_estimated_adaptive,1.0,4.0,100,0.09265361841986888,0.045198069111017994,10,10,1.0,50.438374385836,46.474362594139336,53.71040597183666,2.0182302622434234,9.237819359032048e-05,190.17715635380748,0.0166015625
b1_h4_w2_n10_a1.5,1024,120000,fr_oracle,fr_oracle,1.0,4.0,100,0.09265361841986888,0.053570772611477274,10,10,1.0,42.59215290424089,37.847841374006855,44.2795395117751,1.7419501823350139,8.322337789360532e-05,215.40057204330685,0.01611328125
b1_h4_w2_n10_a1.5,1024,120000,fr_uniform,fr_uniform,1.0,4.0,100,0.09265361841986888,0.045810075301141166,10,10,1.0,47.30558973206415,46.07457289385565,51.123898468285326,1.897799907261112,9.459976219939004e-05,198.49824206147065,0.0146484375
b2_h4_w2_n10_a1.5,1024,120000,fr_estimated,fr_estimated,2.0,4.0,100,0.015443961661710418,0.021375669283228815,10,0,0.0,-50.104946205960744,-60.827410552789786,-37.94834189901161,0.6662019359162984,7.406856219689017e-05,224.02238661009648,0.015625
b2_h4_w2_n10_a1.5,1024,120000,fr_estimated_adaptive,fr_estimated_adaptive,2.0,4.0,100,0.015443961661710418,0.015040056120776748,10,4,0.4,-2.1496767015508196,-13.076723509363031,8.28636071281398,0.9790480299722895,4.999750012499375e-05,322.14319476765695,0.01025390625
b2_h4_w2_n10_a1.5,1024,120000,fr_oracle,fr_oracle,2.0,4.0,100,0.015443961661710418,0.0109973740951144,10,10,1.0,23.539365426722515,13.620439671434182,32.69246567314669,1.3116433129716016,8.49078639818009e-05,223.3874646357262,0.0146484375
b2_h4_w2_n10_a1.5,1024,120000,fr_uniform,fr_uniform,2.0,4.0,100,0.015443961661710418,0.023631241207934833,10,0,0.0,-73.89803831339083,-78.7310365070728,-56.000341438710045,0.5750650933654127,7.441034198290086e-05,224.3920640241501,0.013671875
b2_h6_w2_n10_a1.5,1024,120000,fr_estimated,fr_estimated,2.0,6.0,100,0.02647603935573654,0.01835740178386797,10,10,1.0,28.0387295226822,19.108327429721626,30.142150352091612,1.3897390135147525,5.9249967189140546e-05,271.08699975262454,0.01123046875
b2_h6_w2_n10_a1.5,1024,120000,fr_estimated_adaptive,fr_estimated_adaptive,2.0,6.0,100,0.02647603935573654,0.01989883127816392,10,10,1.0,24.658398503229634,20.63264871637009,28.62132281387285,1.32771606734934,3.5154492275386235e-05,422.98352990184594,0.00830078125
b2_h6_w2_n10_a1.5,1024,120000,fr_oracle,fr_oracle,2.0,6.0,100,0.02647603935573654,0.016631190089044234,10,10,1.0,36.82473160752893,32.62869686841008,39.986629572637,1.5834935957292617,6.361986588170591e-05,278.25489182753205,0.01220703125
b2_h6_w2_n10_a1.5,1024,120000,fr_uniform,fr_uniform,2.0,6.0,100,0.02647603935573654,0.019834144677131522,10,10,1.0,26.413275727605058,22.10359172512453,27.868542567833956,1.3589782581426775,5.7980499412529374e-05,267.35774877604234,0.0126953125
b4_h1_w2_n10_a1.5,1024,120000,fr_estimated,fr_estimated,4.0,1.0,100,0.005307336022502647,0.0241847443451771,10,0,0.0,-365.2015532600983,-409.2679859324758,-349.4034722162262,0.21496460792331384,7.1480800959952e-05,213.95144738923722,0.0166015625
b4_h1_w2_n10_a1.5,1024,120000,fr_estimated_adaptive,fr_estimated_adaptive,4.0,1.0,100,0.005307336022502647,0.013563873582930285,10,0,0.0,-164.20088403094275,-208.22428513624908,-107.19544614313011,0.3784999078763005,4.108681284685766e-05,343.14922547361675,0.0107421875
b4_h1_w2_n10_a1.5,1024,120000,fr_oracle,fr_oracle,4.0,1.0,100,0.005307336022502647,0.00934484739105338,10,1,0.1,-55.807594448287844,-78.90226661174033,-42.36245139818426,0.6433786897333557,7.255496600169992e-05,254.73027849647684,0.0126953125
b4_h1_w2_n10_a1.5,1024,120000,fr_uniform,fr_uniform,4.0,1.0,100,0.005307336022502647,0.023796498375235592,10,0,0.0,-350.0631016591891,-403.7745395340184,-310.10973979921056,0.22263003659744468,7.089489275536223e-05,212.74558803771407,0.015625
