seed,observation_order,integrated_l2_F,integrated_l2_Fprime,final_l2_F,final_l2_Fprime
0,pre_propagation,17.596645747953175,34.15093781995965,0.0529327549229253,0.09438085532913863
1,pre_propagation,8.374117750476255,21.01212010933619,0.03416161746008066,0.08083072218671873
2,pre_propagation,9.219497311415497,25.51773415007216,0.025229128039437762,0.08415610801712343
3,pre_propagation,13.809679842356584,32.5066347187807,0.064618810380741,0.13677095534817532
4,pre_propagation,10.825594958863563,25.514964077937574,0.034093514586976265,0.08350683683839526
5,pre_propagation,13.743871414758624,29.91345598749039,0.022075675645003994,0.10374686559893288
6,pre_propagation,9.514757572541388,22.16435322982417,0.014482270599201019,0.0639869172124217
7,pre_propagation,10.35518561779533,25.88051624568696,0.036469750011751866,0.076799489212045
0,post_propagation,18.417912263751106,34.18800386855476,0.05880541511433036,0.09902672009666716
1,post_propagation,7.555861610048653,19.711600319261095,0.028773289503395843,0.0689024676555088
2,post_propagation,9.756790385880425,26.59835014401983,0.027249427552690463,0.10144933938443865
3,post_propagation,13.69045266304831,31.48500370073286,0.059763614775045916,0.12498240952860434
4,post_propagation,11.677363978838146,26.79250429800518,0.04089376318665449,0.08457281673672475
5,post_propagation,12.417837222544433,29.247290812910503,0.01736530418905176,0.10281347692949826
6,post_propagation,9.92625519149986,23.30075092484768,0.014427972785428452,0.0662398186166136
7,post_propagation,9.729982999835608,25.62536281714832,0.03112827743353302,0.07619048867779547
