init,seed,int_lf_abf,int_lf_uni,d_int_pct,final_abf,final_uni,d_final_pct,frozen_abf_kT,frozen_uni_kT,min_ess_frac_uni,max_wmax_uni
left,100,1.11591,0.95921,-14.042,0.01039,0.01144,10.125,0.06340,0.07071,0.3733,0.0146
left,101,1.03997,0.94195,-9.425,0.01009,0.01125,11.443,0.06224,0.05079,0.4303,0.0078
left,102,1.06401,0.93913,-11.737,0.01084,0.01191,9.882,0.07988,0.07948,0.4126,0.0107
left,103,1.07972,0.95438,-11.609,0.01007,0.01161,15.278,0.06006,0.06148,0.3645,0.0117
left,104,1.00010,0.89881,-10.128,0.01036,0.01135,9.587,0.06374,0.04852,0.4000,0.0117
left,105,1.20188,0.93682,-22.054,0.01000,0.01121,12.061,0.05708,0.05011,0.4357,0.0083
left,106,1.08269,0.94733,-12.502,0.00984,0.01159,17.740,0.05772,0.06191,0.4523,0.0078
left,107,1.12636,0.96480,-14.344,0.00988,0.01175,18.955,0.07531,0.06442,0.3463,0.0176
left,108,0.99483,1.00890,1.415,0.01001,0.01153,15.131,0.05427,0.04609,0.3592,0.0117
left,109,0.98624,0.85907,-12.894,0.01019,0.01156,13.445,0.05354,0.05328,0.3886,0.0151
left,110,1.06260,0.91143,-14.227,0.01018,0.01161,14.046,0.10115,0.08823,0.4715,0.0078
left,111,1.12043,1.02552,-8.470,0.01061,0.01132,6.727,0.08105,0.06653,0.3752,0.0146
left,112,0.98868,0.85600,-13.419,0.01072,0.01146,6.945,0.07467,0.05499,0.3540,0.0137
left,113,0.95039,0.88598,-6.777,0.01028,0.01150,11.874,0.05423,0.05566,0.4261,0.0093
left,114,1.12196,0.88502,-21.119,0.01054,0.01147,8.861,0.05883,0.06173,0.4219,0.0112
left,115,1.15194,0.94041,-18.363,0.01000,0.01161,16.001,0.06550,0.07155,0.4374,0.0107
left,116,0.96419,0.93451,-3.079,0.01115,0.01118,0.209,0.09070,0.07284,0.3096,0.0249
left,117,1.00898,0.87640,-13.139,0.01084,0.01105,1.927,0.09605,0.07252,0.3570,0.0146
left,118,1.11552,0.92143,-17.399,0.01003,0.01145,14.152,0.05572,0.04950,0.3709,0.0103
