method,ms_per_step,wall_seconds,force_evaluations,aggregate_simulated_ps,peak_cuda_gib,clip_fraction,n_replicas,n_steps,run_id
abf,48.0673264968954,4806.73264968954,819208192.0,819200.0,4.713359832763672,0.0,2048,100000,N2048__abf__c7eq__N2048__T100000__ns4__edd1437dbd05
fr_oracle,49.06909222793766,4906.909222793765,819208192.0,819200.0,4.713359832763672,0.0,2048,100000,N2048__fr_oracle__c7eq__N2048__T100000__ns4__44d3facf38e3
