method,ms_per_step,wall_seconds,force_evaluations,aggregate_simulated_ps,peak_cuda_gib,clip_fraction,n_replicas,n_steps,run_id
abf,49.959543725764384,4995.954372576438,819208192.0,819200.0,4.713391304016113,0.0,2048,100000,N2048_refeq__abf__reference_equilibrium__N2048__T100000__ns4__1a6cc76fb0fe
fr_oracle,48.57632126512937,4857.632126512937,819208192.0,819200.0,4.713391304016113,0.0,2048,100000,N2048_refeq__fr_oracle__reference_equilibrium__N2048__T100000__ns4__2824f4a7010f
