kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,200,1.0659511137677529,62.16046462852709,8.578163986100565,387.82340261074387,3.0647280121443234,1.2228182199388729,0.15053763440860216,6036818.031845958,4918216,12453,1903,96,0,0,,,,0.1474609375,0.2294921875,0.09559630262186893,0.23130107204027425,0.06612738631816847,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.005516857554232569,0.10845212967650789,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,201,1.0580764255801038,61.669807410488716,8.54016186213895,385.92823259069706,3.01691995292331,1.2166338086740882,0.14516129032258066,5965440.591314163,4911678,12075,1592,120,0,0,,,,0.138671875,0.23046875,0.09381757939475809,0.22333861753059103,0.06509470400701263,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.0016381266245865348,0.10765094217976584,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,202,1.071352085333796,62.57149441080661,8.603375027292978,389.2975025791915,3.1191769203083277,1.2229530263627444,0.15053763440860216,6041115.301964799,4944949,12581,2346,170,0,0,,,,0.1298828125,0.205078125,0.09405304183768357,0.23217907908356492,0.06503971452915619,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.00766841904403548,0.10900163599166077,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,203,1.0634218847281613,62.77071201855639,8.544928623781873,388.9350566180173,3.052851629833117,1.2194651287003027,0.15591397849462366,6062541.612194579,4916400,12229,1841,169,0,0,,,,0.12890625,0.2109375,0.09414500763980936,0.22380706472397413,0.06243620457853873,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.007736078985530743,0.10819480054364192,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,204,1.0745060605611798,63.66314700917991,8.612207019378138,391.0772767624917,3.1657404476846405,1.2449137124716294,0.15591397849462366,6074439.14843929,4962010,12697,1454,181,0,0,,,,0.13671875,0.212890625,0.09624124843734631,0.236593871037191,0.07068996497867837,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.002525643751638074,0.1093225281282126,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,205,1.0667530824477887,62.01143831335967,8.579985534449444,386.9739580357906,2.966331311236481,1.2288428630875272,0.15053763440860216,5979539.086029972,4955187,12397,1771,154,0,0,,,,0.14453125,0.2099609375,0.09570290310975632,0.23228990055491044,0.06795597193552262,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.003030301062887594,0.10853372367285571,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,206,1.0699536630971072,62.658294353624676,8.595884848377203,389.3263239719738,3.104011475414816,1.2127312183398125,0.15591397849462366,6073375.775881542,4946439,12649,2071,155,0,0,,,,0.13671875,0.2314453125,0.09485635785382147,0.2336646308373272,0.06804232467861365,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.009265396013346751,0.10885935754399367,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,207,1.0492662112249862,63.3433231812908,8.503755225285966,389.55785546862,3.089482995415308,1.257164042174121,0.15053763440860216,6074452.066652203,4887659,12187,1582,46,0,0,,,,0.146484375,0.2177734375,0.09125225035542749,0.2181986975291814,0.06026935323536378,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,0.009947140540751815,0.10675457226431845,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,208,1.0444395340450872,63.10569179094665,8.490391152605811,389.0034524641271,3.0547412297198284,1.2447255959277566,0.15053763440860216,6016533.176175222,4878780,12125,2152,73,0,0,,,,0.1494140625,0.2001953125,0.0912083694426405,0.21443854378946542,0.05839153492313264,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,0.011251338650464113,0.10626349587942609,,,,
dist,pentane,abf,abf,trans,1.4,2.3,False,production,80000,1024,production__dist__pentane__abf__trans__b1.4__N1024__T80000__ns16__1c41517b44e4,1095.5206249500625,209,1.0587797803176786,62.913361024596696,8.534086609468286,388.72833099541356,3.1593867650283225,1.2213039920721926,0.15053763440860216,6046311.677238775,4915156,12048,2106,69,0,0,,,,0.1484375,0.197265625,0.09314924918753235,0.221595405344522,0.06326697675054031,0.8333333333333334,production_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.005479582325442691,0.10772250298421814,,,,
