cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_Fp_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,low_support_fraction_med,median_support_med,n_transitions_med,n_round_trips_med,fd_compact_med,fd_intermediate_med,fd_extended_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_frac_compact_med,final_frac_extended_med,dist_cond_tv_weighted_med,dist_cond_kl_weighted_med,dist_cond_basin_err_weighted_med,dist_cond_support_fraction_med,final_quarter_decrease_med,norm_final_l2_F_med,fr_event_fraction_med,max_fr_event_fraction_med,n_fr_applications_med,deaths_per_application_med,n_seeds
production_dist_pentane_b1.4_trans_g256,dist,pentane,1.4,trans,production,abf,abf,1024.0,1.061145495488166,62.842036521576546,8.548288753162334,389.22007764663556,3.075989208359303,1.2258979447251357,0.15053763440860216,6046928.747848535,4929408.0,12341.5,1932.5,155.5,0.0,0.0,,,,0.14697265625,0.21337890625,0.09393531061622082,0.22601251405459616,0.06415334563984826,0.8333333333333334,-0.0027779724072628338,0.1079631958688482,,,,,16
production_dist_pentane_b1.4_trans_g256,dist,pentane,1.4,trans,production,fr_uniform,fr_uniform,1024.0,1.0533286345285688,62.98705877161717,8.52451948147073,389.2918197855523,3.0759892083593323,1.2477687269111502,0.14516129032258066,6016976.934987569,4905580.0,12187.0,1932.5,155.5,0.0,90.0,839.5329641025642,839.5329641025642,0.00537109375,0.14501953125,0.232421875,0.09094339567951573,0.2197538625928559,0.05999630379963251,0.8333333333333334,0.01276366380119907,0.1071678918370742,6.462070803617381e-06,1.154651102329451e-05,13601.0,0.006617160502904198,16
production_dist_pentane_b1.6_trans_g256,dist,pentane,1.6,trans,production,abf,abf,1024.0,1.1612906279056796,76.45650194846756,9.060900045025456,425.3993198158502,3.543675244149508,1.6123927701941896,0.1935483870967742,5942401.301408237,5006042.5,11649.0,2401.5,215.0,0.0,0.0,,,,0.181640625,0.14111328125,0.08636797433627125,0.28895640713301873,0.04872562425378764,0.8333333333333334,0.0762349481239138,0.1202508078688869,,,,,16
production_dist_pentane_b1.6_trans_g256,dist,pentane,1.6,trans,production,fr_uniform,fr_uniform,1024.0,1.1642393944375922,76.8652285538236,9.051433696743192,426.2522078993339,3.5436752441494477,1.6270929394890223,0.1827956989247312,5911017.646409489,4983442.5,11500.5,2401.5,215.0,0.0,76.0,860.909120813639,860.909120813639,0.005859375,0.17578125,0.154296875,0.08441602188291207,0.2835702982973316,0.046451489912518795,0.8333333333333334,0.08498750447148362,0.12055615051883034,5.456859789721344e-06,1.07421875e-05,13601.0,0.0055878244246746565,16
