metric,threshold_index,epsilon,n_matched_seeds,speedup,ci_lo,ci_hi,mean_restricted_tau_base,mean_restricted_tau_arm,censored_base,censored_arm,hit_fraction_base,hit_fraction_arm,censoring_inflates
F,1,0.0962217459106232,32,0.9599757428744694,0.9439539242920031,0.974176888315042,49.46875,51.53125,0,0,1.0,1.0,False
F,2,0.0604620050908779,32,0.9623837700760778,0.9480569961628645,0.9756192198751547,71.15625,73.9375,4,5,0.875,0.84375,True
Fprime,1,0.2350570980761587,32,0.9555829734731647,0.940415964024733,0.9707008321907704,48.40625,50.65625,0,0,1.0,1.0,False
Fprime,2,0.15129764509616805,32,0.9499561018437226,0.9299827233136657,0.9694247065850968,67.625,71.1875,3,5,0.90625,0.84375,True
