method,target_type,seed,t,x_bin_center,conditional_l2_y,conditional_kl_y,n_samples_in_bin
abf_only,none,0,100.0,-1.5,0.3104952211748404,0.1009649887075679,30
abf_only,none,0,100.0,-0.5,0.4676243677295824,0.4513620194487991,24
abf_only,none,0,100.0,0.0,0.4348173459522851,0.5438070144606602,16
abf_only,none,0,100.0,0.5,0.6051734832528755,0.3945227311370862,14
abf_only,none,0,100.0,1.5,0.1918613289448457,0.0356358380371713,21
abf_only,none,1,100.0,-1.5,0.3753387719915055,0.1093917478981155,25
abf_only,none,1,100.0,-0.5,0.7223253616051675,0.8092468068527247,16
abf_only,none,1,100.0,0.0,0.554397310253981,0.3976163236852579,14
abf_only,none,1,100.0,0.5,0.4154179542924074,0.2971167356073636,19
abf_only,none,1,100.0,1.5,0.4416365443226494,0.1144371821010041,18
abf_only,none,2,100.0,-1.5,0.3838260559517943,0.1101049246873356,24
abf_only,none,2,100.0,-0.5,0.6215561205875146,0.659956645526257,17
abf_only,none,2,100.0,0.0,0.2548272924752015,0.1944995415419118,21
abf_only,none,2,100.0,0.5,0.5242282844346706,0.4287883296745259,21
abf_only,none,2,100.0,1.5,0.3509164770145379,0.0976200361849439,20
abf_only,none,3,100.0,-1.5,0.4523593307334695,0.1630307947834715,21
abf_only,none,3,100.0,-0.5,0.5277160880708704,0.3894397871427766,24
abf_only,none,3,100.0,0.0,0.873305572847338,0.5413394402619857,16
abf_only,none,3,100.0,0.5,0.5743155605763749,0.4780620821143799,17
abf_only,none,3,100.0,1.5,0.8817130629868136,0.4128115303503694,17
abf_only,none,4,100.0,-1.5,0.3500955970562227,0.1136247747118438,21
abf_only,none,4,100.0,-0.5,0.9015566928802236,1.084982269568996,17
abf_only,none,4,100.0,0.0,0.4503377871285419,0.460253123967988,16
abf_only,none,4,100.0,0.5,0.6010531962498503,0.6598473993319468,17
abf_only,none,4,100.0,1.5,0.3634266372600434,0.078569638696608,21
abf_only,none,5,100.0,-1.5,0.5675567399461664,0.1521498570868709,26
abf_only,none,5,100.0,-0.5,0.4747907785194488,0.5932525459108255,20
abf_only,none,5,100.0,0.0,0.4164728051845817,0.5427925578348971,13
abf_only,none,5,100.0,0.5,0.7309942566732479,0.7793111120329663,15
abf_only,none,5,100.0,1.5,0.9436414976705728,0.4771005259564956,16
abf_only,none,6,100.0,-1.5,0.5678983958199734,0.329640054789091,21
abf_only,none,6,100.0,-0.5,0.423854878588348,0.319292693912312,20
abf_only,none,6,100.0,0.0,0.4986817044627848,0.4587153501029848,15
abf_only,none,6,100.0,0.5,0.4320518811805717,0.3324527558338565,19
abf_only,none,6,100.0,1.5,0.5609896277816364,0.1572069230321913,26
abf_only,none,7,100.0,-1.5,0.2762931711060857,0.0694306788086199,21
abf_only,none,7,100.0,-0.5,0.8465041908032556,0.6200554436774443,14
abf_only,none,7,100.0,0.0,0.8498015685716721,0.6168451375080092,14
abf_only,none,7,100.0,0.5,0.5226493813247528,0.5147179786631179,14
abf_only,none,7,100.0,1.5,0.5408971419027302,0.3501827093837567,19
abf_fr_physical,physical,0,100.0,-1.5,0.4942224215701151,0.1478847831122775,33
abf_fr_physical,physical,0,100.0,-0.5,0.4758608880831668,0.4690880552979694,26
abf_fr_physical,physical,0,100.0,0.0,0.6496616261389608,0.4580966642854588,16
abf_fr_physical,physical,0,100.0,0.5,0.6212043552293802,0.3639177636144605,13
abf_fr_physical,physical,0,100.0,1.5,0.3516879534456543,0.0990598676876596,18
abf_fr_physical,physical,1,100.0,-1.5,0.3299636237248801,0.085640394522572,27
abf_fr_physical,physical,1,100.0,-0.5,0.7331634436475367,0.8705168880671376,20
abf_fr_physical,physical,1,100.0,0.0,0.8774581082599952,1.007618416868023,14
abf_fr_physical,physical,1,100.0,0.5,0.4807579816146441,0.4488613121766245,19
abf_fr_physical,physical,1,100.0,1.5,0.4263220721054094,0.0948931063179505,13
abf_fr_physical,physical,2,100.0,-1.5,0.3492377485858038,0.1024232289641292,25
abf_fr_physical,physical,2,100.0,-0.5,0.6602580995394792,0.6774335593567391,20
abf_fr_physical,physical,2,100.0,0.0,0.4082613170621684,0.1745077949554281,20
abf_fr_physical,physical,2,100.0,0.5,0.4573646339309452,0.399474622740152,22
abf_fr_physical,physical,2,100.0,1.5,0.3171815133871267,0.0906138546662403,18
abf_fr_physical,physical,3,100.0,-1.5,0.3456608143156925,0.1369541855653823,20
abf_fr_physical,physical,3,100.0,-0.5,0.5742690584282728,0.4881499865497858,29
abf_fr_physical,physical,3,100.0,0.0,1.030570105010545,0.6204069795147737,14
abf_fr_physical,physical,3,100.0,0.5,0.4916228775686815,0.4066522553052727,18
abf_fr_physical,physical,3,100.0,1.5,0.8894473141552326,0.4077672973056665,19
abf_fr_physical,physical,4,100.0,-1.5,0.4728910197690028,0.2170058533954324,19
abf_fr_physical,physical,4,100.0,-0.5,0.8600409925158605,0.9591666347210236,20
abf_fr_physical,physical,4,100.0,0.0,0.5282558286560445,0.5200229876480311,16
abf_fr_physical,physical,4,100.0,0.5,0.5570939502032908,0.6499903763350081,16
abf_fr_physical,physical,4,100.0,1.5,0.3429257433418041,0.0915508708018639,23
abf_fr_physical,physical,5,100.0,-1.5,0.4602131634683615,0.1012688495563369,26
abf_fr_physical,physical,5,100.0,-0.5,0.456990648226273,0.5438860906399102,21
abf_fr_physical,physical,5,100.0,0.0,0.6164724507358134,0.6115315311358058,13
abf_fr_physical,physical,5,100.0,0.5,0.7495546770580822,0.8373153005891051,17
abf_fr_physical,physical,5,100.0,1.5,0.9963654824221372,0.4898284031201105,17
abf_fr_physical,physical,6,100.0,-1.5,0.5733606202084437,0.3402888891168628,20
abf_fr_physical,physical,6,100.0,-0.5,0.5506801995071501,0.4657706401456779,20
abf_fr_physical,physical,6,100.0,0.0,0.5394585829669786,0.5682716697998783,17
abf_fr_physical,physical,6,100.0,0.5,0.5273456379659661,0.4245109692967396,16
abf_fr_physical,physical,6,100.0,1.5,0.5609896277816364,0.1572069230321913,26
abf_fr_physical,physical,7,100.0,-1.5,0.4366215530899344,0.1014797998125501,20
abf_fr_physical,physical,7,100.0,-0.5,0.7929389975926856,0.6222977235414048,16
abf_fr_physical,physical,7,100.0,0.0,0.8492016999938684,0.7346388875088855,15
abf_fr_physical,physical,7,100.0,0.5,0.5192116541778262,0.4103362437969519,18
abf_fr_physical,physical,7,100.0,1.5,0.5116762836713625,0.3204224584954976,21
abf_fr_physical,physical,0,100.0,-1.5,0.5787905153436592,0.212002005785534,33
abf_fr_physical,physical,0,100.0,-0.5,0.4169534460914498,0.4499422584283204,28
abf_fr_physical,physical,0,100.0,0.0,0.5862214179017136,0.4615340732324338,15
abf_fr_physical,physical,0,100.0,0.5,0.6379043273341717,0.2998891090315558,11
abf_fr_physical,physical,0,100.0,1.5,0.3071033847164883,0.057228247830934,20
abf_fr_physical,physical,1,100.0,-1.5,0.3315319914862915,0.0799400673074296,29
abf_fr_physical,physical,1,100.0,-0.5,0.6671226323517458,0.7394588623687579,21
abf_fr_physical,physical,1,100.0,0.0,0.6948896101460514,0.7269330794522609,16
abf_fr_physical,physical,1,100.0,0.5,0.5642421996332722,0.4584352470518604,15
abf_fr_physical,physical,1,100.0,1.5,0.5899088445517162,0.1893477608482883,19
abf_fr_physical,physical,2,100.0,-1.5,0.4644095013325829,0.1502336301174619,28
abf_fr_physical,physical,2,100.0,-0.5,0.6517648846021399,0.6224579016546952,19
abf_fr_physical,physical,2,100.0,0.0,0.2158706628518241,0.1493713057543923,19
abf_fr_physical,physical,2,100.0,0.5,0.5196666226069163,0.5117865491567004,16
abf_fr_physical,physical,2,100.0,1.5,0.3913641999930851,0.1026617683843551,17
abf_fr_physical,physical,3,100.0,-1.5,0.2880684081311614,0.1002432104782917,18
abf_fr_physical,physical,3,100.0,-0.5,0.6664297130622637,0.5204869741385634,23
abf_fr_physical,physical,3,100.0,0.0,0.8489771655130554,0.5737826435186656,13
abf_fr_physical,physical,3,100.0,0.5,0.6183968981282554,0.3525303194445401,17
abf_fr_physical,physical,3,100.0,1.5,0.7245074691609816,0.2033820302428703,20
abf_fr_physical,physical,4,100.0,-1.5,0.3701042931052461,0.1486649455613518,23
abf_fr_physical,physical,4,100.0,-0.5,0.7837609213173153,0.90319650331504,15
abf_fr_physical,physical,4,100.0,0.0,0.6052245884895487,0.3146149732366818,15
abf_fr_physical,physical,4,100.0,0.5,0.4974072491763557,0.5233727819120788,18
abf_fr_physical,physical,4,100.0,1.5,0.324638839479063,0.065573363835698,21
abf_fr_physical,physical,5,100.0,-1.5,0.5469008103433932,0.1439064633331159,25
abf_fr_physical,physical,5,100.0,-0.5,0.3909171735905786,0.4314527990979558,22
abf_fr_physical,physical,5,100.0,0.0,0.4602877524058451,0.5448624395292725,12
abf_fr_physical,physical,5,100.0,0.5,0.7489665533959583,0.7119259145835717,17
abf_fr_physical,physical,5,100.0,1.5,1.045874211142195,0.5252673165112398,15
abf_fr_physical,physical,6,100.0,-1.5,0.6626444007621911,0.3667082562689659,21
abf_fr_physical,physical,6,100.0,-0.5,0.5534945456271592,0.3421447012987537,21
abf_fr_physical,physical,6,100.0,0.0,0.5584982622677683,0.6068704324929497,18
abf_fr_physical,physical,6,100.0,0.5,0.6116794987011991,0.4699757360302898,14
abf_fr_physical,physical,6,100.0,1.5,0.4018309542051121,0.1271457667671383,28
abf_fr_physical,physical,7,100.0,-1.5,0.4004564230348286,0.1065533289639787,19
abf_fr_physical,physical,7,100.0,-0.5,0.84713542425437,0.7216256041785312,16
abf_fr_physical,physical,7,100.0,0.0,0.880928976931748,0.634485912133103,13
abf_fr_physical,physical,7,100.0,0.5,0.5525509898194885,0.3730843026068795,20
abf_fr_physical,physical,7,100.0,1.5,0.5322559165034304,0.2876953799018608,20
abf_fr_physical,physical,0,100.0,-1.5,0.3660985746439781,0.0730511612060967,37
abf_fr_physical,physical,0,100.0,-0.5,0.4233180335568715,0.4109504692514258,28
abf_fr_physical,physical,0,100.0,0.0,0.5085730370430389,0.4482209152632321,15
abf_fr_physical,physical,0,100.0,0.5,0.5202255580074682,0.2082008699331797,15
abf_fr_physical,physical,0,100.0,1.5,0.471009050428634,0.179532144320562,19
abf_fr_physical,physical,1,100.0,-1.5,0.3610276880225944,0.1058598239506858,23
abf_fr_physical,physical,1,100.0,-0.5,0.6172954067953704,0.6904519699615751,24
abf_fr_physical,physical,1,100.0,0.0,0.3657840372240596,0.2571949969664662,21
abf_fr_physical,physical,1,100.0,0.5,0.4399710039015204,0.4332162708252451,17
abf_fr_physical,physical,1,100.0,1.5,0.6378166539597726,0.251403867193235,13
abf_fr_physical,physical,2,100.0,-1.5,0.2819401671336458,0.0663111152620147,24
abf_fr_physical,physical,2,100.0,-0.5,0.6545671335508908,0.5537497983735947,23
abf_fr_physical,physical,2,100.0,0.0,0.2794318686369587,0.1390198727100556,21
abf_fr_physical,physical,2,100.0,0.5,0.6639556571359808,0.6938027073935646,20
abf_fr_physical,physical,2,100.0,1.5,0.5562864666238247,0.1374229324680536,19
abf_fr_physical,physical,3,100.0,-1.5,0.4037715320314021,0.1529279460257113,20
abf_fr_physical,physical,3,100.0,-0.5,0.3790550930602664,0.3384099369369744,26
abf_fr_physical,physical,3,100.0,0.0,0.8440969439423671,0.4814298380441318,14
abf_fr_physical,physical,3,100.0,0.5,0.3880513849555599,0.3458544634896882,18
abf_fr_physical,physical,3,100.0,1.5,0.8479295276466248,0.3887199133369202,17
abf_fr_physical,physical,4,100.0,-1.5,0.454568270550646,0.1892531468313382,20
abf_fr_physical,physical,4,100.0,-0.5,0.6179417705452058,0.5802259031789447,19
abf_fr_physical,physical,4,100.0,0.0,0.4528540685667582,0.2345116831266339,23
abf_fr_physical,physical,4,100.0,0.5,0.6524198669712866,0.6882367380328194,16
abf_fr_physical,physical,4,100.0,1.5,0.4816743913309769,0.0959683579340193,24
abf_fr_physical,physical,5,100.0,-1.5,0.5173228669404598,0.1482890048716631,26
abf_fr_physical,physical,5,100.0,-0.5,0.4173189507616865,0.4463886514506396,23
abf_fr_physical,physical,5,100.0,0.0,0.4363983600459736,0.6361177119943577,11
abf_fr_physical,physical,5,100.0,0.5,0.9063246467379488,1.095122723823921,15
abf_fr_physical,physical,5,100.0,1.5,0.9436414976705728,0.4771005259564956,16
abf_fr_physical,physical,6,100.0,-1.5,0.5197469047846975,0.3222128756075,20
abf_fr_physical,physical,6,100.0,-0.5,0.5495233147907432,0.4335913112059262,23
abf_fr_physical,physical,6,100.0,0.0,0.6259891912486858,0.7271764649085639,18
abf_fr_physical,physical,6,100.0,0.5,0.7224856055807087,0.5976973313167524,16
abf_fr_physical,physical,6,100.0,1.5,0.6541667831171109,0.2055407286231833,22
abf_fr_physical,physical,7,100.0,-1.5,0.3291900587411077,0.1107808674130538,16
abf_fr_physical,physical,7,100.0,-0.5,0.5358283035203641,0.536262974643043,15
abf_fr_physical,physical,7,100.0,0.0,0.809004318501345,0.4098078992865464,15
abf_fr_physical,physical,7,100.0,0.5,0.5902973329882146,0.433521102806304,19
abf_fr_physical,physical,7,100.0,1.5,0.5453471445135124,0.343323996029449,16
abf_fr_physical,physical,0,100.0,-1.5,0.2854893903083043,0.0539661934380087,30
abf_fr_physical,physical,0,100.0,-0.5,0.4798377022238629,0.5124464502469697,24
abf_fr_physical,physical,0,100.0,0.0,0.8459972434265975,0.6981994850789192,20
abf_fr_physical,physical,0,100.0,0.5,0.5353720926817456,0.3190183949100375,14
abf_fr_physical,physical,0,100.0,1.5,0.3098551078980602,0.0765603174035945,19
abf_fr_physical,physical,1,100.0,-1.5,0.2708104515069663,0.0725207382174299,24
abf_fr_physical,physical,1,100.0,-0.5,0.6444786061741886,0.6642408745936483,18
