cell,name,final_l2_F,integrated_l2_F,final_l2_Fp,n_transitions,n_round_trips,final_ancestor_ess,fr_event_fraction,cond_tv_weighted,cond_basin_err_weighted,n_basins_visited
butane_b1_s2.3_full_trans,abf,0.2705649877010301,4.370671806395351,0.2840710793858248,288201.0,0.0,,,,,
butane_b1_s2.3_full_trans,fr_r002,0.2702984452610016,4.374618664461018,0.2845929594359638,288420.0,0.0,359.64878048780486,7.521476708879508e-06,,,
butane_b1_s2.3_full_trans,fr_r005,0.27111109309952347,4.377759726100341,0.28545813340423803,287767.0,0.0,339.7603686635944,1.4464378286306746e-05,,,
butane_b1_s2.3_full_trans,fr_r010,0.27457493342759354,4.393345231119747,0.2878722576300763,288272.0,0.0,297.2903225806451,2.9507331704065762e-05,,,
butane_b1_s2.3_full_trans,fr_r020,0.2737117324584989,4.415372744647372,0.28814972323463783,288666.0,0.0,249.92542372881354,6.132896393394061e-05,,,
butane_b1_s2.3_full_trans,fr_r040,0.2763695283939627,4.429942658558126,0.28989054786763835,289247.0,0.0,194.53298153034302,0.00011224357550174035,,,
butane_b1_s2.3_full_trans,opes_b12_s30,0.4421338767934365,6.615400694697307,0.48752313269978853,49943.0,0.0,,,,,
butane_b1_s2.3_full_trans,opes_b4_s15,0.35464405051557196,5.756879063694045,0.3691435151220109,97948.0,0.0,,,,,
butane_b1_s2.3_full_trans,opes_b8_s15,0.37684810125119667,6.041553585474972,0.3897534091874335,167469.0,0.0,,,,,
butane_b1_s2.3_full_trans,opes_b8_s30,0.4284460183652688,6.26804660126369,0.47288989125071434,47761.0,0.0,,,,,
pentane_b1_s2.3_full_trans,abf,0.2918258309707159,6.9282253489387475,0.3072717376787021,426877.0,0.0,,,0.030857560461415183,0.02575334609374061,9.0
pentane_b1_s2.3_full_trans,fr_r002,0.29157053503016767,6.942355554268492,0.3055783338270941,427264.0,0.0,352.76555023923436,7.2104291647438855e-06,0.02972775783750368,0.023444308136871053,9.0
pentane_b1_s2.3_full_trans,fr_r005,0.29656543540678415,6.991907141844458,0.3102776499154867,425523.0,0.0,324.79295154185013,1.4420858329487771e-05,0.03160597447155741,0.0263955640864453,9.0
pentane_b1_s2.3_full_trans,fr_r010,0.3016757347059912,7.012549171705555,0.3149116228013306,425885.0,0.0,271.05882352941177,2.8841716658975542e-05,0.035317282166364775,0.030698438723015718,9.0
pentane_b1_s2.3_full_trans,fr_r020,0.31335655905412396,7.1022244114462,0.3268633034229948,425802.0,0.0,208.8611898016997,5.968633030815772e-05,0.044265918869484375,0.04163538580985389,9.0
pentane_b1_s2.3_full_trans,fr_r040,0.3203722981583413,7.156619366669801,0.3342281238242733,424804.0,0.0,138.84745762711864,0.0001217761370045634,0.05071861742880725,0.048615297572411356,9.0
pentane_b1_s2.3_full_trans,opes_b12_s30,0.5158885943328649,9.777633290638253,0.6424979152237285,74365.0,0.0,,,0.04181123922865536,0.03937147317535526,9.0
pentane_b1_s2.3_full_trans,opes_b4_s15,0.41296621361568864,8.8591354046615,0.4608750327317704,150356.0,0.0,,,0.03820687485759699,0.03558374850230564,9.0
pentane_b1_s2.3_full_trans,opes_b8_s15,0.4292652927625094,9.745187316419461,0.4574523473278131,282447.0,0.0,,,0.028918829749890754,0.022320252020197287,9.0
pentane_b1_s2.3_full_trans,opes_b8_s30,0.5033235111893167,9.654044057672305,0.6219249057254677,70479.0,0.0,,,0.03888677577651552,0.034935699996191755,9.0
