cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b1_s2.3_full_trans,fr_r002,final_l2_F,3,0.2705649877010301,0.2702984452610016,0.0006996361402075713,-0.00026654244002849437,0.0013284449067405002,0.0026161160051188103,-0.0009851327856323356,0.004875004108212906,0.3333333333333333
butane_b1_s2.3_full_trans,fr_r005,final_l2_F,3,0.2705649877010301,0.27111109309952347,0.0005461053984933684,0.00043172883492581526,0.0013353456799977126,0.002018389013055917,0.0016143430134778784,0.004900327926918567,0.0
butane_b1_s2.3_full_trans,fr_r010,final_l2_F,3,0.2705649877010301,0.27457493342759354,0.004009945726563435,0.003053614085075873,0.0043762586350955535,0.014820637957023323,0.011205870212688915,0.016363934908245583,0.0
butane_b1_s2.3_full_trans,fr_r020,final_l2_F,3,0.2705649877010301,0.2737117324584989,0.004883574200056806,0.003146744757468789,0.005852247671948307,0.01826091577139434,0.011630273318829746,0.02147603660360184,0.0
butane_b1_s2.3_full_trans,fr_r040,final_l2_F,3,0.2705649877010301,0.2763695283939627,0.007589838018496886,0.005804540692932625,0.007858952441022304,0.028380318819090738,0.021453406600215944,0.02884005594950696,0.0
butane_b1_s2.3_full_trans,opes_b12_s30,final_l2_F,3,0.2705649877010301,0.4421338767934365,0.17156888909240642,0.16572168158756795,0.17824616354813783,0.6341134178158604,0.6196751692498518,0.6541112658577892,0.0
butane_b1_s2.3_full_trans,opes_b4_s15,final_l2_F,3,0.2705649877010301,0.35464405051557196,0.08721090197069409,0.08339550933578477,0.0876482044857066,0.3216432648258637,0.3082272767233854,0.32610356062894447,0.0
butane_b1_s2.3_full_trans,opes_b8_s15,final_l2_F,3,0.2705649877010301,0.37684810125119667,0.10628311355016656,0.10252223157087437,0.1138331298246611,0.39281916870784356,0.3762265921267882,0.42565078579089755,0.0
butane_b1_s2.3_full_trans,opes_b8_s30,final_l2_F,3,0.2705649877010301,0.4284460183652688,0.16101286982039092,0.15580010998529464,0.16905302323470583,0.6020677342972366,0.5758324878215626,0.6203751307964404,0.0
pentane_b1_s2.3_full_trans,fr_r002,final_l2_F,3,0.2918258309707159,0.29157053503016767,0.0011554103939914184,-0.0002552959405482391,0.0037950725928914686,0.0038309288220192716,-0.0008748229712874784,0.01328512751121814,0.3333333333333333
pentane_b1_s2.3_full_trans,fr_r005,final_l2_F,3,0.2918258309707159,0.29656543540678415,0.0037766499683477006,0.0033660865280516483,0.0047396044360682454,0.012522024459586811,0.011783407996653986,0.016241209423794478,0.0
pentane_b1_s2.3_full_trans,fr_r010,final_l2_F,3,0.2918258309707159,0.3016757347059912,0.009849903735275278,0.005732273500322849,0.01309010336251698,0.03375267947498347,0.020066542211500626,0.04340211453476863,0.0
pentane_b1_s2.3_full_trans,fr_r020,final_l2_F,3,0.2918258309707159,0.31335655905412396,0.021530728083408057,0.014012951567809018,0.02592059250816442,0.07377937728058288,0.04905409417874365,0.08594344091046961,0.0
pentane_b1_s2.3_full_trans,fr_r040,final_l2_F,3,0.2918258309707159,0.3203722981583413,0.02646344561914654,0.019343565083832837,0.02854646718762538,0.08774334823326947,0.06771457524728708,0.09782022068666689,0.0
pentane_b1_s2.3_full_trans,opes_b12_s30,final_l2_F,3,0.2918258309707159,0.5158885943328649,0.21940306864028108,0.21428800406598417,0.24048563510969823,0.7680479547870502,0.7105026017235735,0.8240724760716279,0.0
pentane_b1_s2.3_full_trans,opes_b4_s15,final_l2_F,3,0.2918258309707159,0.41296621361568864,0.1269780773428072,0.1113656233488079,0.13609303089336378,0.44450268271238713,0.36924869162312496,0.4663501871670175,0.0
pentane_b1_s2.3_full_trans,opes_b8_s15,final_l2_F,3,0.2918258309707159,0.4292652927625094,0.13489866073627776,0.12766470249562867,0.1531162917703407,0.4722296781175848,0.42329062546814167,0.5246838200066861,0.0
pentane_b1_s2.3_full_trans,opes_b8_s30,final_l2_F,3,0.2918258309707159,0.5033235111893167,0.201722920922436,0.19996414367914905,0.2257513485616155,0.6999995603312066,0.6688412670012852,0.7735824748984238,0.0
butane_b1_s2.3_full_trans,fr_r002,integrated_l2_F,3,4.370671806395351,4.374618664461018,0.003946858065666525,0.0013501719710973248,0.007321758635896458,0.0009030323576094906,0.00027842558045160356,0.0016929277258568845,0.0
butane_b1_s2.3_full_trans,fr_r005,integrated_l2_F,3,4.370671806395351,4.377759726100341,0.006687607079543412,0.006164057364251185,0.007087919704989787,0.0015463000090018178,0.0012711204841437983,0.0016217002829218257,0.0
