cell,seed,arm,t,e_F,e_Fprime
K3,8000,abf,21.0,0.315994979407677,0.9242362579895321
K3,8000,p0.02,21.0,0.31556271181325907,0.9231913691333293
K3,8000,p0.05,21.0,0.31646298518437016,0.9249597855723521
K3,8000,p0.1,21.0,0.3161447494799098,0.9241058739013116
K3,8000,p0.2,21.0,0.3167654777101028,0.9256208018116815
K3,8001,abf,21.0,0.4426453759171702,1.0337528373734206
K3,8001,p0.02,21.0,0.4426118523743444,1.0336719169497304
K3,8001,p0.05,21.0,0.442609414013526,1.0340462221701905
K3,8001,p0.1,21.0,0.44239343735368086,1.0352157186624396
K3,8001,p0.2,21.0,0.4431060905398056,1.0356473654835956
K3,8002,abf,21.0,0.45930855083198735,1.173516242303224
K3,8002,p0.02,21.0,0.4593924137014814,1.173531611458769
K3,8002,p0.05,21.0,0.4602490418935928,1.1746941080090956
K3,8002,p0.1,21.0,0.46034835147687125,1.1741891402254845
K3,8002,p0.2,21.0,0.4604491788414837,1.1747398478859787
K3,8003,abf,21.0,0.2765680629150168,0.8095217086902696
K3,8003,p0.02,21.0,0.27682319802029753,0.8098545271500234
K3,8003,p0.05,21.0,0.27657211390861125,0.8087709271474196
K3,8003,p0.1,21.0,0.2770799360539707,0.810106866131287
K3,8003,p0.2,21.0,0.2775887912736935,0.8132272906936721
K3,8004,abf,21.0,0.314552865911506,0.8780278023684278
K3,8004,p0.02,21.0,0.3154554360300565,0.8797983495426294
K3,8004,p0.05,21.0,0.3146900962309961,0.8786585415598309
K3,8004,p0.1,21.0,0.3150573921849121,0.8797135104332873
K3,8004,p0.2,21.0,0.3170457477319931,0.8840808096271803
K3,8005,abf,21.0,0.3325801753644291,0.9492767139592734
K3,8005,p0.02,21.0,0.33308907375549884,0.9509173982186527
K3,8005,p0.05,21.0,0.33329498340200003,0.9512992488928568
K3,8005,p0.1,21.0,0.33246936580984343,0.9493003138958482
K3,8005,p0.2,21.0,0.33358308088405086,0.9520241317433317
K3,8006,abf,21.0,0.20431576905414953,0.5921665589853612
K3,8006,p0.02,21.0,0.2043012034437171,0.5925544327950206
K3,8006,p0.05,21.0,0.20453816626897459,0.5929361357658002
K3,8006,p0.1,21.0,0.2048351062521723,0.59193362138816
K3,8006,p0.2,21.0,0.20419514837708885,0.5900143480061849
K3,8007,abf,21.0,0.2887609199351078,0.8046010661417607
K3,8007,p0.02,21.0,0.2887849405163337,0.8046183890239416
K3,8007,p0.05,21.0,0.2887359768961484,0.804570146815941
K3,8007,p0.1,21.0,0.28895485660158965,0.8043091687623614
K3,8007,p0.2,21.0,0.2904231463532101,0.8074196880908723
K3,8000,abf,22.0,0.30919432725074203,0.9059011081437864
K3,8000,p0.02,22.0,0.308845550322931,0.9050984744679279
K3,8000,p0.05,22.0,0.31073611645049126,0.9095062747647489
K3,8000,p0.1,22.0,0.3104153486196819,0.9081084574880852
K3,8000,p0.2,22.0,0.31254326532533416,0.9141654284511658
K3,8001,abf,22.0,0.43756491046975127,1.010697294058682
K3,8001,p0.02,22.0,0.4372315479649344,1.0110193895666166
K3,8001,p0.05,22.0,0.4373750652448025,1.011777509137781
K3,8001,p0.1,22.0,0.4374740323770049,1.0145208131691141
K3,8001,p0.2,22.0,0.4400722808016749,1.017386249886511
K3,8002,abf,22.0,0.4518771707389753,1.1527442645832575
