cell,seed,arm,j,n_future,fhat,f_ref,a,pi_star
K3,8000,abf,0,19250.0,-19.89820167533731,-20.001447663525564,5.758094411151144e-32,0.00390625
K3,8000,abf,1,18250.0,-16.65879938879377,-16.736926222184675,5.640582280311324e-32,0.00390625
K3,8000,abf,2,17964.0,-14.006385180296752,-14.119694821265368,3.6156014672276936e-06,0.00390625
K3,8000,abf,3,19711.0,-12.028759638110941,-12.112613681448535,7.272868562147565e-05,0.00390625
K3,8000,abf,4,22758.0,-10.515456321813128,-10.612314324874749,0.00017841234520502852,0.00390625
K3,8000,abf,5,25492.0,-9.29546600492573,-9.37970088141536,0.0002490952182237675,0.00390625
K3,8000,abf,6,26170.0,-8.073002577649696,-8.130169058873427,0.00035289069444323373,0.00390625
K3,8000,abf,7,28102.0,-6.547883203208725,-6.598728030372591,0.0003948425611381609,0.00390625
K3,8000,abf,8,28824.0,-4.574740399642422,-4.620588418274956,0.0004941982548528808,0.00390625
K3,8000,abf,9,29621.0,-2.208747242950536,-2.252863240698835,0.0005099707143646579,0.00390625
K3,8000,abf,10,28388.0,0.24084114472954185,0.22605911217101549,0.0006023350264339747,0.00390625
K3,8000,abf,11,25734.0,2.3215631923663644,2.355230571581429,0.0005944796779032567,0.00390625
K3,8000,abf,12,22279.0,3.1998262679572007,3.6060840625782453,0.0006773010091865126,0.00390625
K3,8000,abf,13,12910.0,1.0649943243737416,3.275144141174126,0.0006483694517539563,0.1235280405625348
K3,8000,abf,14,8478.0,-0.4972451362808972,0.6855115062732063,0.0007190962031104933,0.3687637420295664
K3,8000,abf,15,7329.0,-0.1822813994005206,-0.08397731392047976,0.0006716400359167596,0.00390625
K3,8000,abf,16,7082.0,0.39913148258508646,0.27399170958044256,0.0007277206082059181,0.00390625
K3,8000,abf,17,7770.0,0.7876788650766539,-0.3699228766684197,0.0006642914303916642,0.23568956633352553
K3,8000,abf,18,12113.0,-0.18301924234038297,-2.9743058338938515,0.0007031742244727865,0.15822900821138405
K3,8000,abf,19,23942.0,-2.602073373990339,-3.436226280277556,0.0006263236351786695,0.00390625
K3,8000,abf,20,30508.0,-2.0323181155705434,-2.215293491858746,0.0006454570519110974,0.00390625
K3,8000,abf,21,34009.0,-0.031163874123446827,-0.11939669396034924,0.0005577366502777776,0.00390625
K3,8000,abf,22,34034.0,2.3892967277595947,2.3566676671297633,0.0005545690905208532,0.00390625
K3,8000,abf,23,31760.0,4.679325550179677,4.739356923226084,0.00045853047568898827,0.00390625
K3,8000,abf,24,24800.0,6.548917999001709,6.729879356794805,0.0004305103403020531,0.00390625
K3,8000,abf,25,20495.0,7.869083330872228,8.282174936728236,0.0003287051114123004,0.00390625
K3,8000,abf,26,12560.0,8.858548511994671,9.536218308969232,0.0002732808012546973,0.00390625
K3,8000,abf,27,6294.0,9.865365639955218,10.762180863513906,0.00016826055744771585,0.00832089286298914
K3,8000,abf,28,3877.0,11.358102468012438,12.251816073352863,8.288047337878629e-05,0.00390625
K3,8000,abf,29,2428.0,13.582275685116736,14.228240678469687,3.615601467227656e-06,0.00390625
K3,8000,abf,30,1448.0,16.405217868581776,16.82835293200227,0.0,0.00390625
K3,8000,abf,31,820.0,19.767675585567712,20.20578082012556,0.0,0.00390625
K3,8000,p0.02,0,18903.0,-19.89575236093446,-20.001447663525564,5.758094411151144e-32,0.00390625
K3,8000,p0.02,1,17749.0,-16.66006537026241,-16.736926222184675,5.640582280311324e-32,0.00390625
K3,8000,p0.02,2,17483.0,-14.006891502980768,-14.119694821265368,3.6156014672276936e-06,0.00390625
K3,8000,p0.02,3,19025.0,-12.030210082460846,-12.112613681448535,7.272868562147565e-05,0.00390625
K3,8000,p0.02,4,21543.0,-10.51638655079888,-10.612314324874749,0.00017841234520502852,0.00390625
K3,8000,p0.02,5,24321.0,-9.294657356129267,-9.37970088141536,0.0002490952182237675,0.00390625
K3,8000,p0.02,6,25178.0,-8.072411928100284,-8.130169058873427,0.00035289069444323373,0.00390625
K3,8000,p0.02,7,27554.0,-6.547918350040263,-6.598728030372591,0.0003948425611381609,0.00390625
K3,8000,p0.02,8,28065.0,-4.574754700372511,-4.620588418274956,0.0004941982548528808,0.00390625
K3,8000,p0.02,9,28758.0,-2.209572574956366,-2.252863240698835,0.0005099707143646579,0.00390625
K3,8000,p0.02,10,27299.0,0.24065518207034806,0.22605911217101549,0.0006023350264339747,0.00390625
K3,8000,p0.02,11,25201.0,2.322124642495162,2.355230571581429,0.0005944796779032567,0.00390625
K3,8000,p0.02,12,22244.0,3.196750179358868,3.6060840625782453,0.0006773010091865126,0.00390625
K3,8000,p0.02,13,13515.0,1.0503533159587832,3.275144141174126,0.0006483694517539563,0.1235280405625348
K3,8000,p0.02,14,9260.0,-0.4984830781666775,0.6855115062732063,0.0007190962031104933,0.3687637420295664
K3,8000,p0.02,15,8261.0,-0.181639237470043,-0.08397731392047976,0.0006716400359167596,0.00390625
K3,8000,p0.02,16,7722.0,0.398077881679792,0.27399170958044256,0.0007277206082059181,0.00390625
K3,8000,p0.02,17,8576.0,0.7853703887543872,-0.3699228766684197,0.0006642914303916642,0.23568956633352553
K3,8000,p0.02,18,13004.0,-0.17955319278707754,-2.9743058338938515,0.0007031742244727865,0.15822900821138405
K3,8000,p0.02,19,24242.0,-2.602228027447815,-3.436226280277556,0.0006263236351786695,0.00390625
K3,8000,p0.02,20,30671.0,-2.0326258898078065,-2.215293491858746,0.0006454570519110974,0.00390625
K3,8000,p0.02,21,34279.0,-0.03107139669813084,-0.11939669396034924,0.0005577366502777776,0.00390625
K3,8000,p0.02,22,34666.0,2.3900205064000573,2.3566676671297633,0.0005545690905208532,0.00390625
K3,8000,p0.02,23,32634.0,4.680169286367117,4.739356923226084,0.00045853047568898827,0.00390625
K3,8000,p0.02,24,25742.0,6.5501706543266565,6.729879356794805,0.0004305103403020531,0.00390625
K3,8000,p0.02,25,21273.0,7.873612413230424,8.282174936728236,0.0003287051114123004,0.00390625
K3,8000,p0.02,26,12936.0,8.864154129564092,9.536218308969232,0.0002732808012546973,0.00390625
K3,8000,p0.02,27,6484.0,9.871391919338045,10.762180863513906,0.00016826055744771585,0.00832089286298914
K3,8000,p0.02,28,3885.0,11.357692265176713,12.251816073352863,8.288047337878629e-05,0.00390625
K3,8000,p0.02,29,2439.0,13.582393699872922,14.228240678469687,3.615601467227656e-06,0.00390625
K3,8000,p0.02,30,1463.0,16.40551564648013,16.82835293200227,0.0,0.00390625
K3,8000,p0.02,31,825.0,19.767635976364776,20.20578082012556,0.0,0.00390625
K3,8000,p0.05,0,18966.0,-19.892783177365047,-20.001447663525564,5.758094411151144e-32,0.00390625
K3,8000,p0.05,1,18292.0,-16.658218496735678,-16.736926222184675,5.640582280311324e-32,0.00390625
K3,8000,p0.05,2,17781.0,-14.009255256271748,-14.119694821265368,3.6156014672276936e-06,0.00390625
K3,8000,p0.05,3,19264.0,-12.031927906159213,-12.112613681448535,7.272868562147565e-05,0.00390625
K3,8000,p0.05,4,22770.0,-10.516875973807966,-10.612314324874749,0.00017841234520502852,0.00390625
K3,8000,p0.05,5,25713.0,-9.295681933885273,-9.37970088141536,0.0002490952182237675,0.00390625
K3,8000,p0.05,6,26033.0,-8.074013088119539,-8.130169058873427,0.00035289069444323373,0.00390625
K3,8000,p0.05,7,27776.0,-6.547163481462895,-6.598728030372591,0.0003948425611381609,0.00390625
K3,8000,p0.05,8,29202.0,-4.574539230785669,-4.620588418274956,0.0004941982548528808,0.00390625
K3,8000,p0.05,9,29819.0,-2.2087978484194952,-2.252863240698835,0.0005099707143646579,0.00390625
K3,8000,p0.05,10,28863.0,0.24170840994735981,0.22605911217101549,0.0006023350264339747,0.00390625
