cell,seed,H,M,R_opt,R_unif,G_ideal,lam,n_floor_bound,R_asym_ratio,C_total
K3,8000,2325,595200.0,1.0345031598720967e-07,2.369427327237786e-07,0.5633952778462751,6.373447256997718e-08,27,0.28074588491876834,2560000.0
K3,8001,2325,595200.0,1.0773308993837811e-07,2.8351808049676345e-07,0.6200133347770462,7.242480029320066e-08,28,0.28074588491876834,2560000.0
K3,8002,2325,595200.0,1.102032017725591e-07,2.885632480986596e-07,0.6180968903743393,7.386083352864041e-08,28,0.28074588491876834,2560000.0
K3,8003,2325,595200.0,1.0653491561841812e-07,2.664775117228605e-07,0.6002104833175732,6.918871841278276e-08,28,0.28074588491876834,2560000.0
K3,8004,2325,595200.0,1.0627529281069361e-07,2.6517490480227063e-07,0.5992256775205087,7.001232332511448e-08,28,0.28074588491876834,2560000.0
K3,8005,2325,595200.0,1.0923417824266436e-07,2.8701059209808817e-07,0.6194071534289135,7.4318676103018e-08,28,0.28074588491876834,2560000.0
K3,8006,2325,595200.0,1.0244805393041144e-07,2.4401958570999616e-07,0.5801646264076306,6.457078288120287e-08,28,0.28074588491876834,2560000.0
K3,8007,2325,595200.0,1.0624456665997805e-07,2.7402592050085227e-07,0.612282785271594,7.128141602800368e-08,28,0.28074588491876834,2560000.0
