cell,p90,kl_ratio,tv_future_fr,tv_future_abf,n_events,ess_anc,wmax
K2,0.02,0.9868252819677832,0.8292672260436432,0.8328080526565464,3.5,0.9696969696969696,0.0078125
K2,0.05,0.9646303884479132,0.8249785045066413,0.8328080526565464,8.0,0.9411764705882352,0.0078125
K2,0.1,0.9498612874729031,0.8223575367647058,0.8328080526565464,14.5,0.8982566729045602,0.0078125
K2,0.2,0.9208736813771958,0.8197595469639468,0.8328080526565464,31.0,0.8075790144096808,0.01171875
K3,0.02,0.9885563528079186,0.8311340725806452,0.8355115927419355,3.5,0.9733981031690955,0.0078125
K3,0.05,0.9758740539655945,0.8293884408602151,0.8355115927419355,8.5,0.9377415199656504,0.0078125
K3,0.1,0.9602767774469604,0.8252755376344088,0.8355115927419355,14.5,0.8919968919968919,0.01171875
K3,0.2,0.9298530230573968,0.8170782930107527,0.8355115927419355,31.5,0.8,0.01171875
