cell,p90,R_abf,R_fr,ratio,lo95,hi95,gate_risk
K2,0.02,0.010939553765930561,0.011041001143149175,1.0092734474722866,1.0048509917447779,1.0130248648931741,False
K2,0.05,0.010939553765930561,0.011111176097417423,1.0156882387672295,1.0080505108230615,1.0219852147334734,False
K2,0.1,0.010939553765930561,0.011250794863275938,1.0284509865763158,1.0198900262354345,1.037824127670903,False
K2,0.2,0.010939553765930561,0.011223669218107912,1.025971393189929,1.01313519405324,1.0352976009945272,False
K3,0.02,0.010947986526656487,0.011037572767470175,1.0081828965166846,1.005112690292895,1.0121015426835394,False
K3,0.05,0.010947986526656487,0.0110898779958552,1.0129605082042465,1.0060367934516545,1.020052331134226,False
K3,0.1,0.010947986526656487,0.0111414240302657,1.0176687743575703,1.0121115961213023,1.024768072799555,False
K3,0.2,0.010947986526656487,0.011362757571724363,1.037885600613225,1.0247702554234475,1.0519578302379904,False
