cell,seed,arm,R_s,tv_future,n_future_total,empty_live_cells,ess_anc_final,p90,s90,dtau,n_events,n_replacements,kl_pre,kl_post,tv_pre,tv_post,ess_anc,wmax_family,local_ess_min,local_ess_median,n_gaining_occupied
K2,8000,abf,0.010396390441042758,0.815215844402277,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8000,p0.02,0.010405128358167206,0.8126853059772297,674560.0,0,0.9696969696969697,0.02,1.514398152358575,0.013340419945742197,3.0,3.0,1.8635703098518608,1.8260706053983198,0.8000446782110009,0.7921909718157474,0.9696969696969697,0.01171875,0.6000000000000001,0.8888888888888888,4.0
K2,8000,p0.05,0.01038036302583993,0.8112221299810247,674560.0,0,0.9552238805970149,0.05,1.5143981249186327,0.033870415938547546,6.0,6.0,1.8635699769962153,1.8088946247459419,0.8000446303922434,0.7886568571196619,0.9552238805970149,0.0078125,0.6666666666666666,0.8285714285714286,4.0
K2,8000,p0.1,0.010541912968721189,0.8087923980075902,674560.0,0,0.9078014184397163,0.1,1.5143981512999851,0.06957253319900254,14.0,13.0,1.8635705558828521,1.7774654158747822,0.8000447133172054,0.7819639564573515,0.9078014184397163,0.0078125,0.5555555555555555,0.7823529411764705,4.0
K2,8000,p0.2,0.010333157573401155,0.8127757352941177,674560.0,0,0.810126582278481,0.2,1.514398152358575,0.14734800816197405,29.0,26.0,1.8635703098518606,1.7204111597737803,0.8000446782110009,0.7708583387809332,0.810126582278481,0.01171875,0.48571428571428565,0.5357142857142857,4.0
K2,8001,abf,0.008510952350373777,0.8446379862428841,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8001,p0.02,0.008636272675771342,0.8434164492409866,674560.0,0,0.9696969696969697,0.02,0.9408129314021969,0.02147367095327777,4.0,4.0,2.1573878787197933,2.136545271177445,0.8529628002982955,0.8498610919983495,0.9696969696969697,0.0078125,0.7142857142857142,1.0,3.0
K2,8001,p0.05,0.008616494089699226,0.8423075782732448,674560.0,0,0.9411764705882353,0.05,0.9408129314021969,0.05452018427414953,8.0,8.0,2.1573878787197933,2.1220939307343416,0.8529628002982955,0.8477495676043857,0.9411764705882353,0.0078125,0.7142857142857142,1.0,3.0
K2,8001,p0.1,0.00877889889377694,0.8441472960151801,674560.0,0,0.8951048951048951,0.1,0.9408129314021969,0.11198880472528787,15.0,15.0,2.1573878787197938,2.0759887848697955,0.8529628002982955,0.8421475521030319,0.8951048951048951,0.0078125,0.6,0.7142857142857142,3.0
K2,8001,p0.2,0.008564231061361541,0.8409704103415558,674560.0,0,0.7619047619047619,0.2,0.940812911788584,0.23718164208651266,34.0,33.0,2.1573881323087587,1.9441002996494754,0.8529628368503782,0.8159722116249563,0.7619047619047619,0.015625,0.33333333333333337,0.4444444444444444,3.0
K2,8002,abf,0.017020527738270154,0.8577546845351043,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8002,p0.02,0.01727988769936957,0.8482492291271346,674560.0,0,0.9624060150375939,0.02,0.8036049857468424,0.025140097032553595,5.0,5.0,2.1512980975526332,2.069064071534799,0.8477496443941155,0.8326761173993279,0.9624060150375939,0.0078125,0.6,0.6333333333333333,4.0
K2,8002,p0.05,0.017386437813179268,0.8467178605313093,674560.0,0,0.9343065693430657,0.05,0.8036049857468424,0.06382898973664329,10.0,9.0,2.1512980975526337,2.0558611778539437,0.8477496443941154,0.831442036035028,0.9343065693430657,0.0078125,0.5384615384615385,0.6904761904761905,4.0
K2,8002,p0.1,0.017872721138117206,0.8353860294117648,674560.0,0,0.8205128205128205,0.1,0.8036049857468424,0.13110983322223654,26.0,26.0,2.1512980975526337,1.956862569429036,0.8477496443941156,0.8143081362408585,0.8205128205128205,0.01171875,0.4444444444444444,0.5470085470085471,4.0
K2,8002,p0.2,0.017630479329587802,0.8371249407020873,674560.0,0,0.7804878048780488,0.2,0.8036049857468424,0.27767815689549,36.0,34.0,2.1512980975526332,1.9485424627662944,0.8477496443941156,0.812558566602307,0.7804878048780488,0.01171875,0.5,0.5555555555555555,4.0
K2,8003,abf,0.008489146752051195,0.8378780241935484,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8003,p0.02,0.00861688780852846,0.8327784037001897,674560.0,0,0.9552238805970149,0.02,0.9530329625329894,0.021198330080655678,6.0,6.0,1.923941171218442,1.848162712291364,0.8136596818533413,0.7984515544216534,0.9552238805970149,0.0078125,0.6,0.7070707070707072,4.0
K2,8003,p0.05,0.008533497220073155,0.8344417101518027,674560.0,0,0.9411764705882353,0.05,0.9530329554654431,0.053821112998657966,8.0,8.0,1.9239414179840153,1.8501350487800428,0.8136597169752618,0.795524229738248,0.9411764705882353,0.0078125,0.5714285714285714,0.6888888888888889,4.0
K2,8003,p0.1,0.00862696833586042,0.8281857803605313,674560.0,0,0.9142857142857143,0.1,0.9530329625329894,0.110552855777199,12.0,12.0,1.9239411712184424,1.8164719165347323,0.8136596818533413,0.7909360132957496,0.9142857142857143,0.0078125,0.5384615384615385,0.6746031746031746,4.0
K2,8003,p0.2,0.008837043890385216,0.8242691532258064,674560.0,0,0.8050314465408805,0.2,0.9530329554654431,0.23414043557940833,25.0,25.0,1.9239414179840153,1.722595843794965,0.8136597169752618,0.7721768101197036,0.8050314465408805,0.015625,0.33333333333333337,0.4647058823529412,4.0
K2,8004,abf,0.009928782997444806,0.8248161764705881,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8004,p0.02,0.009939130242222212,0.8248057993358633,674560.0,0,0.9846153846153847,0.02,0.8964248116212676,0.022536979181757576,2.0,2.0,1.9007317406305984,1.9011073598857766,0.8067355486126895,0.8079059130400698,0.9846153846153847,0.0078125,0.9999999999999998,0.9999999999999999,4.0
K2,8004,p0.05,0.010154037097516673,0.8175091911764706,674560.0,0,0.9343065693430657,0.05,0.8964248116212676,0.0572198512609015,9.0,9.0,1.9007317406305984,1.813929440995165,0.8067355486126894,0.7905290542140919,0.9343065693430657,0.0078125,0.6000000000000001,0.8181818181818181,4.0
K2,8004,p0.1,0.010205032332556967,0.8135703273244782,674560.0,0,0.8648648648648649,0.1,0.8964248184652688,0.11753413503009609,20.0,20.0,1.90073148526145,1.7502793900845086,0.8067355119837726,0.7770872256642526,0.8648648648648649,0.0078125,0.5555555555555555,0.6038961038961039,4.0
K2,8004,p0.2,0.01036985300986685,0.8152499407020872,674560.0,0,0.8050314465408805,0.2,0.8964248116212676,0.24892612121102922,33.0,30.0,1.9007317406305984,1.7614032556811483,0.8067355486126895,0.7824546438705494,0.8050314465408805,0.01171875,0.5555555555555555,0.6000000000000001,4.0
K2,8005,abf,0.013795693473079946,0.8396110056925996,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8005,p0.02,0.013966393824253336,0.8350302419354838,674560.0,0,0.9696969696969697,0.02,0.8058006872008057,0.025071593557086342,4.0,4.0,2.0760338376792413,2.046152490240672,0.8385776069463923,0.8314055153297816,0.9696969696969697,0.0078125,0.6666666666666666,0.6666666666666666,4.0
K2,8005,p0.05,0.014205770695800783,0.8297556925996205,674560.0,0,0.9411764705882353,0.05,0.8058006872008057,0.0636550640900214,8.0,8.0,2.0760338376792413,2.0027328485573475,0.8385776069463922,0.8259222627227886,0.9411764705882353,0.0078125,0.5555555555555555,0.6666666666666666,4.0
K2,8005,p0.1,0.014195598504155065,0.8322462049335864,674560.0,0,0.9014084507042254,0.1,0.8058006872008057,0.13075257607911475,14.0,14.0,2.0760338376792413,2.0065594627539194,0.8385776069463923,0.8274578357529577,0.9014084507042254,0.0078125,0.5555555555555555,0.6333333333333333,4.0
K2,8005,p0.2,0.014226818075477916,0.8258924335863378,674560.0,0,0.8258064516129032,0.2,0.8058006872008057,0.27692152024512023,29.0,27.0,2.0760338376792418,1.9370705814770528,0.8385776069463922,0.8135777223664544,0.8258064516129032,0.0078125,0.5,0.5777777777777777,4.0
K2,8006,abf,0.008152447097546062,0.807794710626186,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8006,p0.02,0.008190326291233173,0.8078347367172676,674560.0,0,0.9846153846153847,0.02,3.4614447698036575,0.005836495643021748,2.0,2.0,1.7931574421594743,1.7733482628044288,0.7770109871333,0.7734439163306263,0.9846153846153847,0.0078125,0.8571428571428572,1.0,4.0
K2,8006,p0.05,0.0082875907407136,0.8024149074952562,674560.0,0,0.9624060150375939,0.05,3.461444769803658,0.014818463907040778,5.0,5.0,1.7931574421594747,1.7576931007421739,0.7770109871332997,0.7699330996788126,0.9624060150375939,0.0078125,0.764705882352941,0.9090909090909092,4.0
K2,8006,p0.1,0.00833594247110096,0.80041805028463,674560.0,0,0.9552238805970149,0.1,3.461444769803658,0.03043830615959896,6.0,6.0,1.7931574421594747,1.747356701752715,0.7770109871332997,0.7666696249468737,0.9552238805970149,0.0078125,0.7142857142857142,0.8823529411764706,4.0
K2,8006,p0.2,0.00826102859276301,0.7987191650853889,674560.0,0,0.927536231884058,0.2,3.461444769803658,0.06446543745572084,11.0,10.0,1.7931574421594747,1.6900135267809413,0.7770109871332997,0.753395277016891,0.927536231884058,0.0078125,0.7,0.7571428571428571,4.0
K2,8007,abf,0.011222489277636276,0.8277380811195445,674560.0,0,1.0,,,,,,,,,,,,,,
K2,8007,p0.02,0.011293982245648497,0.8257560483870967,674560.0,0,0.9770992366412213,0.02,0.8502830954229383,0.023759977619536774,3.0,3.0,2.0531630072265807,2.0286154764806548,0.8375191485831031,0.8333822873742768,0.9770992366412213,0.0078125,0.7142857142857142,1.0,4.0
