cell,seed,arm,j,n_future,fhat,f_ref,a,pi_star
K2,8000,abf,0,3966.0,-19.767279496575604,-20.001447663525564,5.758094411151144e-32,0.00390625
K2,8000,abf,1,4364.0,-16.35120579941915,-16.736926222184675,5.640582280311324e-32,0.00390625
K2,8000,abf,2,5524.0,-13.596101642044818,-14.119694821265368,3.6156014672276936e-06,0.00390625
K2,8000,abf,3,9372.0,-11.46631073306674,-12.112613681448535,7.272868562147565e-05,0.00390625
K2,8000,abf,4,15267.0,-9.993506286528413,-10.612314324874749,0.00017841234520502852,0.00390625
K2,8000,abf,5,23015.0,-8.946866093958203,-9.37970088141536,0.0002490952182237675,0.00390625
K2,8000,abf,6,29476.0,-7.881988206971304,-8.130169058873427,0.00035289069444323373,0.00390625
K2,8000,abf,7,38454.0,-6.452617798220983,-6.598728030372591,0.0003948425611381609,0.00390625
K2,8000,abf,8,42762.0,-4.5312722984407525,-4.620588418274956,0.0004941982548528808,0.00390625
K2,8000,abf,9,44730.0,-2.198161279472806,-2.252863240698835,0.0005099707143646579,0.00390625
K2,8000,abf,10,44297.0,0.21255007894701825,0.22605911217101549,0.0006023350264339747,0.00390625
K2,8000,abf,11,36919.0,2.2133245951973586,2.355230571581429,0.0005944796779032567,0.00390625
K2,8000,abf,12,25998.0,2.767886170054471,3.6060840625782453,0.0006773010091865126,0.00390625
K2,8000,abf,13,13300.0,0.32567497134546775,3.275144141174126,0.0006483694517539563,0.13136770823461905
K2,8000,abf,14,10048.0,-0.5992525295698089,0.6855115062732063,0.0007190962031104933,0.20302609566872679
K2,8000,abf,15,10555.0,-0.19450007345624193,-0.08397731392047976,0.0006716400359167596,0.00390625
K2,8000,abf,16,11117.0,0.398930528329133,0.27399170958044256,0.0007277206082059181,0.00390625
K2,8000,abf,17,11593.0,0.6779965881478921,-0.3699228766684197,0.0006642914303916642,0.3783588635768379
K2,8000,abf,18,15927.0,-1.2483685990007143,-2.9743058338938515,0.0007031742244727865,0.17787233251981635
K2,8000,abf,19,23186.0,-3.160560814046146,-3.436226280277556,0.0006263236351786695,0.00390625
K2,8000,abf,20,24012.0,-2.1513733792891876,-2.215293491858746,0.0006454570519110974,0.00390625
K2,8000,abf,21,22342.0,-0.06068378165577057,-0.11939669396034924,0.0005577366502777776,0.00390625
K2,8000,abf,22,24122.0,2.4052406944684166,2.3566676671297633,0.0005545690905208532,0.00390625
K2,8000,abf,23,23712.0,4.761877609079548,4.739356923226084,0.00045853047568898827,0.00390625
K2,8000,abf,24,23168.0,6.729474286758311,6.729879356794805,0.0004305103403020531,0.00390625
K2,8000,abf,25,23789.0,8.241321288585485,8.282174936728236,0.0003287051114123004,0.00390625
K2,8000,abf,26,21947.0,9.48819130618305,9.536218308969232,0.0002732808012546973,0.00390625
K2,8000,abf,27,21940.0,10.71281381722139,10.762180863513906,0.00016826055744771585,0.00390625
K2,8000,abf,28,20238.0,12.214289682789715,12.251816073352863,8.288047337878629e-05,0.00390625
K2,8000,abf,29,17576.0,14.204622463308697,14.228240678469687,3.615601467227656e-06,0.00390625
K2,8000,abf,30,17198.0,16.855008339224508,16.82835293200227,0.0,0.00390625
K2,8000,abf,31,14646.0,20.027685475473515,20.20578082012556,0.0,0.00390625
K2,8000,p0.02,0,3947.0,-19.76809723877621,-20.001447663525564,5.758094411151144e-32,0.00390625
K2,8000,p0.02,1,4350.0,-16.350329174545447,-16.736926222184675,5.640582280311324e-32,0.00390625
