method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_barrier_crossings,median_mean_fr_event_fraction,prob_beats_abf
abf_only,none,0.0,0.075,0.0,1,5,15.91035585335706,0.013688331632008,0.0717832788274096,486431.0,0.0,
abf_fr_estimated,estimated,0.01,0.075,0.4,5,5,15.24662204164353,0.011973576338127,0.0672525303029562,505884.0,1.0833334044946242e-06,0.8
abf_fr_uniform,uniform,0.05,0.1,0.0,5,5,14.97090992512817,0.0118011113378734,0.0680301069935279,479310.0,7.250000421663571e-06,0.6
abf_fr_oracle,oracle,0.1,0.075,0.0,5,5,13.267515252650862,0.0113176817292962,0.0602371305578991,475842.0,1.6651006130814495e-05,1.0
