method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_barrier_crossings,median_mean_fr_event_fraction,prob_beats_abf
abf_only,none,0.0,0.075,0.0,1,5,15.91035585335706,0.013688331632008,0.0717832788274096,486431.0,0.0,
abf_fr_estimated,estimated,0.1,0.075,0.0,5,5,14.081111206279628,0.0126394139727194,0.0771296723289129,465009.0,1.5800503492755526e-05,0.6
abf_fr_uniform,uniform,0.05,0.15,0.2,5,5,14.46256526891927,0.0124659709401209,0.0769331091754065,490762.0,5.250314387694743e-06,0.8
abf_fr_oracle,oracle,0.1,0.075,0.0,5,5,13.267515252650862,0.0113176817292962,0.0602371305578991,475842.0,1.6651006130814495e-05,1.0
