arm,e_med@0,e_med@1,e_med@2,e_med@3,e_med@4,e_med@5,e_med@6,e_med@7,e_med@8,e_med@9,e_med@10,e_med@11,e_med@12,e_med@13,e_med@14,e_med@15,e_med@16,e_med@17,e_med@18,e_med@19,e_med@20,e_med@21,e_med@22,e_med@23,e_med@24,e_med@25,e_med@26,e_med@27,e_med@28,e_med@29,e_med@30,e_med@31,e_med@32,e_med@33,e_med@34,e_med@35,e_med@36,e_med@37,e_med@38,e_med@39,e_med@40,e_med@41,e_med@42,e_med@43,e_med@44,e_med@45,e_med@46,e_med@47,e_med@48,e_med@49,e_med@50,e_med@51,e_med@52,e_med@53,e_med@54,e_med@55,e_med@56,e_med@57,e_med@58,e_med@59,e_med@60,e_med@61,e_med@62,e_med@63,e_med@64,e_med@65,e_med@66,e_med@67,e_med@68,e_med@69,e_med@70,e_med@71,e_med@72,e_med@73,e_med@74,e_med@75,e_med@76,e_med@77,e_med@78,e_med@79,e_med@80,e_med@81,e_med@82,e_med@83,e_med@84,e_med@85,e_med@86,e_med@87,e_med@88,e_med@89,e_med@90,e_med@91,e_med@92,e_med@93,e_med@94,e_med@95,e_med@96,e_med@97,e_med@98,e_med@99,e_med@100
abf,2.994907572165497,1.5840684545450983,2.232253937700199,2.993584962520326,4.298238729386261,6.9182812263727165,5.438523043900724,3.7717762871429446,2.8202249624226816,2.1537618590784193,1.6402330255457938,1.2429963608273091,0.9637035940331113,0.7870789753512664,0.6690729407797185,0.5902349997425469,0.5400097210874664,0.5051421395943188,0.47893841449833807,0.4553875017446837,0.4312177025972038,0.40857798308680404,0.39651760293121335,0.38545005889837647,0.3720580917213765,0.3639054385505326,0.35517113459367045,0.3465698452480687,0.3397242460034011,0.3344903464216399,0.32791215190152523,0.32462816706163405,0.31655049651490635,0.3129361344239102,0.30781328275936526,0.3048380411422029,0.29922035263836944,0.2948228491480235,0.28996378613948637,0.2864609421598635,0.2831429446094302,0.2817627587577475,0.28039573969102316,0.27856792555102244,0.27578354876649047,0.27241319189540747,0.2684080033376378,0.2655324876185263,0.2627276667321585,0.26146010636895456,0.25816270777755385,0.25627344270072183,0.25390921603873146,0.2518734719088508,0.25037018157154267,0.24931177383949826,0.24711871608868566,0.24614108878994395,0.24391544903570134,0.24171235364482738,0.23970580986584383,0.23747251942505024,0.2360737204560136,0.23501061654587724,0.23470919599917978,0.23302214743822813,0.23199697617152243,0.23146674676867157,0.23137132151092898,0.22960409477045612,0.2286398966841064,0.22871164182682058,0.22792622828329973,0.22654385909284697,0.2253282713930409,0.22397227630590333,0.22256480658129113,0.22148029350521425,0.22113068114739462,0.221602014342358,0.22088613188623393,0.22008336310112098,0.21893610567388944,0.2176609094407694,0.21718681786927568,0.21756328805621908,0.2171842229976913,0.2159365767301484,0.21613067888562054,0.21563856309824098,0.2147931237289998,0.2135208720598008,0.2125432279005396,0.2115461568161786,0.21137688178344832,0.21073477370451105,0.21056709734373824,0.2098161448669488,0.20923650037835298,0.20855538698168907,0.20844277969615116
u02_t10,2.994907572165497,1.5840684545450965,2.232253937700391,2.9935849656485765,4.298238626366251,6.918237420510329,5.4358458405137196,3.7858666912935854,2.8432266373523674,2.1597308788536322,1.6309874364914387,1.2322175256333971,0.9616141414830246,0.789832254187645,0.6773082968199048,0.6061336038064298,0.5544009724718966,0.5187444683237623,0.4905172372121621,0.46164913330059876,0.44100201607627293,0.4214821013631601,0.41258205718060614,0.4004804777157931,0.3864166851430316,0.37495337064923595,0.3655078348631021,0.35748175846554664,0.3526647569717637,0.3413317175819384,0.3329322269152149,0.32515181110861646,0.32181939297121426,0.3170743365337164,0.312998614057011,0.30685470474724513,0.30166785220087144,0.29761879734025204,0.29234449801326323,0.2905774216841812,0.28888632738890496,0.285371696182736,0.282344728523541,0.27994525974968687,0.276172220494626,0.27335885252715514,0.27021882435379757,0.2686476561556681,0.26591129577385436,0.26379340504732357,0.26062471370666696,0.2581669387726092,0.25680814042057754,0.2554373301920508,0.25271999953312896,0.2501330663541389,0.24912544520279095,0.24811791355551188,0.24604676728913022,0.24304295483702296,0.24115473930155168,0.23986166309017465,0.23882522203944023,0.2374306787183174,0.23658850951699645,0.23485328222767532,0.23395149183429004,0.23351662743440765,0.2329624971706517,0.2315090126722522,0.2297453268646434,0.22952888924322434,0.2291206940602563,0.2290258266971132,0.22914369392405426,0.22880027116731738,0.22726378180513654,0.22700204820870162,0.2258935041902485,0.22460572716376848,0.2238887724667109,0.22271586008635105,0.22214661314609332,0.2204423798099125,0.22036199267674025,0.22111187347896263,0.22038070049237418,0.22011757295240242,0.21960791749031172,0.21839212396095892,0.21754669771778196,0.21653447021386263,0.21556035644690436,0.21427146050900753,0.21335592356372704,0.21374476147602614,0.2134171471061631,0.21321334753893043,0.21269166280577773,0.2125818793937125,0.2129012458126786
u02_t10:ratio,1.0,1.0000000000000009,1.000000000000065,1.0000000000096956,0.9999999983689087,0.9999947625514654,0.9989514530360262,0.9988028221516554,0.9994239452430533,0.998216775668046,0.9924135207898965,0.9924102528652501,1.0019181313986314,1.0115156865297363,1.0031255013208833,1.0060653722986665,1.0051078611193631,1.0101943537853866,0.9995488997281905,0.9974796936515999,1.0063277828435688,1.0097618694214043,1.0146788797054085,1.0331190562005568,1.0205150699819991,1.0104538830269085,1.0171534064540269,1.0212796177614933,1.0086133739994922,1.0039809755791032,1.008528204295023,1.0107577092389164,1.0097140263364546,1.0088319052507448,1.014181384392947,1.0199938200593688,1.0195444360915218,1.0135713182828707,1.008679069933131,1.0053466524995063,1.0100059081934742,1.0081567730743322,0.9978903660482517,0.9977141746564473,1.0054958450942375,1.0070967248589073,1.004751414548406,1.0003284607016516,1.000910983819645,1.0013782554259885,1.0079629265767636,1.0154538550190333,1.0155275279828535,1.015983427206326,1.0137071200143062,1.016036028537157,1.0157514035088293,1.0143127902684899,1.01085936554519,1.0047347546668342,1.0037895276053734,1.0065862434905415,1.0076617555093696,1.0083608740355312,1.0048145132176214,1.0043549314867786,1.0038635400979912,1.0049469161212623,1.0057874353378298,1.0108490331042523,1.0148264134579246,1.0132026351531584,1.0116722404945149,1.0189461168438156,1.0192333609047917,1.019164055985174,1.0268376536937658,1.029067074805447,1.0281246007926086,1.0314418826131426,1.0351885072279345,1.0287212256893952,1.0289730754847972,1.0290427824311172,1.0237880517184887,1.0168853342095918,1.0156864869758997,1.0130846529738018,1.011900589836006,1.008455501357936,1.0131483918110569,1.013113165370088,1.0116572667900363,1.0149103578106673,1.0154454653098863,1.0148417324207943,1.0163197246326412,1.0180203590419792,1.0195887083125166,1.02341556846315,1.0214122288868066
u02_t10:kl,3.07628355594311,2.9372510704359,2.7040806642944806,2.4520352726713495,2.1574418810910068,1.8259031367122875,1.7357724227641058,1.8273084634991341,1.9653742699873982,1.9926972940064693,1.9581369316594706,1.8879070947846266,1.8281840056148242,1.7626612963500516,1.7306787614150236,1.7026570724421541,1.6945658081037223,1.6906321449714776,1.6894442589125669,1.6838183419215333,1.6792011605302564,1.6746456665264833,1.6829476355078241,1.6803824298736503,1.6807274973609247,1.6817876372909866,1.6799742540188658,1.675951015657044,1.6802231295610466,1.6757784819134067,1.675101580369891,1.6756955233993465,1.6758680571429836,1.67679383422868,1.6673935544180054,1.6746353834692846,1.6764553834569222,1.6786901760148614,1.6772086267989814,1.6728535543809189,1.6772982020285585,1.6772982020285585,1.6795183401754576,1.6734027097955855,1.6756889066838296,1.6728535543809189,1.6752674973980117,1.6737859481821316,1.678607217500801,1.6683259482192188,1.674718341983345,1.6805615803328042,1.6754782020409207,1.6751845388839515,1.675350455912072,1.6763210206125567,1.6755677772704978,1.6731090466386163,1.6744415785990907,1.6776814404151046,1.6761551035844364,1.6774259481574072,1.6740414404398294,1.6756676355572733,1.6703632695652821,1.6767490466138915,1.6747565128826167,1.6727772125823752,1.6723425698655237,1.671365388449522,1.670612145107463,1.6771770726152266,1.6782305958297716,1.6718763729649169,1.673236792767465,1.6737029896680715,1.6768767927427404,1.672214823736675,1.6795843989168027,1.6772982020285583,1.6736134144384947,1.6765104541289093,1.6703566528497653,1.6722831278396955,1.6795080571182592,1.674258761798255,1.6743417203123154,1.675650735784558,1.6765831295857712,1.6751463679846799,1.6808552434897734,1.6700182020780077,1.674929046626254,1.672387357480312,1.6746735543685565,1.6727045371255134,1.6711994714214016,1.6724321450951005,1.6692135544056432,1.6752741141135286,1.6755229896557093
u02_t10:c7ax,0.0,0.0,0.0,0.0,0.0,0.0244140625,0.108642578125,0.199462890625,0.272216796875,0.279052734375,0.2568359375,0.215576171875,0.1806640625,0.154296875,0.1259765625,0.103759765625,0.09716796875,0.088623046875,0.078857421875,0.076904296875,0.074462890625,0.0693359375,0.070556640625,0.068603515625,0.068603515625,0.066162109375,0.0654296875,0.064453125,0.06298828125,0.063720703125,0.062744140625,0.060302734375,0.05810546875,0.058837890625,0.0595703125,0.057861328125,0.060546875,0.057861328125,0.059814453125,0.058837890625,0.0595703125,0.057861328125,0.06005859375,0.05517578125,0.056884765625,0.054443359375,0.055908203125,0.059326171875,0.056396484375,0.05859375,0.056640625,0.056640625,0.056396484375,0.056396484375,0.056396484375,0.054931640625,0.05419921875,0.052734375,0.055908203125,0.0546875,0.0546875,0.052490234375,0.057373046875,0.0537109375,0.054443359375,0.055908203125,0.055419921875,0.054443359375,0.052978515625,0.05517578125,0.054443359375,0.05615234375,0.05517578125,0.05615234375,0.05615234375,0.0537109375,0.053466796875,0.0537109375,0.053466796875,0.0556640625,0.055419921875,0.05712890625,0.05419921875,0.05224609375,0.0546875,0.05517578125,0.052490234375,0.0517578125,0.052978515625,0.052001953125,0.05224609375,0.05419921875,0.05322265625,0.052978515625,0.05419921875,0.0537109375,0.051513671875,0.051513671875,0.052001953125,0.05078125,0.0517578125
u02_t2,2.994907572165497,1.584068454545095,2.232328387431715,2.994965257352109,4.296761794351047,6.879596462348543,5.412595400603422,3.7279492398186895,2.8321778702703413,2.1468032605258043,1.6338482903584004,1.2496343464308204,0.9723349805686945,0.7958674850310066,0.6840482602890439,0.6100476724906336,0.5623036536211806,0.5198706891017397,0.4828432852836083,0.4600592288952707,0.4400351677952309,0.4264801270438864,0.41042457866537513,0.39519817547544134,0.38292474934137444,0.37283221436758573,0.3629575971213206,0.3576085068055705,0.3503822767741057,0.3394155302035228,0.33258264757025724,0.3250203342947735,0.3180151670035587,0.31246255450370125,0.3078231977827086,0.3044021322896342,0.29954030186287506,0.29499954914260385,0.29099739549264014,0.28676626369948044,0.28332756799148673,0.28158682636794397,0.276771593306399,0.2739470437595227,0.2704199536215952,0.26626241172135845,0.26551838620624396,0.2627074614079872,0.26064990512234354,0.25942200747466365,0.2562650597280395,0.25526963367088124,0.2520739176359843,0.2502034287365405,0.24890444934095002,0.24827215323708446,0.24585872969877187,0.2446077950671175,0.24330757278556056,0.24237722364283637,0.24131318825424147,0.23965034789297293,0.2382751071614423,0.23759062177287932,0.2366530988669144,0.23527657586270787,0.23368570788800463,0.2326518038154669,0.23081613181545516,0.22970495937819238,0.2290417108849482,0.2281844218933145,0.22738547995101427,0.22624147181361892,0.22527907092333693,0.2241793824837961,0.22385493076602608,0.22338429069035856,0.22292990088797818,0.22126666737789957,0.22045226827984513,0.21975747343702257,0.2193295782715486,0.21879655783571117,0.2184965913120637,0.21802807594083828,0.21725233130341864,0.2163181839941019,0.21577867655934221,0.21568760850293972,0.21559975447894547,0.21554683460362248,0.21600837505857462,0.21575256361889636,0.21482922660586906,0.21360500087023782,0.21271251741315433,0.2119463882014105,0.2112165626402095,0.21099180302155363,0.2100137322102744
u02_t2:ratio,1.0,0.9999999999999996,1.0000018865376934,0.9998943465929591,1.00088462060892,0.9857137745487261,0.9918870773862841,0.9853995760421919,0.991005663068911,0.9915137341553224,0.9896526564638523,1.0010699045488285,1.0191587634357426,1.008233389406051,1.0099780705067785,1.0172713410333842,1.0082760946137599,1.0186711457238213,1.0083004194991336,1.0078983235816286,1.014072657589823,1.0164524912015909,1.0180834041868723,1.0194624648399695,1.0135060907054867,1.0164813022014045,1.014962380843195,1.0171219262109625,1.0235916187403,1.0223551360500083,1.0263788499243927,1.020589871787858,1.0225845987161488,1.0197634911388775,1.0175655971335797,1.025739775743318,1.0233995603389556,1.0204139132938164,1.0353641193479022,1.0357670872731513,1.0257055024745076,1.0252560169272162,1.015666872585439,1.0099555018960529,1.007575537654699,1.0028190577156049,1.0038596340821737,0.997033592026275,0.9886734796144723,0.9880350678332271,0.9937464364760538,0.9939687404413855,0.9969711408537569,0.9958710631262055,0.9880992163838985,0.9879061220522247,0.9867648905915407,0.9887786433813865,0.9907925939566335,0.9959054810910246,0.9957809503676577,0.99469276819141,0.9974877692061549,0.9969860636102403,1.0040029074078567,1.0072140456897762,1.0025952663991309,1.002403135754837,1.0027699558664773,1.0050374310758534,1.0049822404593696,1.0096238662688508,1.0104181055119668,1.0175862366267907,1.02352815529341,1.0213532468801867,1.0193292623121917,1.0190780024076012,1.0157144259151565,1.0173894546614122,1.013041191947238,1.0158084428215517,1.0157381616294867,1.0138196915235471,1.013655887061627,1.0178610852658765,1.0221003514912006,1.0212935721091532,1.0215704564284396,1.0201186406400065,1.0173297754278858,1.0169066319262683,1.0160456282687975,1.0152764537170134,1.012921033277177,1.0153538481317315,1.015087737625091,1.0155953800678397,1.017962362419727,1.0189159468425775,1.0179426076902973
u02_t2:kl,3.07628355594311,2.9372510704359,2.699423495603247,2.448876700477201,2.157930247953864,1.827020592676012,1.731959889045193,1.8318463527180326,1.9586906990919979,1.985127444545728,1.956384159773477,1.896852870776212,1.8307736843690965,1.7722450979737214,1.7263170722814443,1.7137834056570482,1.694910875590997,1.6907598911003263,1.6844225680081872,1.6790352435021358,1.6814558032347457,1.678696792730378,1.6782687667290435,1.6762446788140133,1.6774707357721956,1.6760273574555875,1.6777196113143764,1.6798846787892887,1.6826686267618944,1.6805483469017708,1.6808787599780057,1.676493554356194,1.6741243989538894,1.6765383419709827,1.6826370725781397,1.6801335543314695,1.6767938342286801,1.6748460881121936,1.674048057155346,1.6726046788387379,1.6752741141135283,1.6751015803698912,1.6772703141864853,1.6744628497256473,1.6713441173229655,1.6810277772334108,1.6742073574679497,1.6751845388839515,1.6734922850251626,1.6732749636667366,1.6756441190690414,1.6764487667414056,1.6739136943109805,1.678396512857892,1.6701459482068564,1.6730708757393444,1.6747117252678279,1.6748908757269823,1.6743732744960704,1.6799228496885605,1.6742969326975268,1.6723043989662518,1.6702355234364334,1.6769979221560725,1.6744180621108589,1.6742521450827383,1.6744246788263757,1.679118202016196,1.6733645388963136,1.6708676373651605,1.6712376423206732,1.6754290430722911,1.6767872175131633,1.6734856683096457,1.6720422899930374,1.6717721433243002,1.6754400311416489,1.672476932709889,1.6756573525000746,1.6697693265358269,1.6687539742205535,1.6736648187688,1.6711231296228581,1.6764487667414056,1.6712508757517068,1.6694690466633406,1.6774259481574072,1.6706121451074631,1.674507637340436,1.6726494664535263,1.6759958032718325,1.680389046589167,1.6768701760272235,1.675650735784558,1.6743417203123154,1.673236792767465,1.6756889066838299,1.6746287667537678,1.6724321450951007,1.6719211605797055,1.6764553834569225
u02_t2:c7ax,0.0,0.0,0.0,0.0,0.0,0.02490234375,0.110595703125,0.1923828125,0.2685546875,0.27294921875,0.251953125,0.221435546875,0.1875,0.149658203125,0.125244140625,0.106689453125,0.0947265625,0.084228515625,0.083740234375,0.07763671875,0.07275390625,0.07177734375,0.071533203125,0.0673828125,0.064208984375,0.068115234375,0.065673828125,0.062744140625,0.06298828125,0.0634765625,0.061279296875,0.063232421875,0.061279296875,0.0595703125,0.063232421875,0.0615234375,0.062744140625,0.060791015625,0.0595703125,0.05908203125,0.0556640625,0.05712890625,0.057373046875,0.059814453125,0.05615234375,0.058349609375,0.0576171875,0.05712890625,0.05615234375,0.0595703125,0.055419921875,0.0595703125,0.054931640625,0.056640625,0.0546875,0.05810546875,0.057373046875,0.05517578125,0.055908203125,0.056640625,0.0556640625,0.0556640625,0.053955078125,0.0546875,0.055419921875,0.0546875,0.05224609375,0.052490234375,0.052734375,0.055419921875,0.054443359375,0.05322265625,0.053466796875,0.05419921875,0.05224609375,0.0546875,0.056884765625,0.0546875,0.052734375,0.05615234375,0.05517578125,0.05322265625,0.0537109375,0.052001953125,0.0537109375,0.054931640625,0.053466796875,0.053955078125,0.055419921875,0.05322265625,0.05126953125,0.053466796875,0.05322265625,0.053466796875,0.052978515625,0.052490234375,0.053466796875,0.055908203125,0.053466796875,0.052490234375,0.0517578125
u02_t20,2.994907572165497,1.5840684545450938,2.2322539377001798,2.993584968934934,4.298238804215107,6.9184004325437405,5.430995783970451,3.768418251332816,2.836902846437664,2.1553890087098733,1.6221478602684316,1.2294198823753282,0.9640709182684893,0.7863156126988975,0.6684144129340911,0.5888285599438118,0.5374176667075878,0.5015379188855549,0.47247527634662156,0.45047768641460606,0.42897598266066794,0.41553560174073356,0.40246992180924623,0.390126177011215,0.37697006403860944,0.36746988616603693,0.3593487195499681,0.3499828709434111,0.3426210373412487,0.336257243516447,0.3298277130702472,0.324436211063678,0.3181497322824788,0.31396421475543546,0.30869071544491156,0.30362991029911895,0.3001286255042614,0.2961507101407314,0.29329994193050435,0.28640002577514645,0.2835026633896909,0.28095387198170824,0.27777254338148516,0.2735143361558976,0.2722086971863875,0.26832011916370646,0.2656488868561829,0.2643378179531794,0.2630981321003605,0.26069491374152864,0.2593612812398359,0.25725774956333597,0.25689594266769544,0.25554470944681146,0.2526756129422257,0.250842186627972,0.24832632408192712,0.2472398601827441,0.24666397474827476,0.24460966770786283,0.2429508750295822,0.24158397842280624,0.24112400357145675,0.24012515351093566,0.23824989454499335,0.2374202147134388,0.2367320014118302,0.23525549704799398,0.23416504926328358,0.23280131818284078,0.2328146155749603,0.23121795598947564,0.22999906331352735,0.22879971541649138,0.22806074374719693,0.22760162116258742,0.22596833053060264,0.22545017202266088,0.2249906313975482,0.22448866976059093,0.22367780284095265,0.2232951983314484,0.22308489319380953,0.22253119930649518,0.2215446404031267,0.22082123338738074,0.22017980830342082,0.21884087825976156,0.21767861736017768,0.21649549827349487,0.2161060081640659,0.2155259465650938,0.2146977526808187,0.2146241699912549,0.2139651111481526,0.21406791952567367,0.21271200041701016,0.21113190317361852,0.21088378708979824,0.21030127925870395,0.20967571994330475
