cell,arm,e_med@0,e_med@0.5,e_med@1,e_med@1.5,e_med@2,e_med@2.5,e_med@3,e_med@3.5,e_med@4,e_med@4.5,e_med@5,e_med@5.5,e_med@6,e_med@6.5,e_med@7,e_med@7.5,e_med@8,e_med@8.5,e_med@9,e_med@9.5,e_med@10,e_med@10.5,e_med@11,e_med@11.5,e_med@12,e_med@12.5,e_med@13,e_med@13.5,e_med@14,e_med@14.5,e_med@15,e_med@15.5,e_med@16,e_med@16.5,e_med@17,e_med@17.5,e_med@18,e_med@18.5,e_med@19,e_med@19.5,e_med@20,e_med@20.5,e_med@21,e_med@21.5,e_med@22,e_med@22.5,e_med@23,e_med@23.5,e_med@24,e_med@24.5,e_med@25,e_med@25.5,e_med@26,e_med@26.5,e_med@27,e_med@27.5,e_med@28,e_med@28.5,e_med@29,e_med@29.5,e_med@30,e_med@30.5,e_med@31,e_med@31.5,e_med@32,e_med@32.5,e_med@33,e_med@33.5,e_med@34,e_med@34.5,e_med@35,e_med@35.5,e_med@36,e_med@36.5,e_med@37,e_med@37.5,e_med@38,e_med@38.5,e_med@39,e_med@39.5,e_med@40
b1.4,abf,2.489676874666306,4.571271053496921,3.0541689475076987,2.8732422569108067,2.9293496154362213,3.0759892083593403,3.2632276196427505,3.1160938094840605,3.002090865268237,2.882007182974014,2.774393993111949,2.6616991841557365,2.557357270108953,2.466997599998805,2.379283697981374,2.2991579052660414,2.2195679827060353,2.141862655419815,2.071496701765823,2.004892808413503,1.9417435959079246,1.8827291705796145,1.8271845470962087,1.7754571232000766,1.7272592991177835,1.6813995017857595,1.6368585084637954,1.594336124181476,1.5540118441962334,1.5160516750689994,1.4792960712511216,1.446084113944596,1.4143793132695461,1.3854270060510823,1.357820861170009,1.3317488347813153,1.307536061711194,1.2847590483615674,1.2642448481310422,1.2447073136852573,1.2258979369988168,1.2089834322838233,1.1937313111241332,1.179124183406544,1.1655795722470739,1.1528192468844787,1.1411911579184657,1.1305158451117259,1.1210493512214788,1.112197323210775,1.1041223875395514,1.097029260785845,1.0908903545698807,1.0848819373837948,1.0791846494362187,1.0750761739100374,1.0713326794428641,1.0681361378720031,1.0653537444229506,1.0628502996117744,1.0608981559782007,1.0594829998031998,1.0584438183257876,1.0574170597267805,1.0557714721788154,1.0547480377917504,1.0547168612907856,1.0548475884829944,1.0551239688897533,1.0554083840142492,1.0560236795916391,1.0565471890934734,1.057216380155602,1.0579491189801722,1.0582164666257468,1.058667164568662,1.0588944784029775,1.059323095878509,1.059758135974358,1.0604067528388925,1.0611666680251113
b1.4,campaign_abf,2.489676874666306,,,,,3.075989208359303,,,,,2.7743939931478048,,,,,2.299157903027259,,,,,1.9417435765536322,,,,,1.6813995464480795,,,,,1.479296111544064,,,,,1.3317487350128439,,,,,1.2258979447251357,,,,,1.1528198725958763,,,,,1.1041226861029045,,,,,1.0750762459333396,,,,,1.0608988383795586,,,,,1.0547495020826068,,,,,1.0560515027031752,,,,,1.058665786387004,,,,,1.061145495488166
b1.4,campaign_abf:ratio,1.0,,,,,1.0000000000000022,,,,,1.0000000000177853,,,,,1.0000000001945555,,,,,1.0000000041517256,,,,,1.0000000001766225,,,,,1.0000000244998515,,,,,0.999999960252676,,,,,0.9999998408485916,,,,,0.9999998384692983,,,,,0.9999999438568608,,,,,1.000000052142179,,,,,0.999999805072971,,,,,1.0000000262926954,,,,,1.000000540754868,,,,,1.0000004472962387,,,,,0.9999996372459268
b1.4,campaign_fr_uniform,2.489676874666306,,,,,3.0759892083593323,,,,,2.7743939932019845,,,,,2.3001078048440156,,,,,1.9451119773445846,,,,,1.6867406033847798,,,,,1.4970958268583574,,,,,1.3534029932451266,,,,,1.2477687269111502,,,,,1.1688093910460098,,,,,1.1184958677352235,,,,,1.0869105879101837,,,,,1.0662113534583963,,,,,1.0581526669341488,,,,,1.0537388742902625,,,,,1.052966137720685,,,,,1.0533286345285688
b1.4,campaign_fr_uniform:ratio,1.0,,,,,1.0000000000000009,,,,,1.0000000000202696,,,,,1.0005024161198106,,,,,1.0027297259993073,,,,,1.0064648147281456,,,,,1.0105304045768433,,,,,1.0133366318487425,,,,,1.0148706074519755,,,,,1.0154665217681462,,,,,1.0135284050722553,,,,,1.0102307808248514,,,,,1.0051755880947453,,,,,1.001809142036516,,,,,0.9980866723802433,,,,,0.9941893406981014,,,,,0.9914876327646891
b1.4,u02_s12000,2.489676874666306,4.571271053496917,3.0541689475076996,2.873242256910806,2.9293496154362213,3.0759892083593057,3.263227619640258,3.1160938095018054,3.002090865283549,2.88200718316542,2.7743939931355635,2.6616991849366833,2.557357270886622,2.4670107606116605,2.3795759358803137,2.3001078028447774,2.2209992383632096,2.143710977309556,2.073889811861667,2.007750537942645,1.9451118439797974,1.886244609861396,1.8311607494214726,1.7798575218907404,1.7320910260038715,1.6867405869827532,1.6442186918224042,1.6052801172333369,1.5683641915885742,1.5326386857833154,1.4970956928358112,1.4650091084506505,1.4345977179954263,1.4059239718179093,1.3785596734113006,1.3534029051492464,1.3297294595838138,1.3075953685392872,1.2861725998855853,1.2668509191903572,1.2477681397287799,1.2297794731274343,1.2130749567791368,1.1974862410171496,1.1827157854121055,1.1687316907408323,1.1566375156248925,1.1455262210999178,1.1356942089649338,1.1269048645139788,1.118495470116398,1.1107988979218175,1.1039062682209264,1.097604465648433,1.091844874877828,1.0869100989587754,1.0821993058780242,1.077682762665397,1.07351524568609,1.0695645917906738,1.0661052850659543,1.0633545991592837,1.0616510006744129,1.0603843743903942,1.0589003726618251,1.0580720742713783,1.0575605024711856,1.0561174147515047,1.054842413248126,1.0538949052638966,1.0537104297822033,1.0533683989310547,1.0531974039206429,1.0529123038623656,1.0529361974853315,1.0528134821595747,1.052724908601477,1.0529451777867642,1.0531975846522326,1.0532210921612908,1.0533945190677132
b1.4,u02_s12000:ratio,1.0,1.0,1.0,1.0000000000000004,0.9999999999999999,0.9999999999999967,1.0000000000001137,1.0000000000005371,1.000000000002053,1.0000000000051987,1.0000000000139146,1.0000000000311586,0.9999999999175708,1.0000481055039028,1.0003234530904668,1.0005024152430302,1.00084628373663,1.0013282274018207,1.001802677060806,1.002096295547338,1.0027295604390787,1.0033077444040162,1.0041120640425518,1.0048682856905016,1.0056771350119273,1.0064645300801685,1.0070630809515415,1.0077781525269063,1.0087614029580714,1.0096531315905306,1.010529931162793,1.0111310620072902,1.011772607508143,1.0123596534957335,1.0129013703300447,1.0133362992759496,1.0136396444031692,1.0137982666303453,1.014155197535849,1.01452240024682,1.0148339093651757,1.0150240245567579,1.015188213232689,1.0154558662046678,1.0153693092048512,1.0154211664174548,1.0152460306405517,1.0150867799340553,1.0148046570645324,1.0141546080262578,1.0134622877834358,1.0127772174330167,1.012127163488256,1.011558686275107,1.0108498074716565,1.0101813913209772,1.0093478126465332,1.0080454787099682,1.0068576161169345,1.0059389072156315,1.0051669450077934,1.0044003555003334,1.0039736680072158,1.003415569583523,1.0025468962427762,1.001748950314833,1.0010069764309995,1.0003520145361011,0.9995409694009261,0.9987731086388503,0.9978201789230727,0.9969352643550196,0.9959977116212895,0.9953034709154173,0.9943777331196183,0.9936899745701571,0.9932088640217491,0.9926879012352791,0.9921029723339143,0.9915607113274433,0.9911345312035391
b1.4,u02_s3000,2.489676874666306,4.57127105349692,3.054168947507701,2.8732422569108094,2.9227674294784967,3.0671580843156363,3.236739183693324,3.0986398399702395,2.983047915266765,2.866000023228196,2.7605426334067777,2.6527441203342277,2.5498539952837294,2.4619470939875896,2.3751937159409033,2.2963097347237356,2.2198129397024946,2.1446417443425494,2.076453008313373,2.01015619081965,1.9490732861902593,1.892508331504388,1.8385635192342311,1.7886594188714224,1.7422887056419574,1.6971349844213,1.6531429755250056,1.6115779846930816,1.5719055967097333,1.535343137485858,1.4995090657525956,1.4670582760512991,1.4365081324470643,1.408659209908004,1.3814530096514996,1.3555662151669887,1.332002161521077,1.3107397742013553,1.2905380094806014,1.270952640069731,1.251799362020483,1.2339303877144028,1.217605857520216,1.2023139146965138,1.1880714615768675,1.1746952526001737,1.1623731400082242,1.1506649776345537,1.1395609847971613,1.129675668051381,1.1205137589075962,1.1126384425148053,1.1053169250277826,1.0991176236782412,1.0933748788916327,1.087430772241383,1.0820290422336412,1.0775005264959507,1.072956842186508,1.0698472013912963,1.066909592847379,1.0642672789602883,1.0619759606902652,1.0600762704866944,1.058111453237057,1.0563605656701816,1.0563496810050337,1.056524169883948,1.0562120196832747,1.0557743073774088,1.055355684042779,1.0550608063980715,1.054941544631975,1.0547808320821748,1.0549765071156545,1.0548397269210779,1.0546941052524659,1.0548035796414958,1.0548773900806174,1.0548953274082884,1.055075436483203
b1.4,u02_s3000:ratio,1.0,1.0,1.0000000000000004,1.0000000000000004,0.9997742497009545,0.9982450778642586,0.9959690382471866,0.9946198775040886,0.9943917825501127,0.9944788823879538,0.9947635111770381,0.9949138679614585,0.9959233351629635,0.9965952876346409,0.9975040096580435,0.9984891260991453,0.999684881701801,1.0008766359910635,1.001789933602864,1.0024932466279513,1.0030820847488275,1.0040770935435104,1.0052025348890317,1.0061047739658113,1.0071087856330114,1.008078399776395,1.0087387990029266,1.0095860570911166,1.010545221110707,1.0111965003486045,1.0118317906138699,1.0121279146921855,1.0125605633809058,1.0132233991490702,1.0135964007340914,1.0139599252875513,1.014148920181352,1.014261264646461,1.0142333675484672,1.0141600438899063,1.01418918757374,1.0141744217067132,1.0143062831027603,1.014111198307406,1.0139351655001256,1.0135031060830244,1.0132494026651728,1.0128602639376452,1.0123704393849806,1.0120902035163464,1.0118618987235397,1.0114919153063786,1.0110820863097403,1.0107398969125285,1.0104225739670596,1.01017137701588,1.0097364188892564,1.0090230373252598,1.0079741892048837,1.0067734249296194,1.0056622882726987,1.0049395057295711,1.0041408624524992,1.0033949523436516,1.0024684880766068,1.0014378001026905,1.0005569153565803,0.9998056428506453,0.9990316915262002,0.9983755150913189,0.9976569748979829,0.9966700516296747,0.9958242794695882,0.9949247498293238,0.9942428199983633,0.9936573333895453,0.9929024754300352,0.9921081438572698,0.9911316553718955,0.9901176419718462,0.9899088899963593
b1.4,u02_s5000,2.489676874666306,4.571271053496918,3.0541689475077005,2.8732422569108094,2.9293496154362213,3.0759892083592835,3.287352603542147,3.1150700999509278,3.000168837280385,2.878196346011176,2.768926119180986,2.6600343857082422,2.5578941794873096,2.4694171430381484,2.3836770815214425,2.306098691896064,2.2275587132681216,2.1511662744303903,2.082330505284431,2.017400420443235,1.955500045673185,1.8983257662638728,1.8443133837059849,1.7941607544299365,1.747600187004328,1.702474835246368,1.65908229511586,1.6178074038483419,1.57863197057484,1.5413036185643247,1.5057758711811338,1.4734228338101572,1.4421656864595715,1.4138634160572288,1.3855367654529576,1.3588979912512724,1.3352968065606394,1.3134931223066721,1.2933299393171303,1.2739160625821082,1.2549593927278118,1.236439258114133,1.2197758137092687,1.2036900295859891,1.1892837798431863,1.1751357076878617,1.1625710828948863,1.1509888147017184,1.140538872219675,1.1307484733252147,1.1219735115324583,1.113609146351341,1.1066441455091753,1.1001217674018995,1.0942019295073262,1.0890122267360904,1.0841693944289574,1.0797046879467236,1.075324128663511,1.0711649694813614,1.0677312976059103,1.0647779870409244,1.0621202858088346,1.0597588836422407,1.0586124574905902,1.057616484017365,1.0562523441404053,1.0554257878333906,1.0548522080788945,1.054158297533417,1.053626496631089,1.0532138677874956,1.0529890353118434,1.0527427080845124,1.0528535142624744,1.0527553893089416,1.0527272062177282,1.0525909372222786,1.052568280710736,1.0520456795433104,1.0518427722229997
