run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,stop_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,final_marginal_l2_physical_ref,integrated_marginal_l2_physical_ref,final_deltaF_error,integrated_deltaF_error,final_barrier_height_error,integrated_barrier_height_error,deltaF_ref,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,final_ancestor_ess,final_max_clone_multiplicity,final_max_clone_weight,cumulative_fr_events,cumulative_replacements,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1000,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1000,0.0,0.1,0.0,1.0,1,0.0434773826940796,0.1364042911221045,18.46057842432528,35.899268767149,0.0759490331005492,0.3933160379617386,0.3881507283774942,39.06099169232529,0.0839716991484271,30.060186685760108,0.0419862363355939,34.08288547152561,0.2136588086310551,22528,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.44921875,0.1640625,0.21875,3.732589274644852,22528
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1001,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1001,0.0,0.1,0.0,1.0,1,0.0377114284533703,0.1030933626231749,10.854651048961143,26.01090574070029,0.0557488675994519,0.4359948912960223,0.3978993420470561,40.23229795662928,0.0188169479307314,12.583267672603242,0.1073145519512222,22.94359136535952,0.2136588086310551,36386,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.3125,0.125,0.43359375,3.732589274644852,36386
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1002,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1002,0.0,0.1,0.0,1.0,1,0.0189107884904519,0.0920589332394698,10.304618283085604,26.52376602710926,0.0525054084250015,0.4379036403613157,0.4024043865433008,39.0371897642041,0.0254046818546358,11.726235958463535,0.0163757368480534,21.69864718733129,0.2136588086310551,30337,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.328125,0.1484375,0.33984375,3.732589274644852,30337
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1003,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1003,0.0,0.1,0.0,1.0,1,0.0454175636093249,0.0893704974589347,14.717163729645527,29.83347204449683,0.0711445936214264,0.3908513776598886,0.3894998332803606,38.888385181368925,0.0804238958710064,22.167615591314348,0.0968984397363719,29.48701018260404,0.2136588086310551,30174,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.421875,0.12890625,0.26171875,3.732589274644852,30174
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1004,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1004,0.0,0.1,0.0,1.0,1,0.0153959892418875,0.0908256349633346,11.804927281002437,29.695087743015826,0.0524368664269289,0.4345593701392758,0.4049043291981687,39.66739524306778,0.0115125076156639,11.042813531653811,0.0236541310620058,26.67829650833999,0.2136588086310551,25341,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.33203125,0.11328125,0.34765625,3.732589274644852,25341
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1005,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1005,0.0,0.1,0.0,1.0,1,0.0653397088083334,0.1195685216614125,14.137653191991268,35.462432508108165,0.0401328510724246,0.4699342450217272,0.3963409196386691,38.94487753221223,0.1386025932553645,9.127099478142458,0.0727974311534435,32.07905752718561,0.2136588086310551,24904,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.3671875,0.1328125,0.3515625,3.732589274644852,24904
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1006,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1006,0.0,0.1,0.0,1.0,1,0.0328654969054283,0.0785895379050442,12.446657506357589,28.175522711104964,0.0558968238627746,0.4416473953486105,0.3962816389461371,39.62055912060389,0.0540013722665095,14.617162793244862,0.0634972251300836,25.24613084282507,0.2136588086310551,30808,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.3125,0.1328125,0.40625,3.732589274644852,30808
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1007,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1007,0.0,0.1,0.0,1.0,1,0.0499752100876185,0.1035560607542619,17.337551914324116,34.80858670863453,0.0637785419310589,0.3971256621672491,0.3971799158696941,38.80694353436043,0.1030375433036843,24.760579126336552,0.0661325065631132,32.92338379923821,0.2136588086310551,26425,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.421875,0.1640625,0.23046875,3.732589274644852,26425
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1008,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1008,0.0,0.1,0.0,1.0,1,0.0153417830584812,0.0826141525726482,11.655893242310928,30.219259847851504,0.0537946890723981,0.436155370416819,0.4034532872880414,38.92771244726682,0.0068366170560176,10.644084193069297,0.0362459564732852,27.663406410433524,0.2136588086310551,26299,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.3671875,0.1328125,0.34375,3.732589274644852,26299
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1009,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1009,0.0,0.1,0.0,1.0,1,0.0275698340968793,0.1367276623087436,13.187404837020944,30.15084888253442,0.0652054449482098,0.4018722372262319,0.3843015822124163,38.89745269895181,0.0336430926876394,17.21662303777682,0.0224303239877311,24.761522581084535,0.2136588086310551,27872,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.44140625,0.109375,0.30078125,3.732589274644852,27872
