beta,s,r,init,regime,n_seeds,barrier_kT,T_hit_frac,T_est_frac,est_gap_frac,below_half_frac,seeds_late_discovery,seeds_never_established,final_occupancy,final_target,occ_over_target,integrated_deficit,max_rel_deficit,final_l2_f,int_l2_f,int_l2_fp
2.0,0.1,4.0,left,ABF-sufficient,16,9.38629436111989,0.005000050000500005,0.06500065000650007,0.060000600006000056,0.05970149253731343,0,0,0.416748046875,0.4112505577528609,1.0133677365744578,1.553889317022778,0.9988722269890256,0.1031106181688568,4.9436208438787705,18.377026126407337
2.0,0.1,4.0,one_right,ABF-sufficient,16,9.38629436111989,0.0,0.06500065000650007,0.06500065000650007,0.06467661691542288,0,0,0.41455078125,0.41118691265234397,1.0081808746683047,1.7874250535512084,0.9993606180434045,0.10473626757466681,4.7769720333184855,17.29633890280595
2.0,0.1,8.0,left,ABF-sufficient,16,10.079441541679836,0.01000010000100001,0.07000070000700008,0.06250062500625007,0.062189054726368154,0,0,0.4248046875,0.4183743135869215,1.015369906096643,1.7472936978536442,0.9867721469032928,0.10556870222438665,5.711972760996601,21.246467629183048
2.0,0.1,8.0,one_right,ABF-sufficient,16,10.079441541679836,0.0,0.07000070000700008,0.07000070000700008,0.06965174129353234,0,0,0.42919921875,0.41977940255956236,1.0224399199508152,2.083605488488104,0.9993624661447973,0.1067166680043743,5.678557160444649,20.163791103990334
2.0,0.1,16.0,left,ABF-sufficient,16,10.772588722239782,0.01000010000100001,0.07000070000700008,0.06500065000650007,0.06467661691542288,0,0,0.438720703125,0.4247192832178823,1.0329662919965301,1.8927843543436342,0.9874407490358976,0.10944266052358659,6.235816996789226,23.966763423622286
2.0,0.1,16.0,one_right,ABF-sufficient,16,10.772588722239782,0.0,0.07500075000750007,0.07500075000750007,0.07462686567164178,0,0,0.4345703125,0.42604872898962975,1.0200014292510133,2.172723475154795,0.9993625355062695,0.10889241612967274,6.158382696979785,22.604650635138537
2.0,0.1,32.0,left,ABF-sufficient,16,11.465735902799727,0.005000050000500005,0.07500075000750007,0.07000070000700007,0.06965174129353234,0,0,0.4375,0.4257143260042421,1.0276844664974711,2.0384373520674215,0.9992121111293086,0.10826033024303033,6.488767780705801,26.427221684288185
2.0,0.1,32.0,one_right,ABF-sufficient,16,11.465735902799727,0.0,0.07500075000750007,0.07500075000750007,0.07462686567164178,0,0,0.436279296875,0.4301326814398061,1.0142900451428591,2.18977539784686,0.9993576435858031,0.10836014952029377,6.419792953151444,25.656755901961827
2.0,0.15,4.0,left,ABF-sufficient,16,9.38629436111989,0.005000050000500005,0.06500065000650007,0.05500055000550006,0.05472636815920398,0,0,0.417724609375,0.41420109450727516,1.008506773435537,1.4914817608643576,0.997860733995491,0.10362190134055208,4.734790292510261,15.205325007803683
2.0,0.15,4.0,one_right,ABF-sufficient,16,9.38629436111989,0.0,0.06500065000650007,0.06500065000650007,0.06467661691542288,0,0,0.41162109375,0.4130789964683468,0.9964706442815751,1.7818328778024846,0.9993610306186904,0.10276483818818871,4.632479914330544,14.09597905137909
