step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,row,seed
10000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,0,5300
10000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,1,5301
10000,A6a,0.17463746106474148,32,False,0.0,0.0,0,0.0,False,,2,5302
10000,A6a,0.17720387643898572,32,False,0.0,0.0,0,0.0,False,,3,5303
10000,A6a,0.18227328080987865,32,False,0.0,0.0,0,0.0,False,,4,5304
10000,A6a,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
10000,A6a,0.17110888811770397,32,False,0.0,0.0,0,0.0,False,,6,5306
10000,A6a,0.20739214037571108,32,False,0.0,0.0,0,0.0,False,,7,5307
10500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,0,5300
10500,A6a,0.16699749451475931,32,False,0.0,0.0,0,0.0,False,,1,5301
10500,A6a,0.23967269683218917,32,False,0.0,0.0,0,0.0,False,,2,5302
10500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,3,5303
10500,A6a,0.19783182910154928,32,False,0.0,0.0,0,0.0,False,,4,5304
10500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
10500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,6,5306
10500,A6a,0.347111736350407,32,False,0.0,0.0,0,0.0,False,,7,5307
11000,A6a,0.29663995319073483,32,False,0.0,0.0,0,0.0,False,,0,5300
11000,A6a,0.253914025055649,32,False,0.0,0.0,0,0.0,False,,1,5301
11000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,2,5302
11000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,3,5303
11000,A6a,0.24627501457387288,32,False,0.0,0.0,0,0.0,False,,4,5304
11000,A6a,0.16979085511731798,32,False,0.0,0.0,0,0.0,False,,5,5305
11000,A6a,0.2318072262560588,32,False,0.0,0.0,0,0.0,False,,6,5306
11000,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
11500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,0,5300
11500,A6a,0.20429736339749338,32,False,0.0,0.0,0,0.0,False,,1,5301
11500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,2,5302
11500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
11500,A6a,0.15242947585571603,32,False,0.0,0.0,0,0.0,False,,4,5304
11500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
11500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,6,5306
11500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,7,5307
12000,A6a,0.24868445770576528,32,False,0.0,0.0,0,0.0,False,,0,5300
12000,A6a,0.26694107822105195,32,False,0.0,0.0,0,0.0,False,,1,5301
12000,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
12000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,3,5303
12000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,4,5304
12000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,5,5305
12000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,6,5306
12000,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,7,5307
12500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,0,5300
12500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,1,5301
12500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
12500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
12500,A6a,0.16383620755548897,32,False,0.0,0.0,0,0.0,False,,4,5304
12500,A6a,0.0,31,False,0.0,0.0,0,0.0,False,,5,5305
12500,A6a,0.210736668182759,32,False,0.0,0.0,0,0.0,False,,6,5306
12500,A6a,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
