arm,S_F_1,fav_F_1,cens_F_1,censref_F_1,S_F_2,fav_F_2,cens_F_2,censref_F_2,S_Fprime_1,fav_Fprime_1,cens_Fprime_1,censref_Fprime_1,S_Fprime_2,fav_Fprime_2,cens_Fprime_2,censref_Fprime_2,final_ratio_F_R12,seeds_noninferior_F_R12,final_ratio_Fp_R12,seeds_noninferior_Fp_R12,final_ratio_Fp_barrier,seeds_noninferior_Fp_barrier,final_ratio_F_full,seeds_noninferior_F_full,median_ess_frac,seeds_ess_ok,median_wmax,seeds_wmax_ok,dose_decay,replacements,track,role,passes_genealogy,passes_noninferiority,passes_barrier,mechanism_positive,advancement_positive,SvsCtrl_F_1,favCtrl_F_1,Rshape_F_1,SvsCtrl_F_2,favCtrl_F_2,Rshape_F_2,SvsCtrl_Fprime_1,favCtrl_Fprime_1,Rshape_Fprime_1,SvsCtrl_Fprime_2,favCtrl_Fprime_2,Rshape_Fprime_2
C_capped8_noFR,1.8993939393939394,8,0,2,1.9064285714285714,7,0,3,0.6424565018315018,1,6,1,0.8541666666666667,0,8,4,0.594564121417718,7,1.5712216348531345,1,0.9893585474009153,4,18.943815060359768,0,1.0,8,0.00390625,8,,0.0,C,control,True,False,True,,False,,,,,,,,,,,,
C_capped12_noFR,2.330909090909091,8,0,2,1.6166724799441925,8,0,3,2.185909090909091,7,1,1,1.8656603773584906,6,2,4,0.5846655846924844,7,0.9273872545035279,6,1.0630934765565598,4,15.309951726139131,0,1.0,8,0.00390625,8,,0.0,C,control,True,True,True,,False,,,,,,,,,,,,
C_tempered8_noFR,1.3320158102766797,8,0,2,1.3273809523809523,6,1,3,1.3361486486486487,8,0,1,1.375,8,0,4,0.82613798808942,7,0.9099221368399639,6,0.683251683162309,7,5.685428728412645,0,1.0,8,0.00390625,8,,0.0,C,control,True,True,True,,False,,,,,,,,,,,,
P_BD_pmax0.02,1.0,2,2,2,0.9919354838709677,2,2,3,0.9758064516129032,2,2,1,1.0,3,3,4,1.1216952618321092,3,1.0340758706614301,5,0.8686590856156645,6,1.0580902290606418,4,0.392652815417043,0,0.02734375,8,0.990909090909091,201.5,P,candidate,False,False,True,,False,,,,,,,,,,,,
P_BD_pmax0.05,0.9883720930232558,2,2,2,0.9841269841269842,1,5,3,0.9925373134328358,3,1,1,1.0,3,3,4,1.0381355301748607,4,1.0221199829234862,5,0.8006060764198071,6,1.0060369871751553,5,0.2054622281768525,0,0.046875,8,1.073156342182891,475.0,P,candidate,False,True,True,,False,,,,,,,,,,,,
P_BD_pmax0.10,1.0,3,4,2,1.0,3,5,3,0.9871794871794872,3,4,1,1.0,3,5,4,1.7566622689802713,0,1.52325984818374,2,1.5042374443598046,2,1.445147723791938,1,0.11885521159790147,0,0.07421875,7,1.0244022043713805,851.0,P,candidate,False,False,False,,False,,,,,,,,,,,,
P_FT_rho0.70,1.5694444444444444,5,3,2,2.0589543937708568,5,3,3,0.9427083333333333,3,5,1,0.8541666666666667,0,8,4,4.214986728404892,0,5.281907735294538,0,7.7091070281044365,0,3.867803390605714,0,0.03300238419912572,0,0.22265625,0,1.0009107468123861,4485.5,P,candidate,False,False,False,,False,,,,,,,,,,,,
P_FT_rho0.85,1.6457142857142857,6,2,2,2.068339768339768,6,2,3,1.3141369047619047,4,4,1,1.0,3,5,4,3.1398053257774423,0,3.8796163905517314,0,5.3491928327490665,0,2.80885449869234,0,0.0553156363337554,0,0.126953125,0,0.9947756496717921,2706.5,P,candidate,False,False,False,,False,,,,,,,,,,,,
P_oracle_target,2.0,7,1,2,1.9927083333333333,5,3,3,1.3273237179487178,4,4,1,1.0,1,7,4,3.034255305595944,0,4.024471232641167,0,5.604848281415171,0,2.7845666691162476,0,0.0603040720133253,0,0.119140625,1,1.005977258554578,2714.5,P,diagnostic,False,False,False,,False,,,,,,,,,,,,
C_capped8_FT_rho0.70,0.734375,1,6,2,0.8299209770114943,0,7,3,0.625,0,8,1,0.8541666666666667,0,8,4,2.028525566972063,0,1.923246319978708,0,1.4553449760310362,1,18.62929242903072,0,0.12643315205738456,0,0.072265625,8,1.113435550935551,1156.0,C,candidate,False,False,False,False,False,0.35416666666666663,0.0,1.8993939393939394,0.4114583333333333,0.0,1.9064285714285714,1.0,0.0,0.6424565018315018,1.0,0.0,0.8541666666666667
C_capped8_FT_rho0.85,0.734375,1,6,2,0.8299209770114943,0,7,3,0.625,0,8,1,0.8541666666666667,0,8,4,2.0285255683894885,0,1.8944964774321644,0,1.4553449757916828,1,18.629292430012455,0,0.1324624708225368,0,0.068359375,8,1.0973474801061007,1138.5,C,candidate,False,False,False,False,False,0.35416666666666663,0.0,1.8993939393939394,0.4114583333333333,0.0,1.9064285714285714,1.0,0.0,0.6424565018315018,1.0,0.0,0.8541666666666667
C_capped12_FT_rho0.70,0.9114583333333333,2,6,2,1.0,2,6,3,0.7864583333333333,2,6,1,1.0,2,6,4,2.086018880776871,1,1.69761210053003,0,1.5410127669967917,1,15.127194519442655,0,0.13841979309514374,0,0.05859375,8,0.9968750927088793,1204.5,C,candidate,False,False,False,False,False,0.4270833333333333,0.0,2.330909090909091,0.5833333333333333,0.0,1.6166724799441925,0.43229166666666663,0.0,2.185909090909091,0.8125,0.0,1.8656603773584906
C_capped12_FT_rho0.85,0.9114583333333333,2,6,2,1.0,2,6,3,0.7864583333333333,2,6,1,1.0,2,6,4,2.086018872383378,1,1.8126361876398325,0,1.5268338475151595,1,15.12719451911002,0,0.14143922716355986,0,0.0625,7,1.0208359957401492,1201.0,C,candidate,False,False,False,False,False,0.4270833333333333,0.0,2.330909090909091,0.5833333333333333,0.0,1.6166724799441925,0.43229166666666663,0.0,2.185909090909091,0.8125,0.0,1.8656603773584906
C_tempered8_FT_rho0.85,0.6354166666666667,0,8,2,0.828125,0,8,3,0.625,0,8,1,0.8541666666666667,0,8,4,2.6720391213955828,0,2.91929397257712,0,2.9660575338457402,0,6.141007569711172,0,0.13437794678816614,0,0.0703125,6,1.049384462044071,1111.5,C,candidate,False,False,False,False,False,0.453125,0.0,1.3320158102766797,0.5989583333333334,0.0,1.3273809523809523,0.43229166666666663,0.0,1.3361486486486487,0.5833333333333333,0.0,1.375
C_flat_FT_rho0.85,0.6354166666666667,0,8,2,0.828125,0,8,3,0.625,0,8,1,0.8541666666666667,0,8,4,3.7491621392447394,0,3.501641266419761,0,3.7317151485716957,0,3.3025665627909566,0,0.11808208522722921,0,0.091796875,5,1.0460310297069761,1443.0,C,candidate,False,False,False,False,False,0.6354166666666667,0.0,1.0,0.828125,0.0,1.0,0.625,0.0,1.0,0.8541666666666667,0.0,1.0
C_capped12_oracle_target,2.597142857142857,8,0,2,2.3894817073170733,8,0,3,2.2296296296296294,8,0,1,2.493927125506073,8,0,4,0.49004915945227595,7,0.7455118835655665,8,0.5176203235580483,7,15.317961101206432,0,0.15155591426777865,0,0.05078125,8,1.0080713586424455,1122.5,C,diagnostic,False,True,True,,False,1.0,3.0,2.330909090909091,1.01,4.0,1.6166724799441925,1.0,3.0,2.185909090909091,1.2663690476190477,5.0,1.8656603773584906
