cell,name,final_l2_F,integrated_l2_F,final_l2_Fp,n_transitions,n_round_trips,final_ancestor_ess,fr_event_fraction,cond_tv_weighted,cond_basin_err_weighted,n_basins_visited
butane_b0.5_s2.3_full_trans,abf,0.5154077908558946,8.432183861822754,0.5295462278412693,423766.5,161677.5,,,,,
butane_b0.5_s2.3_full_trans,fr_estimated,0.5145639485977085,8.432402462018487,0.5300634172498981,424223.0,161545.0,360.5302725968435,7.232189143153373e-06,,,
butane_b0.5_s2.3_full_trans,fr_oracle,0.5155624711142041,8.421457972751965,0.5308164791089919,424051.5,161423.0,369.56623115577884,4.050025920165889e-06,,,
butane_b0.5_s2.3_full_trans,fr_uniform,0.5143828635614476,8.4324535302255,0.5298838822696889,424362.5,161612.5,360.5302725968435,7.232189143153373e-06,,,
butane_b0.5_s2.3_full_trans,opes,0.6111300496821357,9.572990380557847,0.6393186755818707,188540.5,0.0,,,,,
butane_b1_s2.3_full_dispersed,abf,0.2705376026014631,7.462953728788598,0.2841877488442743,471206.0,182675.5,,,,,
butane_b1_s2.3_full_dispersed,fr_estimated,0.2706878383614445,7.461929790827904,0.28419824243973,471382.0,182468.0,351.92563226247427,6.249166777762965e-06,,,
butane_b1_s2.3_full_dispersed,fr_oracle,0.2704767008026574,7.466261582981527,0.2836195423037388,471372.5,182547.0,363.1921182266009,3.818935253077368e-06,,,
butane_b1_s2.3_full_dispersed,fr_uniform,0.27069386111650884,7.461539346534789,0.2842192426442167,471422.0,182605.0,352.76555023923436,6.075578811713994e-06,,,
butane_b1_s2.3_full_dispersed,opes,0.31656537385655314,8.389972815295078,0.3341526073967378,183565.5,0.0,,,,,
butane_b1_s2.3_full_trans,abf,0.2747849950814891,7.732269149336798,0.2872251580233819,470387.0,180475.0,,,,,
butane_b1_s2.3_full_trans,fr_estimated,0.27489389983126244,7.734631513973367,0.28792447607401755,469735.5,180413.5,351.0857142857142,6.4227547438119366e-06,,,
butane_b1_s2.3_full_trans,fr_oracle,0.2744019903859233,7.73402097834377,0.28726919256626726,470089.5,180753.0,360.54751542398003,4.339699151224281e-06,,,
butane_b1_s2.3_full_trans,fr_uniform,0.27468440405972017,7.751472958032293,0.28699773860946387,469984.5,180479.5,350.2537576167907,6.4227547438119366e-06,,,
butane_b1_s2.3_full_trans,opes,0.3526337740235162,9.674450406752328,0.36374876405586887,165927.5,0.0,,,,,
butane_b2_s2.3_full_trans,abf,0.14239757801524483,6.346272983285722,0.15854536836564842,441884.5,171325.0,,,,,
butane_b2_s2.3_full_trans,fr_estimated,0.1424513458813908,6.346036960086755,0.15890370420617667,442674.5,170705.5,335.1272727272727,6.9437831317652284e-06,,,
butane_b2_s2.3_full_trans,fr_oracle,0.14225744713603466,6.349532109432512,0.15896305212584866,442440.5,171478.5,351.0857142857142,4.463860584706219e-06,,,
butane_b2_s2.3_full_trans,fr_uniform,0.14252180986294538,6.343310588379751,0.15888356286073993,442745.0,170687.0,336.664553794829,6.9437831317652284e-06,,,
butane_b2_s2.3_full_trans,opes,0.25520251825991086,8.64537729405288,0.31080114849363905,55509.0,0.0,,,,,
pentane_b1_s2.3_full_dispersed,abf,0.2553002642904306,7.438306955306553,0.2637950087027169,554903.5,209900.0,,,0.033156299525485586,0.026527966429730696,9.0
pentane_b1_s2.3_full_dispersed,fr_active,0.27179640171260677,7.720191979169224,0.28261701099006,555044.5,207156.0,197.98780224058135,5.4834235188017096e-05,0.025990407520191723,0.01616024452711743,9.0
pentane_b1_s2.3_full_dispersed,fr_estimated,0.2564102123687338,7.446921196199401,0.2650526781009408,555444.5,209493.5,346.1408450704225,6.126730188605262e-06,0.033561538238628334,0.025914494159934444,9.0
pentane_b1_s2.3_full_dispersed,fr_oracle,0.25425335664462956,7.436278752413577,0.2635494919109237,555046.5,209477.0,355.33423143029677,4.5950476414539465e-06,0.0325815701276488,0.027359117228724087,9.0
pentane_b1_s2.3_full_dispersed,fr_uniform,0.2570599460240564,7.442793454237853,0.2655287464020436,555139.0,209410.0,347.7735849056603,6.279898443320394e-06,0.03413952068451197,0.026517108896998542,9.0
pentane_b1_s2.3_full_dispersed,opes,0.3203731591251587,8.646130458726367,0.3899458536000179,209614.0,0.0,,,0.03727987364126279,0.0324023472526472,9.0
pentane_b1_s2.3_full_trans,abf,0.28437143905315776,9.236094137114598,0.2974313310678723,551668.0,217344.5,,,0.027951397291202894,0.02205878515630543,9.0
pentane_b1_s2.3_full_trans,fr_active,0.30067706524002324,9.508581467267383,0.3143361141900258,550946.5,213761.5,181.59716079716083,6.203314315962828e-05,0.038245621619848624,0.03443905592169877,9.0
pentane_b1_s2.3_full_trans,fr_estimated,0.2872971658464776,9.264991701455731,0.29826957242205854,550917.0,217097.5,346.1408450704225,6.433066698035525e-06,0.027418178896175448,0.0203533511166912,9.0
pentane_b1_s2.3_full_trans,fr_oracle,0.28524253612450357,9.225911824423438,0.29610297002452945,551134.0,217161.5,360.5302725968435,3.829206367878289e-06,0.026880010819571826,0.01994191815826104,9.0
pentane_b1_s2.3_full_trans,fr_uniform,0.2873229403692145,9.26515624848522,0.29830286760945357,550949.5,217226.5,344.52336448598123,6.739403207465788e-06,0.02746484411277328,0.020504153844810837,9.0
pentane_b1_s2.3_full_trans,opes,0.3934512990265784,12.082038428919901,0.4421222141568972,195575.5,0.0,,,0.02699117823769901,0.02047029071386123,9.0
pentane_b2_s2.3_full_trans,abf,0.19403560337109255,7.659292515859388,0.20801140205102672,449551.0,176201.0,,,0.16908609973297994,0.1688589313380076,8.0
pentane_b2_s2.3_full_trans,fr_active,0.1994504318226071,7.731185237978373,0.21270438137939846,449483.0,173845.0,167.56709849377052,5.7410206964416085e-05,0.1684856159831044,0.16822600651517217,8.0
pentane_b2_s2.3_full_trans,fr_estimated,0.1957236554161369,7.6721508565803305,0.20945918695753207,449394.5,175582.0,338.98110176298985,6.323802495000477e-06,0.16910065733261234,0.16888235645169353,8.0
pentane_b2_s2.3_full_trans,fr_oracle,0.1945917853311725,7.6418511971580205,0.2085894665780938,449271.5,176120.5,349.4218009478672,4.587856712059169e-06,0.16896330229705608,0.1687103999812059,8.0
pentane_b2_s2.3_full_trans,fr_uniform,0.19565251103598363,7.6751804743227705,0.20877283324997442,449370.0,175638.5,338.98110176298985,6.323802495000477e-06,0.16946036171359438,0.1692088167823968,8.0
pentane_b2_s2.3_full_trans,opes,0.3102048111039378,9.757995083746827,0.3742710927773808,54314.0,0.0,,,0.17173011359007023,0.17149818983106518,5.5
