cell,molecule,beta,sigma,decouple,init_mode,name,method,final_l2_F_med,final_l2_Fp_med,integrated_l2_F_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,n_transitions_med,n_round_trips_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_n_unique_ancestor_med,fr_score_std_med,fr_score_absmax_med,final_frac_T_med,final_frac_Gp_med,final_frac_Gm_med,marginal_l2_uniform_med,marginal_tv_uniform_med,marginal_l2_boltzmann_med,marginal_kl_boltzmann_med,fr_event_fraction_med,max_fr_event_fraction_med,n_fr_applications_med,deaths_per_application_med,final_neff_frac_med,final_n_kernels_med,final_l2_F_reweight_med,cond_tv_weighted_med,cond_kl_weighted_med,cond_basin_err_weighted_med,cond_support_fraction_med,basin_T_T_med,basin_T_G+_med,basin_T_G-_med,basin_G+_T_med,basin_G+_G+_med,basin_G+_G-_med,basin_G-_T_med,basin_G-_G+_med,basin_G-_G-_med,n_basins_visited_med,final_l2_F_iqr,final_l2_Fp_iqr,integrated_l2_F_iqr,integrated_l2_Fp_iqr,early_l2_F_iqr,mid_l2_F_iqr,n_transitions_iqr,n_round_trips_iqr,total_replacements_iqr,final_ancestor_ess_iqr,min_ancestor_ess_iqr,final_max_ancestor_frac_iqr,final_n_unique_ancestor_iqr,fr_score_std_iqr,fr_score_absmax_iqr,final_frac_T_iqr,final_frac_Gp_iqr,final_frac_Gm_iqr,marginal_l2_uniform_iqr,marginal_tv_uniform_iqr,marginal_l2_boltzmann_iqr,marginal_kl_boltzmann_iqr,fr_event_fraction_iqr,max_fr_event_fraction_iqr,n_fr_applications_iqr,deaths_per_application_iqr,final_neff_frac_iqr,final_n_kernels_iqr,final_l2_F_reweight_iqr,cond_tv_weighted_iqr,cond_kl_weighted_iqr,cond_basin_err_weighted_iqr,cond_support_fraction_iqr,basin_T_T_iqr,basin_T_G+_iqr,basin_T_G-_iqr,basin_G+_T_iqr,basin_G+_G+_iqr,basin_G+_G-_iqr,basin_G-_T_iqr,basin_G-_G+_iqr,basin_G-_G-_iqr,n_basins_visited_iqr,n_seeds
butane_b0.5_s2.3_full_trans,butane,0.5,2.3,False,trans,abf,abf,0.5154077908558946,0.5295462278412693,8.432183861822754,13.134970383004667,0.5137190581763593,0.5143561509107912,423766.5,161677.5,0.0,,,,384.0,0.0,0.0,0.4309895932674408,0.2942708432674408,0.2760416865348816,0.05227554213050106,0.13030535786034414,0.14451519876711297,0.4412618458972854,,,,,,,,,,,,,,,,,,,,,,0.007801754147387596,0.006114060678200306,0.17895621667102013,0.1704290721804167,0.029943750048608164,0.00754877391074793,2713.5,961.5,0.0,,,,0.0,0.0,0.0,0.029947906732559204,0.027343764901161194,0.025390625,0.01048966813759191,0.029066264535743916,0.01236590595979889,0.04574541174126401,,,,,,,,,,,,,,,,,,,,,,12
butane_b0.5_s2.3_full_trans,butane,0.5,2.3,False,trans,fr_estimated,fr_estimated,0.5145639485977085,0.5300634172498981,8.432402462018487,13.137023799981053,0.5151166707165494,0.5147765797619396,424223.0,161545.0,12.5,360.5302725968435,360.5302725968435,0.005208333333333333,371.5,0.29691655598091393,2.0000000023754767,0.4309895932674408,0.2916666716337204,0.2812500149011612,0.052789430801670555,0.13650878414254103,0.1431111596762099,0.4217276090419513,7.232189143153373e-06,1.3020833333333334e-05,4501.0,0.002777160630970895,,,,,,,,,,,,,,,,,,0.006660003131541581,0.006118684645544437,0.17298965682917533,0.15833083441051166,0.028313118461732012,0.006943493713125526,2680.75,1031.0,4.25,7.541154173379937,7.541154173379937,0.0,4.25,0.0032849879877578925,2.4764856831893667e-09,0.045572929084300995,0.0325520858168602,0.027343742549419403,0.010607723395369438,0.03220334489550768,0.010230221048290467,0.07150175365142691,2.4589443086721466e-06,3.247411427145709e-06,0.0,0.0009442346145301043,,,,,,,,,,,,,,,,,,12
butane_b0.5_s2.3_full_trans,butane,0.5,2.3,False,trans,fr_oracle,fr_oracle,0.5155624711142041,0.5308164791089919,8.421457972751965,13.126208252974092,0.5137190581766296,0.5151226397545603,424051.5,161423.0,7.0,369.56623115577884,369.56623115577884,0.005208333333333333,377.0,0.19896358240804796,1.6010366657813182,0.4296875149011612,0.2968750149011612,0.2786458432674408,0.049957388823614404,0.12767836800845764,0.14307392612672004,0.4209950988905525,4.050025920165889e-06,7.8125e-06,4501.0,0.0015552099533437014,,,,,,,,,,,,,,,,,,0.0073290132872483316,0.0052312420777849145,0.16429716983452636,0.14885779811565314,0.03004378655392348,0.0102696245994226,2919.75,1056.25,3.25,6.072314569285538,6.072314569285538,0.0,3.25,0.0012153958895398664,0.178083751724615,0.0332031324505806,0.0279947891831398,0.036458320915699005,0.00712105348217041,0.02868379605677182,0.014027148829135333,0.0644791513484878,1.8803691772198772e-06,3.255208333333333e-06,0.0,0.0007220617640524328,,,,,,,,,,,,,,,,,,12
butane_b0.5_s2.3_full_trans,butane,0.5,2.3,False,trans,fr_uniform,fr_uniform,0.5143828635614476,0.5298838822696889,8.4324535302255,13.13710365750591,0.5151166707159422,0.5147765814021439,424362.5,161612.5,12.5,360.5302725968435,360.5302725968435,0.005208333333333333,371.5,0.29682213817297065,2.0000000023634623,0.4348958432674408,0.2942708432674408,0.2799479216337204,0.05222127995862365,0.1350506272102378,0.14354068089961308,0.4247424071023288,7.232189143153373e-06,1.3020833333333334e-05,4501.0,0.002777160630970895,,,,,,,,,,,,,,,,,,0.0068469668539439255,0.006233340372830964,0.17290295752394513,0.15834743612148827,0.028313118461957942,0.006939210287288722,2727.75,1073.25,4.25,7.541154173379937,7.541154173379937,0.0,4.25,0.0031170564377017707,2.04443306728308e-09,0.0481770858168602,0.0325520783662796,0.034505195915699005,0.009821115020049516,0.03011758266366002,0.009924152309885081,0.07505098933863763,2.4589443086721466e-06,3.247411427145709e-06,0.0,0.0009442346145301043,,,,,,,,,,,,,,,,,,12
butane_b0.5_s2.3_full_trans,butane,0.5,2.3,False,trans,opes,opes,0.6111300496821357,0.6393186755818707,9.572990380557847,14.429809798104312,0.6358872500194369,0.6187625616662804,188540.5,0.0,0.0,,,,384.0,,,0.4127604216337204,0.3125,0.2864583432674408,0.0879348466787468,0.22915116562994536,0.08210047980503385,0.11594049685336963,,,,,0.8726333942930625,180.0,0.25391965514915676,,,,,,,,,,,,,,,0.011326520315426913,0.011177365436932485,0.14091251526373227,0.1557015498487626,0.01579339079613795,0.006812080420601552,1344.75,0.0,0.0,,,,0.0,,,0.016927078366279602,0.0260416641831398,0.033203125,0.01229499589811904,0.040352465058128895,0.008118482963187248,0.02081093857950367,,,,,0.003772510079247504,0.0,0.0160283555309427,,,,,,,,,,,,,,,12
butane_b1_s2.3_full_dispersed,butane,1.0,2.3,False,dispersed,abf,abf,0.2705376026014631,0.2841877488442743,7.462953728788598,12.38506205815903,0.25784523285380784,0.2689899436353315,471206.0,182675.5,0.0,,,,384.0,0.0,0.0,0.4505208432674408,0.2721354216337204,0.28125,0.05279287898572986,0.13795412353098904,0.2536258518330031,1.3544748860310039,,,,,,,,,,,,,,,,,,,,,,0.0031605139219625378,0.0030462565682518594,0.11442075148018738,0.0869171748643165,0.015891208647752675,0.004228332123370371,1958.0,1116.75,0.0,,,,0.0,0.0,0.0,0.020833320915699005,0.0240885391831398,0.014973960816860199,0.008627543218880443,0.018438471092183106,0.011204127623634152,0.043466119797205494,,,,,,,,,,,,,,,,,,,,,,16
butane_b1_s2.3_full_dispersed,butane,1.0,2.3,False,dispersed,fr_estimated,fr_estimated,0.2706878383614445,0.28419824243973,7.461929790827904,12.401063866602666,0.2580884679556458,0.26924117888502697,471382.0,182468.0,18.0,351.92563226247427,351.92563226247427,0.006510416666666666,366.5,0.31362848206681915,2.0000000056928773,0.4505208432674408,0.2760416865348816,0.2786458432674408,0.053657665927267895,0.13669581789123958,0.25509333313450394,1.3447756303526164,6.249166777762965e-06,1.3020833333333334e-05,7501.0,0.0023996800426609784,,,,,,,,,,,,,,,,,,0.0039855737791065216,0.0028214928501965053,0.14743591260298228,0.10449424589045364,0.015210492594124436,0.003822125917666286,1660.5,1330.5,7.5,12.051157120852679,12.051157120852679,0.002604166666666667,6.5,0.004589130689874099,3.182953012270673e-09,0.0305989608168602,0.027343742549419403,0.015625,0.009315385387588637,0.0159989547984295,0.013145657211112771,0.14979018125402743,2.603819490734568e-06,3.255208333333334e-06,0.0,0.0009998666844420745,,,,,,,,,,,,,,,,,,16
butane_b1_s2.3_full_dispersed,butane,1.0,2.3,False,dispersed,fr_oracle,fr_oracle,0.2704767008026574,0.2836195423037388,7.466261582981527,12.379118010995095,0.25784523285367955,0.26890674326585357,471372.5,182547.0,11.0,363.1921182266009,363.1921182266009,0.005208333333333333,373.0,0.1983572776951648,1.7206195912633404,0.4505208432674408,0.2708333432674408,0.2812500149011612,0.05395571092615764,0.14078636731549105,0.25531930930568636,1.372600941299876,3.818935253077368e-06,1.0416666666666666e-05,7501.0,0.0014664711371817091,,,,,,,,,,,,,,,,,,0.0038142354475414475,0.002643722509726776,0.13184886603912993,0.08659729459886378,0.015860390348230946,0.004995717947528677,2669.5,1204.0,3.75,8.052164090746828,8.052164090746828,0.0,4.5,0.0027347008904345937,0.15588844940996371,0.0286458358168602,0.009765625,0.0162760391831398,0.010407882143293593,0.022994484477211224,0.015681975750872573,0.1212189688657177,1.3019097453672844e-06,2.604166666666666e-06,0.0,0.000499933342221037,,,,,,,,,,,,,,,,,,16
butane_b1_s2.3_full_dispersed,butane,1.0,2.3,False,dispersed,fr_uniform,fr_uniform,0.27069386111650884,0.2842192426442167,7.461539346534789,12.401171719220761,0.2580884679550566,0.26924115864525544,471422.0,182605.0,17.5,352.76555023923436,352.76555023923436,0.006510416666666666,367.0,0.31362241861857787,2.0000000053241203,0.4518229365348816,0.2747395932674408,0.2747395932674408,0.05372559313172294,0.1404738618855718,0.25474922716301673,1.3332298824020998,6.075578811713994e-06,1.3020833333333334e-05,7501.0,0.0023330222636981732,,,,,,,,,,,,,,,,,,0.003969122102337019,0.0026481774381547085,0.147964809062608,0.10497131701055373,0.015210492594374458,0.0038222097769937124,1837.0,1498.75,6.75,10.766876184397915,10.766876184397915,0.002604166666666667,5.5,0.004563672897578863,3.214584598509873e-09,0.030598968267440796,0.026692703366279602,0.0162760391831398,0.010721050371215589,0.0216052786911958,0.013874961446490919,0.14407305717353935,2.34343754166111e-06,2.604166666666666e-06,0.0,0.0008998800159978671,,,,,,,,,,,,,,,,,,16
butane_b1_s2.3_full_dispersed,butane,1.0,2.3,False,dispersed,opes,opes,0.31656537385655314,0.3341526073967378,8.389972815295078,13.30025823884688,0.29020810912406525,0.31214950773920214,183565.5,0.0,0.0,,,,384.0,,,0.4335937649011612,0.2864583432674408,0.28515625,0.11355217736794443,0.2913598493044613,0.18092703355809575,0.49201960529303923,,,,,0.648967571035588,180.0,0.3090709139451946,,,,,,,,,,,,,,,0.0035467538895393447,0.0044114194610005986,0.09886972647840864,0.10882012198245761,0.018224349882525415,0.006432343226133841,5388.0,0.0,0.0,,,,0.0,,,0.022786468267440796,0.0455729216337204,0.04557289928197861,0.006573514056153293,0.026586579365771912,0.009481569511332028,0.06918957851545637,,,,,0.007651754442889569,0.0,0.00696882907494939,,,,,,,,,,,,,,,16
