molecule,beta,method,seed,l2_online_F,l2_frozen_recon_F
pentane,1.0,abf,1,0.28816007130887217,0.1626048253811146
pentane,1.0,abf,2,0.28200041927438596,0.06757763877208138
pentane,1.0,abf,3,0.2757532313201423,0.11868677187580336
pentane,1.0,abf,4,0.29388851734484284,0.09023046416762766
pentane,1.0,abf,5,0.279225826786974,0.1354303616612396
pentane,1.0,abf,6,0.2910836615989249,0.08893642729903424
pentane,2.0,abf,1,0.18974203908016343,0.053916263122278235
pentane,2.0,abf,2,0.19846778662347114,0.04672670327586428
pentane,2.0,abf,3,0.2004397704884496,0.031040383558113793
pentane,2.0,abf,4,0.19327968926450445,0.05715383306457294
pentane,2.0,abf,5,0.19720206286432154,0.027437007973379383
pentane,2.0,abf,6,0.1988829555780734,0.05676155241778745
pentane,1.0,fr_estimated,1,0.290829270799456,0.16435734951044537
pentane,1.0,fr_estimated,2,0.2889922003202491,0.06494501881089988
pentane,1.0,fr_estimated,3,0.28023881444142323,0.11627954144359515
pentane,1.0,fr_estimated,4,0.2997765972540383,0.09098095885176222
pentane,1.0,fr_estimated,5,0.277642024671401,0.13280836312412633
pentane,1.0,fr_estimated,6,0.29211384025770976,0.08268983239726369
pentane,2.0,fr_estimated,1,0.19183809483056896,0.05423434793233275
pentane,2.0,fr_estimated,2,0.1988728582344846,0.0472207783546609
pentane,2.0,fr_estimated,3,0.2009158419864842,0.031145225353368135
pentane,2.0,fr_estimated,4,0.19298600097962643,0.05716236149041666
pentane,2.0,fr_estimated,5,0.19767204138751168,0.027304551157168972
pentane,2.0,fr_estimated,6,0.1992881799958667,0.05606130910887444
