feature,system,n_cells,spearman_vs_gain,indicator_min,indicator_max,indicator_median,gain_min,gain_max,n_help,n_harm,n_neutral
log10_n_relax,alkane_torsion,7,-0.5,3.352213305835158,3.4705620454440105,3.3944674578951077,-3.070909314286825,0.005165549369372108,0,0,7
log10_n_relax,alkane_torus,2,nan,3.004008505314455,3.6214132313125296,3.3127108683134923,-0.5489688686014923,-0.07852550416880894,0,0,2
log10_n_relax,edb,5,0.9,2.6391126791482424,2.6897191247172447,2.651691794890144,-9.578043051418259,13.598301254532894,2,1,2
log10_n_relax,edb_slow,10,-0.7575757575757576,2.2599386883408643,2.829678755812707,2.643200948762051,-6.871912505878548,42.80512120825546,9,0,1
log10_n_relax,wca,14,0.8945054945054945,3.0634058953447587,3.511831512569983,3.297527683754666,-466.25351983927436,51.226908925008296,5,7,2
log10_cross_per_replica,alkane_torsion,7,-0.5,3.0431885959128397,3.1601866685324613,3.0884784707071624,-3.070909314286825,0.005165549369372108,0,0,7
log10_cross_per_replica,alkane_torus,2,nan,2.6615381097210964,3.308582440687633,2.985060275204365,-0.5489688686014923,-0.07852550416880894,0,0,2
log10_cross_per_replica,edb,5,0.9,2.3347932104647775,2.3885181160319044,2.349344008342156,-9.578043051418259,13.598301254532894,2,1,2
log10_cross_per_replica,edb_slow,10,-0.8424242424242424,1.9027187224407007,2.357465829760004,2.2459506777802964,-6.871912505878548,42.80512120825546,9,0,1
log10_cross_per_replica,wca,14,0.8945054945054945,2.7563229455717373,3.202255814831063,2.9909965351055483,-466.25351983927436,51.226908925008296,5,7,2
cross_rate_per_time,alkane_torsion,7,0.0,41.845123106060605,88.28468749999999,61.35494791666666,-3.070909314286825,0.005165549369372108,0,0,7
cross_rate_per_time,alkane_torus,2,nan,20.342664930555557,81.36337890625,50.85302191840278,-0.5489688686014923,-0.07852550416880894,0,0,2
cross_rate_per_time,edb,5,0.9,5.3792236328125,6.0909423828125,5.5634521484375,-9.578043051418259,13.598301254532894,2,1,2
cross_rate_per_time,edb_slow,10,-0.8424242424242424,1.973291015625,5.66884765625,4.379833984375,-6.871912505878548,42.80512120825546,9,0,1
cross_rate_per_time,wca,14,0.8945054945054945,2.373291015625,6.633951822916666,4.077030436197917,-466.25351983927436,51.226908925008296,5,7,2
roundtrips_per_replica,alkane_torsion,7,-0.5357142857142857,421.03515625,566.0013020833334,469.98697916666663,-3.070909314286825,0.005165549369372108,0,0,7
roundtrips_per_replica,alkane_torus,2,nan,115.709228515625,357.02783203125,236.3685302734375,-0.5489688686014923,-0.07852550416880894,0,0,2
roundtrips_per_replica,wca,14,0.8945054945054945,284.5185546875,795.7880859375,488.973876953125,-466.25351983927436,51.226908925008296,5,7,2
roundtrip_rate_per_time,alkane_torsion,7,-0.03571428571428571,16.223958333333336,33.6828125,23.78587239583333,-3.070909314286825,0.005165549369372108,0,0,7
roundtrip_rate_per_time,alkane_torus,2,nan,5.142632378472222,14.28111328125,9.711872829861111,-0.5489688686014923,-0.07852550416880894,0,0,2
roundtrip_rate_per_time,wca,14,0.8945054945054945,1.1854939778645832,3.31578369140625,2.0373911539713543,-466.25351983927436,51.226908925008296,5,7,2
n_relax,alkane_torsion,7,-0.5,2249.159566635961,2954.033822119929,2479.0921859171262,-3.070909314286825,0.005165549369372108,0,0,7
n_relax,alkane_torus,2,nan,1008.2814850872471,4181.282055655084,2594.7817703711657,-0.5489688686014923,-0.07852550416880894,0,0,2
n_relax,edb,5,0.9,434.62621286924235,488.4645784531789,447.42879671672085,-9.578043051418259,13.598301254532894,2,1,2
n_relax,edb_slow,10,-0.7575757575757576,180.94613082318116,674.6085966721064,438.9157558792672,-6.871912505878548,42.80512120825546,9,0,1
n_relax,wca,14,0.8945054945054945,1156.1940938620787,3248.6140282409915,1982.9470699961107,-466.25351983927436,51.226908925008296,5,7,2
min_state_occupancy,alkane_torsion,7,0.03571428571428571,0.42573855867558225,0.45117041377844896,0.44447169385219076,-3.070909314286825,0.005165549369372108,0,0,7
min_state_occupancy,alkane_torus,2,nan,0.3451875961360122,0.4170766447373308,0.3811321204366715,-0.5489688686014923,-0.07852550416880894,0,0,2
min_state_occupancy,eb,8,-0.047619047619047616,0.3196359029670347,0.4834318766656167,0.46734072905325774,-27.004452701386555,53.02026245845892,6,2,0
min_state_occupancy,edb,5,0.2,0.4477571446603306,0.4861427759873941,0.45772342834319507,-9.578043051418259,13.598301254532894,2,1,2
min_state_occupancy,edb_slow,10,0.04242424242424243,0.21447186571575885,0.4716351076682306,0.3403764597083803,-6.871912505878548,42.80512120825546,9,0,1
min_state_occupancy,wca,14,0.002197802197802198,0.42830951731149125,0.45397487178701246,0.4336805569963387,-466.25351983927436,51.226908925008296,5,7,2
cv_coverage,alkane_torsion,7,nan,1.0,1.0,1.0,-3.070909314286825,0.005165549369372108,0,0,7
cv_coverage,alkane_torus,2,nan,0.6961805555555556,0.9533420138888888,0.8247612847222222,-0.5489688686014923,-0.07852550416880894,0,0,2
cv_coverage,eb,8,0.24743582965269675,0.9602649006622517,1.0,1.0,-27.004452701386555,53.02026245845892,6,2,0
cv_coverage,edb,5,nan,1.0,1.0,1.0,-9.578043051418259,13.598301254532894,2,1,2
cv_coverage,edb_slow,10,nan,1.0,1.0,1.0,-6.871912505878548,42.80512120825546,9,0,1
cv_coverage,wca,14,nan,1.0,1.0,1.0,-466.25351983927436,51.226908925008296,5,7,2
n_states_visited_frac,alkane_torsion,7,nan,1.0,1.0,1.0,-3.070909314286825,0.005165549369372108,0,0,7
n_states_visited_frac,alkane_torus,2,nan,1.0,1.0,1.0,-0.5489688686014923,-0.07852550416880894,0,0,2
n_states_visited_frac,edb,5,nan,1.0,1.0,1.0,-9.578043051418259,13.598301254532894,2,1,2
n_states_visited_frac,edb_slow,10,nan,1.0,1.0,1.0,-6.871912505878548,42.80512120825546,9,0,1
n_states_visited_frac,wca,14,nan,1.0,1.0,1.0,-466.25351983927436,51.226908925008296,5,7,2
fpt_frac,alkane_torus,2,nan,0.0,0.08277777777777778,0.04138888888888889,-0.5489688686014923,-0.07852550416880894,0,0,2
fpt_frac,wca,14,0.1032031374230672,0.0,0.05208333333333333,0.0,-466.25351983927436,51.226908925008296,5,7,2
