feature,system,n_cells,spearman_vs_gain,indicator_min,indicator_max,indicator_median,gain_min,gain_max,n_help,n_harm,n_neutral
spectral_gap_matrix,alkane_torus,2,nan,0.07838523469983488,0.28143386852218405,0.17990955161100947,-0.5489688686014923,-0.07852550416880894,0,0,2
support_min_over_median,alkane_torsion,7,0.21428571428571427,0.3148067453097202,0.41552227975002215,0.3958310791621046,-3.070909314286825,0.005165549369372108,0,0,7
support_min_over_median,alkane_torus,2,nan,0.0,0.0009466278996420382,0.0004733139498210191,-0.5489688686014923,-0.07852550416880894,0,0,2
support_min_over_median,eb,8,-0.3333333333333333,0.00015439358097772576,0.5811363451318893,0.024144834406856996,-27.004452701386555,53.02026245845892,6,2,0
support_min_over_median,edb,5,-0.5,0.6683140389006326,0.7325831563587151,0.7051536751588281,-9.578043051418259,13.598301254532894,2,1,2
support_min_over_median,edb_slow,10,-0.3212121212121212,0.08035099682077651,0.6995078981564387,0.28992926465926994,-6.871912505878548,42.80512120825546,9,0,1
support_min_over_median,wca,14,-0.578021978021978,0.727539887716607,0.8772619510362591,0.8187667417709867,-466.25351983927436,51.226908925008296,5,7,2
abf_norm_l2_f,alkane_torsion,7,0.17857142857142858,0.0186569747370243,0.0675288882528217,0.03544592041172392,-3.070909314286825,0.005165549369372108,0,0,7
abf_norm_l2_f,alkane_torus,2,nan,0.050267713202163576,0.0723776673259847,0.06132269026407414,-0.5489688686014923,-0.07852550416880894,0,0,2
abf_norm_l2_f,eb,8,0.5238095238095238,0.012574107648815877,0.1064105363163439,0.05174130869436769,-27.004452701386555,53.02026245845892,6,2,0
abf_norm_l2_f,edb,5,0.6,0.012419901660767887,0.015645200543335583,0.014994794440096753,-9.578043051418259,13.598301254532894,2,1,2
abf_norm_l2_f,edb_slow,10,0.9636363636363636,0.012633780034144183,1.0374609199683975,0.3902138315170173,-6.871912505878548,42.80512120825546,9,0,1
abf_norm_l2_f,wca,14,0.7758241758241758,0.003628896666126772,0.06552241921411218,0.004473577565032219,-466.25351983927436,51.226908925008296,5,7,2
low_support_fraction,alkane_torsion,7,nan,0.0,0.0,0.0,-3.070909314286825,0.005165549369372108,0,0,7
low_support_fraction,alkane_torus,2,nan,0.12369791666666667,0.3396267361111111,0.2316623263888889,-0.5489688686014923,-0.07852550416880894,0,0,2
low_support_fraction,eb,8,0.5524071931577659,0.0,0.152317880794702,0.08278145695364239,-27.004452701386555,53.02026245845892,6,2,0
low_support_fraction,edb,5,nan,0.0,0.0,0.0,-9.578043051418259,13.598301254532894,2,1,2
low_support_fraction,edb_slow,10,-0.12676334779491943,0.0,0.2421875,0.0,-6.871912505878548,42.80512120825546,9,0,1
low_support_fraction,wca,14,nan,0.0,0.0,0.0,-466.25351983927436,51.226908925008296,5,7,2
