system,cell,sweep,label,y_help,gain_pct,gain_pct_median,gain_lo,gain_hi,gain_int_pct,win_rate,gain_pct_best_of_n,n_fr_configs,n_gain_pairs,n_abf_seeds,n_fr_seeds,pairing,n_replicas,n_steps,t_phys,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy,p_a,cv_coverage,low_support_fraction,support_min_over_median,spectral_gap_matrix,n_states_visited_frac,fpt_frac,abf_final_l2_f,abf_norm_l2_f,f_range
alkane_dist,pentaneR15_b2_trans_T80000,physics,harm,0,-16.736142124230938,-17.42963598732586,-18.359436153080473,-14.887572554273058,-4.061719658376395,0.0,-9.653484396793262,1,8,8,16,matched_seed_median_over_2_fr_configs,1024.0,80000.0,40.0,False,4732.0224609375,3.6751385632053277,118.3005615234375,8.87451171875,0.22186279296875,10765.548152323532,4.032069558471486,0.32569074585760727,0.6743092541423927,0.79296875,0.22340425531914893,7.490394191800698e-38,nan,1.0,0.043643749999999995,1.4996397337265281,0.15075086965873577,9.947801542514195
alkane_torsion,butane_b0.5_trans_T25000,physics,neutral,0,-0.05856505970233266,-0.06815409756281834,-0.18826192067947706,0.07689015929589488,-0.045147946634746805,0.4166666666666667,,,12,12,12,matched_seed,384.0,25000.0,12.5,False,1103.55859375,3.0431885959128397,88.28468749999999,421.03515625,33.6828125,2249.159566635961,3.352213305835158,0.42573855867558225,0.42573855867558225,1.0,0.0,0.41552227975002215,nan,1.0,nan,0.5154077908558946,0.0675288882528217,7.632404504073236
alkane_torsion,butane_b1_dispersed_T40000,physics,neutral,0,0.005165549369372108,0.06030957636587284,-0.19598798493920697,0.20004708897335008,-0.06951689046739283,0.5625,,,16,16,16,matched_seed,384.0,40000.0,20.0,False,1227.0989583333333,3.0892333545545716,61.35494791666666,475.71744791666663,23.78587239583333,2482.697913543726,3.395098530522205,0.4452191450202585,0.4452191450202585,1.0,0.0,0.3958310791621046,nan,1.0,nan,0.2705376026014631,0.03544592041172392,7.632404504073236
alkane_torsion,butane_b1_trans_T40000,physics,neutral,0,-0.2372750773107271,-0.10405598402867955,-0.41617172018210424,-0.07896157205020732,-0.10485265961224242,0.375,,,16,16,16,matched_seed,384.0,40000.0,20.0,False,1224.9661458333333,3.0884784707071624,61.24830729166666,469.98697916666663,23.499348958333332,2479.0921859171262,3.3944674578951077,0.44447169385219076,0.44447169385219076,1.0,0.0,0.38698552225412897,nan,1.0,nan,0.2747849950814891,0.03600241508882853,7.632404504073236
alkane_torsion,butane_b2_trans_T55000,physics,neutral,0,-0.24194791918344952,-0.18997802661465368,-0.46108672129957196,-0.06164585150781945,-0.10659603293522589,0.3333333333333333,,,12,12,12,matched_seed,384.0,55000.0,27.5,False,1150.7408854166665,3.061354783775946,41.845123106060605,446.1588541666667,16.223958333333336,2340.518364126924,3.3694967295446254,0.44773105424717263,0.44773105424717263,1.0,0.0,0.4005503796870491,nan,1.0,nan,0.14239757801524483,0.0186569747370243,7.632404504073236
alkane_torsion,pentane_b1_dispersed_T45000,physics,neutral,0,-2.971167312302571,-2.5943503618712938,-3.9826207384887615,-1.993733777003101,-1.9136079357135265,0.0625,-3.8343533555085276,1,16,16,32,matched_seed_median_over_2_fr_configs,384.0,45000.0,22.5,False,1445.0611979166665,3.1601866685324613,64.22494212962962,546.6145833333333,24.29398148148148,2954.033822119929,3.4705620454440105,0.4283685858288151,0.4283685858288151,1.0,0.0,0.31931433487253913,nan,1.0,nan,0.2553002642904306,0.03330761128807085,7.664922653335594
alkane_torsion,pentane_b1_trans_T45000,physics,neutral,0,-3.070909314286825,-3.0475855485581516,-3.8869234523121836,-2.235269272165358,-1.5252672178053057,0.0625,-2.535304666940076,1,16,16,32,matched_seed_median_over_2_fr_configs,384.0,45000.0,22.5,False,1436.6354166666665,3.157648538189929,63.850462962962965,566.0013020833334,25.155613425925928,2916.675938333832,3.46503689016349,0.4380759787842605,0.4380759787842605,1.0,0.0,0.40109212223548585,nan,1.0,nan,0.28437143905315776,0.03710036642436385,7.664922653335594
alkane_torsion,pentane_b2_trans_T55000,physics,neutral,0,-1.1765161377076838,-1.2001834763660946,-1.4785376108010517,-0.8605063297679985,-0.5670071992222729,0.0,-1.7109479692487244,1,16,16,32,matched_seed_median_over_2_fr_configs,384.0,55000.0,27.5,False,1170.7057291666665,3.068818547735501,42.57111742424242,458.85677083333337,16.68570075757576,2365.5616373857583,3.3741175553226688,0.45117041377844896,0.45117041377844896,1.0,0.0,0.3148067453097202,nan,1.0,nan,0.19403560337109255,0.026804127288475924,7.239019621225108
alkane_torus,pentane2D_b1_dispersed_T50000,physics,neutral,0,-0.07852550416880894,-0.08257810776851704,-0.13750283925091367,-0.01558294778192696,-0.018983871540554156,0.16666666666666666,,,6,6,6,matched_seed,2048.0,50000.0,25.0,False,2034.08447265625,3.308582440687633,81.36337890625,357.02783203125,14.28111328125,4181.282055655084,3.6214132313125296,0.4170766447373308,0.5829233552626691,0.9533420138888888,0.12369791666666667,0.0009466278996420382,0.28143386852218405,1.0,0.0,0.5026190415160792,0.050267713202163576,9.998844377397416
alkane_torus,pentane2D_b2_trans_T45000,physics,neutral,0,-0.5489688686014923,-0.559582428052085,-0.6795852600216201,-0.41835786978423123,-0.30070960222464144,0.0,-0.5524933182659177,1,6,6,12,matched_seed_median_over_2_fr_configs,2048.0,45000.0,22.5,False,457.7099609375,2.6615381097210964,20.342664930555557,115.709228515625,5.142632378472222,1008.2814850872471,3.004008505314455,0.3451875961360122,0.6548124038639878,0.6961805555555556,0.3396267361111111,0.0,0.07838523469983488,1.0,0.08277777777777778,0.7235562099516584,0.0723776673259847,9.996953987102186
