system,cell,sweep,label,y_help,gain_pct,gain_pct_median,gain_lo,gain_hi,gain_int_pct,win_rate,gain_pct_best_of_n,n_fr_configs,n_gain_pairs,n_abf_seeds,n_fr_seeds,pairing,n_replicas,n_steps,t_phys,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy,p_a,cv_coverage,low_support_fraction,support_min_over_median,spectral_gap_matrix,n_states_visited_frac,fpt_frac,abf_final_l2_f,abf_norm_l2_f,f_range
eb,om25_b8_g1,fr_rate,help,1,5.079050417253674,6.877669388929315,0.08041900809778096,9.652998590541026,5.206461732601605,0.7,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.49022175002924573,0.5038653268374298,1.0,0.08609271523178808,0.028158394127073806,nan,nan,nan,0.21161470501188023,0.054187268503220955,3.9052476874582007
eb,om25_b8_g10,fr_rate,help,1,39.605170401737084,38.43638013674365,37.57725418248695,41.86214809566817,31.056936406040897,1.0,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.47647035462095855,0.5212759376204614,1.0,0.08609271523178808,0.021692562760576923,nan,nan,nan,0.20321189630879044,0.05203559737360845,3.9052476874582007
eb,om25_b8_g25,fr_rate,help,1,67.98878606625138,68.22780364107336,66.43073596678096,69.4899985489106,53.54853501796164,1.0,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.46866978662868347,0.5003155603383563,1.0,0.08940397350993377,0.020048221830399025,nan,nan,nan,0.20552502622172633,0.0526279106141654,3.9052476874582007
eb,om25_b8_g3,fr_rate,help,1,10.451068299353308,10.600961271738159,5.263604642446751,15.822943447142773,8.693329747177625,0.9,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.46851255195276376,0.5009054183716661,1.0,0.07947019867549668,0.024227571191170326,nan,nan,nan,0.20423147870110386,0.05229667745710427,3.9052476874582007
eb,om25_b8_g5,fr_rate,help,1,19.733109992904208,22.40117167120586,15.23089096328389,23.583555489993635,18.143239937553894,1.0,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.4776490866343859,0.5109050089699667,1.0,0.07947019867549669,0.035474843039484776,nan,nan,nan,0.20309018331389975,0.052004430849835435,3.9052476874582007
eb,om25_b8_g50,fr_rate,help,1,72.27111695365899,72.84865992247114,71.36362150602942,73.09152174663102,62.31061119099924,1.0,,,10,10,10,matched_seed,256.0,40000.0,40.0,False,nan,nan,nan,nan,nan,nan,nan,0.4576517775786492,0.530841657713975,1.0,0.08278145695364239,0.018800196038871238,nan,nan,nan,0.2074783558443802,0.05312809133994294,3.9052476874582007
edb,phi0.75_gamma1,fr_rate,neutral,0,-6.584133065972251,-7.420373471042291,-14.167766792842656,0.7657704713983524,9.518631948346767,0.4,,,20,20,20,matched_seed,512.0,80000.0,40.0,False,221.5146484375,2.347358511080326,5.5378662109375,nan,nan,451.6777322856773,2.6557851945445714,0.46258765949410974,0.46258765949410974,1.0,0.0,0.6665000840957203,nan,1.0,nan,0.024657750141164905,0.012348740775759964,1.9967825536970527
edb,phi0.75_gamma30,fr_rate,harm,0,-20.605087284556102,-17.948604644672823,-31.227781873732358,-10.634853064001033,27.14573036772328,0.15,,,20,20,20,matched_seed,512.0,80000.0,40.0,False,221.3779296875,2.34709151011349,5.5344482421875,nan,nan,448.265333239294,2.652500685724008,0.46537773872280364,0.46537773872280364,1.0,0.0,0.7238454027146469,nan,1.0,nan,0.02406205231670349,0.0120504119350164,1.9967825536970527
edb,phi0.75_gamma5,fr_rate,harm,0,-10.628994894112955,-11.599903081516135,-18.710564786705138,-2.309277601612294,18.827409781223547,0.3,,,20,20,20,matched_seed,512.0,80000.0,40.0,False,219.619140625,2.3436431188450273,5.490478515625,nan,nan,444.1357007648917,2.648491693739494,0.451107472486056,0.451107472486056,1.0,0.0,0.7080078785675129,nan,1.0,nan,0.024527775745403935,0.012283648863012468,1.9967825536970527
edb,phi0.75_gamma50,fr_rate,harm,0,-17.26993152722205,-18.909311172669153,-28.803584072247588,-6.410083320270105,29.35337846628563,0.3,,,20,20,20,matched_seed,512.0,80000.0,40.0,False,225.0224609375,2.354150597918708,5.6255615234375,nan,nan,453.76328925862407,2.657785393808734,0.4584795674374096,0.4584795674374096,1.0,0.0,0.7173608451337135,nan,1.0,nan,0.02315241555059852,0.01159486069613925,1.9967825536970527
