source,physics_tag,method,n_replicas,n_steps,budget,beta,h,M,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,complete,target_steps
serial,b1_h2_w2_n10_a1.5,serial_abf,1,30720000,30720000,1.0,2.0,100,2.0,10,0.07304091008881176,0.06799531328324056,0.08118169016672862,0.2965569427306398,0.2802513483658603,0.3022464947793662,4879.986816290898,4369.607146577532,5268.565199545447,1,30720000
serial,b2_h6_w2_n10_a1.5,serial_abf,1,30720000,30720000,2.0,6.0,100,12.0,5,0.023384033935524382,0.023348107679228118,0.02389881960283377,0.09947982582501483,0.09880579666470078,0.10140631455646486,1632.234574525743,1541.08923424233,1906.588615954809,1,30720000
serial,b4_h1_w2_n10_a1.5,serial_abf,1,30720000,30720000,4.0,1.0,100,4.0,5,0.004072691152726866,0.004013186493552829,0.007030040517617625,0.029645280500058765,0.029195043827153308,0.03520750038980395,669.6166005116821,547.9063509871446,700.1564632857863,1,30720000
equal_compute,b1_h2_w2_n10_a1.5,abf,512,240000,122880000,1.0,2.0,100,2.0,8,0.08318804373748948,0.07647558580220906,0.08426829137770425,0.3153757256529407,0.3054403379082195,0.32297212632752825,62.08742621493162,60.602908925256436,63.50054191319293,,
equal_compute,b1_h2_w2_n10_a1.5,fr_estimated,512,240000,122880000,1.0,2.0,100,2.0,8,0.03638975403003791,0.03421076823664854,0.03954540587516626,0.25274352537449146,0.24272172158407487,0.25904068870162134,42.542429348672464,39.5680512929585,46.95094130560245,,
equal_compute,b1_h2_w2_n10_a1.5,abf,1024,120000,122880000,1.0,2.0,100,2.0,8,0.08668979744686822,0.08497788209593317,0.08946651042915202,0.325448687411273,0.3165534485910464,0.32916210959962183,40.01885341154254,38.983554092635195,42.23520640673143,,
equal_compute,b1_h2_w2_n10_a1.5,fr_estimated,1024,120000,122880000,1.0,2.0,100,2.0,8,0.041206859208473515,0.038331144930727125,0.042029215106895994,0.2522026174427834,0.25059310844326277,0.25678954019382205,33.389294349964075,31.397614668649524,34.31336061042072,,
equal_compute,b1_h2_w2_n10_a1.5,abf,2048,60000,122880000,1.0,2.0,100,2.0,8,0.10612035363001289,0.10342725006179387,0.10740255678507755,0.37218840717040225,0.36599803881552495,0.3844296734794037,29.229611528293837,27.927721481436517,29.588403832222703,,
equal_compute,b1_h2_w2_n10_a1.5,fr_estimated,2048,60000,122880000,1.0,2.0,100,2.0,8,0.05861065117182324,0.054372908594330235,0.060347670817784485,0.2856623113644708,0.2824415916231311,0.29070267781440673,24.3370886863504,23.754609950554745,25.375109062287923,,
equal_compute,b1_h2_w2_n10_a1.5,abf,2048,120000,245760000,1.0,2.0,100,2.0,8,0.09187351010770198,0.09069751263847883,0.09224974930363064,0.34037809528735985,0.33437717970009395,0.34368451227048136,39.14612960630298,38.28845199255281,41.00438384084823,,
equal_compute,b2_h6_w2_n10_a1.5,abf,512,240000,122880000,2.0,6.0,100,12.0,8,0.024880508249986145,0.024360778736688272,0.02622190075422126,0.14236249758634661,0.14065897384066944,0.14522106819244476,51.32458398544522,47.36124387835176,51.80587362560691,,
equal_compute,b2_h6_w2_n10_a1.5,fr_estimated,512,240000,122880000,2.0,6.0,100,12.0,8,0.017543035039447076,0.017278766627089895,0.018499796065830593,0.12960889477806486,0.12898832805424917,0.1304836397040597,51.6352373961953,41.23318938376072,55.21188767749534,,
equal_compute,b2_h6_w2_n10_a1.5,abf,1024,120000,122880000,2.0,6.0,100,12.0,8,0.027859839032988255,0.02529012282337806,0.02891701237055534,0.1660322622125785,0.16210023013563973,0.16777527596465966,44.85091366439953,38.5587390159716,60.060158631643944,,
equal_compute,b2_h6_w2_n10_a1.5,fr_estimated,1024,120000,122880000,2.0,6.0,100,12.0,8,0.01902880062032001,0.018081490925938176,0.019535426879891044,0.14965144328785435,0.14762575801497116,0.15258693286446456,42.65847015716275,36.87711096352945,60.14953375603712,,
equal_compute,b2_h6_w2_n10_a1.5,abf,2048,60000,122880000,2.0,6.0,100,12.0,8,0.026871495890630037,0.02558938373749539,0.027324423193341184,0.1860606832187946,0.18405365590312306,0.1896857788587144,27.4947232530078,24.47775065631891,30.08617983342002,,
