cell,kind,n_families,n_criteria_fired,verdict,norm_final_l2_F,final_quarter_decrease,fam_convergence,fam_support,fam_mixing,fam_conditional,c1_normL2_above_floor,c2_plateau_and_high,c3_low_support_20pct,c4_poor_mixing,c5_conditional_biased
screen_dist_butane_b1_trans_g256,dist,0,0,easy,0.0509127704898118,0.030778044127719326,False,False,False,False,False,False,False,False,False
screen_dist_butane_b2_trans_g256,dist,0,0,easy,0.09091250994557984,0.0927199247267174,False,False,False,False,False,False,False,False,False
screen_dist_butane_b3_trans_g256,dist,1,2,intermediate,0.1401969410016208,-0.09337372838028253,True,False,False,False,True,True,False,False,False
