step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,row,seed
10000,A2,0.0,30,False,0.0,0.0,0,0.0,False,0,5200
10000,A2,0.31846178705040096,32,False,0.0,0.0,0,0.0,False,1,5201
10000,A2,0.0,30,False,0.0,0.0,0,0.0,False,2,5202
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,3,5203
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,4,5204
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,5,5205
10000,A2,0.0933559379707479,32,False,0.0,0.0,0,0.0,False,6,5206
10000,A2,0.0,30,False,0.0,0.0,0,0.0,False,7,5207
10000,A2,0.0,29,False,0.0,0.0,0,0.0,False,8,5208
10000,A2,0.0,29,False,0.0,0.0,0,0.0,False,9,5209
10000,A2,0.0,30,False,0.0,0.0,0,0.0,False,10,5210
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,11,5211
10000,A2,0.0,29,False,0.0,0.0,0,0.0,False,12,5212
10000,A2,0.0,28,False,0.0,0.0,0,0.0,False,13,5213
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,14,5214
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,15,5215
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,0,5200
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,1,5201
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,2,5202
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,3,5203
10500,A2,0.0,28,False,0.0,0.0,0,0.0,False,4,5204
10500,A2,0.0,28,False,0.0,0.0,0,0.0,False,5,5205
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,6,5206
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,7,5207
10500,A2,0.0,29,False,0.0,0.0,0,0.0,False,8,5208
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,9,5209
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,10,5210
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,11,5211
10500,A2,0.0,28,False,0.0,0.0,0,0.0,False,12,5212
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,13,5213
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,14,5214
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,15,5215
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,0,5200
11000,A2,0.0,31,False,0.0,0.0,0,0.0,False,1,5201
