init,arm,n_seeds,gamma,baseline_batch,baseline_noise_matched,int_l2_f_pct,int_l2_f_ci95,int_l2_f_ci90,int_l2_f_wins,int_l2_f_abf,int_l2_f_arm,int_l2_fp_pct,int_l2_fp_ci95,int_l2_fp_ci90,int_l2_fp_wins,int_l2_fp_abf,int_l2_fp_arm,integrated_deficit_pct,integrated_deficit_ci95,integrated_deficit_ci90,integrated_deficit_wins,integrated_deficit_abf,integrated_deficit_arm,T_est_pct,T_est_ci95,T_est_ci90,T_est_wins,T_est_abf,T_est_arm,T_hit_pct,T_hit_ci95,T_hit_ci90,T_hit_wins,T_hit_abf,T_hit_arm,frozen_l2_f_kT_pct,frozen_l2_f_kT_ci95,frozen_l2_f_kT_ci90,frozen_l2_f_kT_wins,frozen_l2_f_kT_abf,frozen_l2_f_kT_arm,min_ess_frac,max_wmax,n_die,n_clone,health_ok
left,fr_estimated,32,1.5,all,True,-12.477509411559378,"[-16.296695461127015, -9.838758430782999]","[-15.29613475232185, -10.560237264169114]",31,1.0633033615362648,0.9247463183942095,-17.77553907280766,"[-21.99514496976495, -15.980227908457415]","[-21.381446191214682, -16.38430258453042]",32,6.277032627003221,5.130478788474052,-60.96477119719794,"[-61.6636254969437, -58.355862059250846]","[-61.657098096944175, -58.40492473566642]",32,7.659829229495862,3.019496194739131,-75.82417582417582,"[-76.66666666666667, -75.55555555555556]","[-76.63120567375887, -75.55555555555556]",32,18.0,4.4,-12.499999999999996,"[-18.253968253968257, 0.0]","[-14.285714285714297, 0.0]",20,1.6,1.4000000000000001,-10.188853042262249,"[-13.65397392116428, -5.948469156163185]","[-12.870854444964024, -6.001297567432194]",24,0.06519079507461306,0.06318470023551157,0.4025961097924188,0.0126953125,6159.0,5202.5,True
left,sham_practical,32,1.5,all,True,1.9146147629135428,"[-2.3451678056857435, 6.077900091939584]","[-1.8735661841940756, 5.399982250884426]",14,1.0633033615362648,1.0701360921384797,0.13245432673080101,"[-3.919310438016094, 3.971027334783652]","[-3.3824643855173573, 3.9015049553315464]",16,6.277032627003221,6.284423000585484,-0.23043154823305384,"[-3.0509237435850256, 1.5914222667486584]","[-2.9864172561405002, 0.6927519118911658]",17,7.659829229495862,7.579519992505425,1.1111111111111072,"[-2.2727272727272845, 4.444444444444448]","[-2.1739130434782723, 4.081632653061228]",13,18.0,18.3,0.0,"[-4.999999999999999, 13.392857142857139]","[0.0, 12.499999999999996]",11,1.6,1.8,1.139668878716558,"[-3.114281614781516, 8.211058770065822]","[-2.938084798372783, 4.51386725926077]",15,0.06519079507461306,0.0747901605554667,0.6104326788448062,0.00341796875,6159.0,5202.5,True
left,fr_oracle,32,0.5,all,True,-10.01317548684743,"[-14.469611617688386, -6.225870800984292]","[-12.546083095106097, -6.993061169743498]",26,1.0633033615362648,0.9517168218661027,-5.283949917661598,"[-9.147278904774538, -2.304034310003425]","[-9.111201951684128, -2.529286113530618]",23,6.277032627003221,5.9911877424459234,-76.7341982256072,"[-77.41581993802501, -75.6276253837946]","[-77.34791503631273, -75.74514071881318]",32,7.659829229495862,1.8124015574412518,-67.77777777777777,"[-68.85304659498206, -67.04545454545455]","[-68.81720430107526, -67.04545454545455]",32,18.0,5.800000000000001,-9.999999999999998,"[-16.249999999999996, 11.805555555555554]","[-12.499999999999996, 11.111111111111109]",17,1.6,1.6,-7.609265136249152,"[-12.956524452214442, -0.613935857221309]","[-12.333192872116758, -1.4659565617730557]",21,0.06519079507461306,0.06382209359219738,0.6303507253538099,0.00537109375,1825.5,1965.5,True
left,sham_oracle,32,0.5,all,True,6.266477846778519,"[-0.9511815360861795, 7.972907443663221]","[-0.41123071431079505, 7.622743225334781]",12,1.0633033615362648,1.0983755866059992,1.3695250895727789,"[-3.309406542851396, 7.406811849326074]","[-1.7352009010800598, 7.219048669345674]",13,6.277032627003221,6.365405990333757,-1.9999073265073026,"[-4.080508595148249, -0.14908957809999657]","[-3.9538491638035023, -0.49955447040783835]",21,7.659829229495862,7.573248752735964,0.0,"[-1.0752688172042972, 3.194444444444452]","[-1.030927835051561, 2.248062015503888]",12,18.0,18.0,11.805555555555554,"[0.0, 12.499999999999996]","[0.0, 12.499999999999996]",9,1.6,1.8,0.5692027477462721,"[-2.924944299505278, 3.092932677091616]","[-2.4780602520258643, 2.4776299682589937]",15,0.06519079507461306,0.0674590702740474,0.7259837849520736,0.00244140625,1825.5,1965.5,True
one_right,fr_estimated,32,1.5,all,True,-12.13831391353896,"[-15.076953885379002, -5.40173373008537]","[-14.907222267824398, -5.94392438037789]",26,0.9099530202654385,0.8148970296077873,-16.31367013035197,"[-20.891924860966093, -9.675024189616135]","[-19.92238823654125, -11.635952929956066]",27,5.104863356057557,4.328659276607727,-52.23685125863891,"[-55.07517714135247, -49.41321107176392]","[-53.81126099645894, -50.07488005691393]",32,9.41484589337766,4.488603949582819,-77.08333333333334,"[-77.41935483870968, -75.7088122605364]","[-77.41935483870968, -75.86206896551724]",32,18.6,4.2,-100.0,"[-100.0, -99.99999999999999]","[-100.0, -100.0]",4,0.0,0.0,-10.26544866013783,"[-15.494369320189751, -4.320393006606089]","[-15.46000471502413, -4.580436817233366]",26,0.07104780103320485,0.06685263251458917,0.36967513843203204,0.01318359375,6105.0,5121.5,True
one_right,sham_practical,32,1.5,all,True,1.567587713330513,"[-4.328076815919236, 6.601019110315891]","[-3.385921531161147, 4.708397610426103]",15,0.9099530202654385,0.9264466460079868,9.83874760959828,"[-6.1186079632107795, 21.38138274386831]","[-5.9757346089338315, 19.13115981086528]",13,5.104863356057557,5.445251589742151,-2.5239291757693265,"[-10.522575926755074, 3.7469342701986292]","[-10.320462348633814, 2.505430434500767]",20,9.41484589337766,9.33417756865633,-0.5208333333333315,"[-7.334869431643629, 3.448275862068953]","[-7.142857142857138, 3.4090909090908967]",16,18.6,18.2,-100.0,"[-100.0, -99.99999999999999]","[-100.0, -99.99999999999999]",4,0.0,0.0,-2.612730939314048,"[-8.127816649483846, 0.21491739540827098]","[-5.672034987079925, 0.07780083727077966]",20,0.07104780103320485,0.06777678325296069,0.6068148680879994,0.00341796875,6105.0,5121.5,True
one_right,fr_oracle,32,0.5,all,True,-9.798460286251423,"[-13.9967029639287, -6.223230781484212]","[-13.871275320271263, -6.241720459841008]",27,0.9099530202654385,0.8346861191373056,-4.3070246822476,"[-12.775757280350508, -0.8194460460786467]","[-12.157685575490017, -1.3276226084866427]",22,5.104863356057557,5.075709449255148,-64.82361571686397,"[-67.63499033388007, -62.29884688888718]","[-67.43988755270172, -62.85070945655134]",32,9.41484589337766,3.299280155793645,-68.42105263157895,"[-68.81720430107526, -67.41658240647118]","[-68.81720430107526, -67.44186046511626]",32,18.6,5.800000000000001,-100.0,"[-100.0, -63.63636363636363]","[-100.0, -63.63636363636363]",4,0.0,0.0,-7.406441037369017,"[-11.456581225031812, -4.781221045318569]","[-10.694330618583388, -5.214685822686111]",23,0.07104780103320485,0.06590983126598757,0.6272588643540699,0.0048828125,1865.0,1975.0,True
one_right,sham_oracle,32,0.5,all,True,1.159973664991925,"[-4.289771893388623, 4.305082729185484]","[-3.6757892463457456, 4.023860467375929]",14,0.9099530202654385,0.9237562690169345,7.056198696189022,"[-7.397397189815799, 16.424016279083958]","[-5.913560743377374, 14.970602293147945]",14,5.104863356057557,5.512003041571525,-3.276940031432542,"[-9.553040557083875, 2.1911393453791486]","[-8.565469921718048, 1.079992421121993]",18,9.41484589337766,9.114939779689728,-2.769423558897233,"[-5.7210031347962484, -1.0752688172042972]","[-4.545454545454549, -1.0752688172042972]",22,18.6,17.9,-100.0,"[-100.0, 14.285714285714281]","[-100.0, 14.285714285714281]",3,0.0,0.0,-3.980662244720804,"[-11.311151378566844, 0.8995067811686576]","[-8.100303094399878, -0.8209446744544406]",21,0.07104780103320485,0.06782162842403129,0.721380857378237,0.00244140625,1865.0,1975.0,True
