ema	gpu	pid	config	out_dir	log
0.00025	0	134179	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p00025.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p00025	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p00025.log
0.0005	1	134184	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p0005.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p0005	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p0005.log
0.001	2	134189	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p001.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p001	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p001.log
0.002	3	134194	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p002.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p002	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p002.log
0.005	4	134198	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p005.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p005	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p005.log
0.01	5	134204	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p01.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p01	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p01.log
0.02	6	134209	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p02.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p02	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p02.log
0.05	7	134214	experiments/entropy_dominant_bottleneck/configs/ema_tuning/ema_0p05.yaml	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/ema_0p05	results/entropy_dominant_bottleneck_ema_tuning/ema_sweep_20260615_174955/logs/ema_0p05.log
