run_id,study,stage,name,method,seed,beta,h,w,n_dim,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_gamma_from_barrier,n_steps,n_replicas,had_nan,l2_f_common,l2_fp_common,l2_f_native,l2_fp_native,primary_estimator,l2_f_compact,l2_fp_compact,l2_f_transition,l2_fp_transition,l2_f_stretched,l2_fp_stretched,integrated_l2_f,normalized_anytime_l2_f,tau_abs,tau_rel,marginal_kl,marginal_tv,marginal_entropy,min_density,covered_fraction,marginal_l2_ref,marginal_l2_uniform,n_round_trips,n_barrier_crossings,n_compact_to_stretched,n_stretched_to_compact,first_passage_step,iat_frac_compact,mixing_ess,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,opes_max_bias,opes_sigma_cur_final,runtime_seconds,wall_seconds,budget,force_evaluations,device,cuda_visible_devices
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,50,0.05,24.0,,40000,0,False,0.3130632132135416,2.537387168328182,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.837760410271585,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,50,0.08,24.0,,40000,0,False,0.4117648173188547,3.1075795904442227,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.829001547768712,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,50,0.12,24.0,,40000,0,False,0.4511227105480627,3.4524110958489347,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.966147913597524,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,100,0.03,32.0,,40000,0,False,0.32045934920582275,2.6296952651475913,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.764430176466703,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,100,0.05,32.0,,40000,0,False,0.32021827072920456,2.659878923598744,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.70751505624503,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,100,0.08,32.0,,40000,0,False,0.4218290444327545,3.160913115506413,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.91476754564792,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,100,0.12,32.0,,40000,0,False,0.45294430007798975,3.452945167542292,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.01873266045004,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,200,0.03,32.0,,40000,0,False,0.24044111737413323,2.0735223678851793,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.879480574280024,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,200,0.05,32.0,,40000,0,False,0.31891607902125146,2.589235663457503,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.849866843782365,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,4.0,200,0.08,32.0,,40000,0,False,0.42216947077556716,3.1611884795326213,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.879486043937504,nan,nan,0.0,,
