study,stage,name,beta,h,n_dim,a,opes_barrier,opes_pace,opes_sigma,opes_gamma,n_seeds,n_nan,l2_f_common_mean,l2_f_common_std,l2_f_common_sem,l2_f_common_ci95,l2_fp_common_mean,l2_fp_common_std,l2_fp_common_sem,l2_fp_common_ci95,l2_f_native_mean,l2_f_native_std,l2_f_native_sem,l2_f_native_ci95,l2_fp_native_mean,l2_fp_native_std,l2_fp_native_sem,l2_fp_native_ci95,integrated_l2_f_mean,integrated_l2_f_std,integrated_l2_f_sem,integrated_l2_f_ci95,normalized_anytime_l2_f_mean,normalized_anytime_l2_f_std,normalized_anytime_l2_f_sem,normalized_anytime_l2_f_ci95,tau_abs_mean,tau_abs_std,tau_abs_sem,tau_abs_ci95,tau_rel_mean,tau_rel_std,tau_rel_sem,tau_rel_ci95,marginal_kl_mean,marginal_kl_std,marginal_kl_sem,marginal_kl_ci95,marginal_tv_mean,marginal_tv_std,marginal_tv_sem,marginal_tv_ci95,covered_fraction_mean,covered_fraction_std,covered_fraction_sem,covered_fraction_ci95,n_round_trips_mean,n_round_trips_std,n_round_trips_sem,n_round_trips_ci95,first_passage_step_mean,first_passage_step_std,first_passage_step_sem,first_passage_step_ci95,opes_neff_frac_min_mean,opes_neff_frac_min_std,opes_neff_frac_min_sem,opes_neff_frac_min_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem,runtime_seconds_ci95
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,50,0.05,24.0,2,0,0.30049216710197374,0.0177781439041968,0.01257104611156784,0.024639250378672966,2.411989444737937,0.17733916139203712,0.125397723590245,0.2457795382368802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.158787854015827,0.4540013648370731,0.32102744374424214,0.6292137897387146
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,50,0.08,24.0,2,0,0.4091876322816566,0.0036446900323505844,0.0025771850371981153,0.005051282672908306,3.0850297633955313,0.031890271241427445,0.022549827048691684,0.0441976610154357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.53299514669925,0.4186162669416834,0.2960064010694623,0.5801725460961461
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,50,0.12,24.0,2,0,0.46921011090477305,0.025579446892531787,0.018087400356710387,0.03545130469915236,3.671866608213799,0.3103569619239278,0.21945551236486446,0.43013280423513434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.965458248741925,0.0009753333922807584,0.0006896648555994034,0.0013517431169748305
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,100,0.03,32.0,2,0,0.2668954209640564,0.07575083377348521,0.05356392824176634,0.10498529935386203,2.2942963894844164,0.47432563876754974,0.33539887566317517,0.6573817962998233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.69946991885081,0.09186767733564755,0.06496025761589408,0.1273221049271524
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,100,0.05,32.0,2,0,0.3018387638043292,0.025992547962888912,0.01837950692487533,0.03602383357275565,2.4644924422149286,0.2763182118773499,0.1953864813838153,0.38295750351227803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.847533628344536,0.19801616364723765,0.14001857209950686,0.27443640131503344
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,100,0.08,32.0,2,0,0.4183621813397659,0.0049028848049952195,0.003466863092988603,0.006795051662257662,3.1349269232102213,0.03675002557971017,0.02598619229619214,0.05093293690053659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.953895509708673,0.05533529744276476,0.039127964060753584,0.07669080955907702
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,100,0.12,32.0,2,0,0.4707940669519548,0.025243382398359427,0.017849766873965084,0.03498554307297157,3.671830378144854,0.3095504334370341,0.2188852106025618,0.4290150127810211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.01114012906328,0.010737460859903436,0.007592531386762857,0.014881361518055199
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,200,0.03,32.0,2,0,0.22844333782573378,0.01696742255570907,0.011997779548399463,0.023515647914862946,2.003441559808999,0.0991092292433997,0.07008080807618,0.1373583838293128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.8819961999543,0.0035576319464172648,0.002515625674277544,0.0049306263215839865
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,200,0.05,32.0,2,0,0.3019062196070029,0.024055573877689994,0.017009859414248565,0.03333932445192719,2.432158232197712,0.22214103363032417,0.15707743125979112,0.3078717652691906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.848742528818548,0.0015900214702098605,0.0011243149638175962,0.0022036573290824886
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,200,0.08,32.0,2,0,0.41843471088582973,0.005281748088273675,0.003734759889737399,0.007320129383885302,3.1356349420176146,0.036138159320332416,0.025553537515006886,0.0500849335294135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.855097085703164,0.034491195507154536,0.024388958234339952,0.047802358139306306
