init,seed,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Ar_dI_raw,V_Ar_dF_raw,V_Fr_dI_raw,V_Fr_dF_raw,V_Tr_dI_raw,V_Tr_dF_raw,V_Tm_dI_raw,V_Tm_dF_raw,PRIMARY_dI_0.0175,PRIMARY_dF_0.0175,S1_dI_0.0175,S1_dF_0.0175,S2_dI_0.0175,S2_dF_0.0175,S3_dI_0.0175,S3_dF_0.0175,S4_dI_0.0175,S4_dF_0.0175,S5_dI_0.0175,S5_dF_0.0175,V_F0_dI_0.0175,V_F0_dF_0.0175,V_T0_dI_0.0175,V_T0_dF_0.0175,V_Ar_dI_0.0175,V_Ar_dF_0.0175,V_Fr_dI_0.0175,V_Fr_dF_0.0175,V_Tr_dI_0.0175,V_Tr_dF_0.0175,V_Tm_dI_0.0175,V_Tm_dF_0.0175
left,1300,-28.362,-3.064,29.361,143.513,-2.668,-8.947,-44.621,-60.193,-12.519,-60.515,-39.409,-66.909,-37.969,-58.074,3.431,15.669,-12.519,-60.515,-51.554,-84.282,-37.330,-61.724,-39.003,-65.149,-25.981,8.328,28.050,78.955,-2.720,-7.474,-42.195,-39.466,-14.785,-61.892,-40.449,-65.529,-36.661,-54.611,5.918,19.759,-14.785,-61.892,-50.742,-76.932,-36.924,-58.718,-38.640,-61.804
left,1301,-16.426,14.822,8.970,123.437,3.176,10.668,-23.306,-48.611,-26.917,-72.446,-41.855,-65.253,-34.478,-78.737,5.045,-8.947,-26.917,-72.446,-43.950,-85.840,-38.922,-68.362,-36.982,-64.987,-16.161,24.477,10.910,84.126,3.188,8.780,-24.408,-32.395,-27.098,-72.412,-41.879,-62.970,-31.881,-76.684,5.162,-7.262,-27.098,-72.412,-44.891,-81.349,-38.879,-65.659,-36.930,-62.644
left,1302,-22.881,56.229,26.067,126.142,0.083,18.626,-38.827,-30.916,-27.412,-76.516,-45.359,-71.340,-36.291,-61.405,2.447,28.016,-27.412,-76.516,-55.596,-83.776,-44.021,-63.311,-43.975,-56.477,-18.579,80.257,28.397,88.815,0.255,19.571,-36.586,-4.533,-28.486,-78.494,-45.056,-70.815,-35.104,-57.525,5.976,32.830,-28.486,-78.494,-54.650,-79.469,-41.772,-61.234,-41.624,-53.647
left,1303,3.945,54.008,22.590,231.830,-1.209,-18.763,-15.209,-53.588,-35.107,-68.715,-39.985,-59.911,-20.804,-71.158,12.393,20.187,-35.107,-68.715,-44.977,-85.480,-32.547,-51.818,-33.362,-60.859,6.333,54.610,22.042,142.577,-1.457,-18.855,-12.872,-36.263,-35.741,-66.876,-40.143,-58.343,-19.445,-68.989,14.153,22.938,-35.741,-66.876,-44.013,-78.888,-31.672,-48.787,-32.668,-58.443
left,1304,-18.255,11.602,11.854,185.299,-1.883,0.669,-26.918,-60.882,-30.950,-64.823,-43.611,-62.742,-36.614,-69.398,0.099,5.367,-30.950,-64.823,-49.537,-86.240,-43.555,-60.742,-44.618,-60.479,-12.775,20.530,11.498,114.866,-2.257,1.036,-21.770,-43.904,-33.151,-65.241,-43.729,-61.187,-35.220,-65.709,3.622,7.939,-33.151,-65.241,-47.704,-80.502,-41.691,-58.105,-43.007,-57.671
left,1305,-4.721,65.636,25.429,182.643,-1.927,-9.004,-24.038,-41.398,-32.247,-77.608,-43.493,-63.521,-28.512,-60.800,14.240,1.672,-32.247,-77.608,-48.534,-86.878,-35.446,-62.911,-36.690,-66.250,-0.526,95.754,26.863,113.663,-1.621,-9.545,-21.589,-8.382,-32.984,-79.119,-43.403,-61.164,-27.033,-58.013,17.785,5.252,-32.984,-79.119,-47.452,-80.869,-33.337,-59.124,-34.417,-63.026
left,1306,-12.880,-15.108,26.594,89.801,1.843,19.742,-31.182,-55.273,-26.950,-63.293,-44.610,-74.025,-22.197,-56.859,14.897,19.969,-26.950,-63.293,-49.728,-83.582,-36.358,-68.838,-35.186,-62.686,-11.078,-6.180,30.492,64.995,1.081,17.668,-31.857,-43.138,-27.088,-63.974,-44.585,-72.380,-23.141,-53.359,16.998,22.375,-27.088,-63.974,-50.315,-79.515,-35.165,-66.201,-34.464,-60.229
left,1307,-16.980,26.934,29.032,184.186,-3.817,-1.039,-35.659,-55.334,-26.234,-68.632,-40.544,-63.148,-32.928,-61.070,3.002,8.046,-26.234,-68.632,-52.538,-85.989,-38.759,-60.183,-41.097,-60.596,-16.198,34.695,25.465,138.454,-4.198,-3.007,-33.207,-43.513,-26.274,-68.137,-41.142,-61.157,-31.879,-61.063,4.971,10.492,-26.274,-68.137,-50.756,-82.001,-38.216,-57.082,-40.810,-58.372
left,1308,-16.035,-12.983,41.188,128.891,0.962,19.854,-40.529,-61.983,-35.073,-59.991,-48.112,-67.542,-40.402,-76.707,5.065,7.260,-35.073,-59.991,-61.387,-84.790,-45.484,-65.185,-44.959,-58.273,-11.979,-5.837,47.269,89.574,0.838,18.059,-40.231,-50.329,-37.785,-60.370,-49.623,-65.907,-39.494,-73.241,8.705,9.457,-37.785,-60.370,-62.815,-80.315,-45.238,-62.683,-44.779,-55.944
left,1309,-18.993,16.727,7.953,131.715,-0.935,9.501,-24.960,-49.625,-25.605,-63.979,-45.578,-62.239,-35.050,-63.307,10.738,11.348,-25.605,-63.979,-44.174,-81.854,-39.735,-57.954,-40.298,-53.959,-14.547,26.234,8.823,98.082,-0.798,7.318,-21.475,-36.272,-27.361,-64.339,-45.790,-60.821,-35.011,-59.524,14.504,14.899,-27.361,-64.339,-42.961,-77.274,-37.928,-54.983,-38.423,-51.689
left,1310,-26.740,24.097,16.486,209.622,-0.771,-8.253,-37.108,-59.920,-21.894,-64.719,-42.689,-59.506,-29.199,-46.039,-0.158,8.121,-21.894,-64.719,-50.878,-85.859,-42.780,-56.218,-43.221,-59.831,-25.002,28.612,17.270,149.749,-0.830,-6.440,-36.047,-48.504,-22.605,-63.644,-42.866,-57.825,-26.624,-43.664,1.593,10.869,-22.605,-63.644,-50.504,-81.278,-41.955,-53.241,-42.437,-56.252
