cell,name,final_l2_F,integrated_l2_F,n_transitions,n_round_trips,final_ancestor_ess,fr_event_fraction,n_basins_visited,basin_occupancy_tv,cond_tv_weighted,final_neff_frac
control_joint2d_pentane_b1_dispersed_g48,abf,0.5026190415160792,15.495979318622842,4165805.0,731193.0,,,9.0,0.14597593110034163,0.14947280491281192,
control_joint2d_pentane_b1_dispersed_g48,fr_estimated,0.5030870622200111,15.496411668209348,4166688.5,732585.0,1903.0480105401844,4.524981709547616e-06,9.0,0.14629242471858206,0.14974124533773903,
control_joint2d_pentane_b1_dispersed_g48,opes,0.6386917171588278,22.045546961611105,1449064.5,0.0,,,9.0,0.20064122476916654,0.20492024687548038,0.6072553141323587
production_joint2d_pentane_b2_trans_g48,abf,0.7235562099516584,18.856648298167688,937390.0,236972.5,,,9.0,0.423098885763148,0.38851570657059015,
production_joint2d_pentane_b2_trans_g48,fr_active,0.7302639756377464,18.932348353451705,961725.0,230849.0,715.417176598573,0.00011235689921538676,9.0,0.4394978967387304,0.40411007888350214,
production_joint2d_pentane_b2_trans_g48,fr_estimated,0.7245645153305948,18.864356895000157,938700.0,235832.0,1724.650240761781,1.2679988022496874e-05,9.0,0.4263945787405694,0.39037169726231435,
production_joint2d_pentane_b2_trans_g48,opes,1.6819849461397804,49.38616462533517,7627.0,0.0,,,9.0,0.34117860321481763,0.26804103233819243,0.5709240736849761
