kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_F_eqw,early_l2_F,mid_l2_F,meanforce_vec_err,basin_occupancy_tv,cond_tv_weighted,cond_kl_weighted,n_basins_visited,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,gram_lam_min_min,curl_pre_final,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application,final_neff_frac,final_n_kernels,final_l2_F_reweight
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,1,0.5020576777318349,15.45380517758539,0.4525679466412732,0.5744661290481912,0.5147440680394767,1.9626525584374575,0.1461989712148751,0.1504480345398907,0.07194475150767043,9,4159714,731856,0,,,,1.6170454362607314,1.9684367536514729,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.006707191569376985,0.050211570335742604,,,,,,,
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,2,0.5027434402724978,15.544650293428093,0.45169980436224266,0.5774252871346041,0.5193279674072224,1.961076922570975,0.14586693483286173,0.14924656680548976,0.07137671829677238,9,4165763,738060,0,,,,1.6379544351659143,1.7739367470805363,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.0090267451368705,0.05028015451555174,,,,,,,
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,3,0.5012515950897664,15.424630593622691,0.44781427062548496,0.5717903247553467,0.5147660648664678,1.9631936456026255,0.14429617860144053,0.14887232164879505,0.07104084146381305,9,4174441,730530,0,,,,1.6092521649662417,1.8966635372968903,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.007268317779868181,0.05013095275518593,,,,,,,
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,4,0.5063999047665934,15.585296826685603,0.4588085023243856,0.5769651910475034,0.5198315450577918,1.9685146921659062,0.14889646786892377,0.150409367745709,0.07213129170963176,9,4165847,740227,0,,,,1.640363386407372,1.8233641000325385,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.00772363262992874,0.05064584322477508,,,,,,,
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,5,0.5037259655827209,15.481063741303771,0.45170234924783725,0.5735333315083704,0.516880408860302,1.9647501015456488,0.14608492736782155,0.1496990430201341,0.07168975350615378,9,4167616,730139,0,,,,1.6373164900780826,1.8677573920588029,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.008775895522364028,0.05037841840217088,,,,,,,
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,1268.9075920768082,6,0.5024946427596605,15.510894895941913,0.4479797237847398,0.5807899100820679,0.5169452873385822,1.9693572828902017,0.1443063833146373,0.1480981640614387,0.07018344802876365,9,4158500,730017,0,,,,1.6562085405470743,1.8738925410144174,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.008115708495089661,0.05025527188877541,,,,,,,
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,1,0.5027375348279145,15.468897575874301,0.4546972798424555,0.5744661290484562,0.5151555419411812,1.962129944928194,0.1471612963909167,0.15129149550600324,0.07275140330542809,9,4164180,732320,78,1899.5942028985507,1899.5942028985507,0.00146484375,1.501179038305943,1.8588763717349643,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.007923170851768321,0.050279563902840864,4.6440601755883425e-06,6.8359375e-06,8201.0,0.009511035239604925,,,
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,2,0.5024309223089493,15.54420883184325,0.45010287012062977,0.5774252871381891,0.5199148688389765,1.9602783656260545,0.14516877895354285,0.14833678237658668,0.07054300728635146,9,4166674,736670,72,1913.4598540145985,1913.4598540145985,0.00146484375,1.6523862689725954,1.7316230206748777,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.009573250136330822,0.050248899107251256,4.286824777466163e-06,7.2877798507462685e-06,8201.0,0.008779417144250701,,,
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,3,0.5016623682394661,15.428249724569152,0.4498663670993705,0.571790324755208,0.514462220129355,1.9612718025298228,0.1452431208779387,0.14912807248217771,0.07136618870959338,9,4166703,727589,83,1892.7364620938629,1892.7364620938629,0.00146484375,1.6090159341196975,1.8301885295269817,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.007954210631953253,0.050172034817691905,4.941756340690159e-06,7.8125e-06,8201.0,0.010120716985733446,,,
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,4,0.50682126352132,15.583748007303598,0.4602698419874216,0.57696519104732,0.5194182309344251,1.9683320685901076,0.14958856088150252,0.15076863286511677,0.07241339442103066,9,4170140,740582,68,1920.4688644688645,1920.4688644688645,0.00146484375,1.6194529604846397,1.9099751512341148,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.0064531698865360155,0.05068798397012752,4.048667845384709e-06,5.859375e-06,8201.0,0.008291671747347884,,,
