cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_F_eqw_med,early_l2_F_med,mid_l2_F_med,meanforce_vec_err_med,basin_occupancy_tv_med,cond_tv_weighted_med,cond_kl_weighted_med,n_basins_visited_med,n_transitions_med,n_round_trips_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,gram_lam_min_min_med,curl_pre_final_med,final_quarter_decrease_med,norm_final_l2_F_med,fr_event_fraction_med,max_fr_event_fraction_med,n_fr_applications_med,deaths_per_application_med,final_neff_frac_med,final_n_kernels_med,final_l2_F_reweight_med,n_seeds
control_joint2d_pentane_b1_dispersed_g48,joint2d,pentane,1.0,dispersed,control,abf,abf,2048.0,0.5026190415160792,15.495979318622842,0.45170107680503996,0.5757156600478472,0.516912848099442,1.9639718735741372,0.14597593110034163,0.14947280491281192,0.07153323590146307,9.0,4165805.0,731193.0,0.0,,,,1.6376354626219984,1.8708249665366101,0.0079196705625092,0.050267713202163576,,,,,,,,6
control_joint2d_pentane_b1_dispersed_g48,joint2d,pentane,1.0,dispersed,control,fr_estimated,fr_estimated,2048.0,0.5030870622200111,15.496411668209348,0.4522269310967186,0.5757156600478881,0.516771645606535,1.9636396392986106,0.14629242471858206,0.14974124533773903,0.07179654331418546,9.0,4166688.5,732585.0,76.0,1903.0480105401844,1903.0480105401844,0.00146484375,1.6142344473021686,1.856259442648427,0.007856656014422793,0.050314520681734906,4.524981709547616e-06,7.061858675373134e-06,8201.0,0.009267162541153517,,,,6
control_joint2d_pentane_b1_dispersed_g48,joint2d,pentane,1.0,dispersed,control,opes,opes,2048.0,0.6386917171588278,22.045546961611105,0.6187164508834317,2.337546784970817,0.6227013804973901,2.574848742471957,0.20064122476916654,0.20492024687548038,0.1276296894932648,9.0,1449064.5,0.0,0.0,,,,,,-0.00751384652744069,0.06387655343477522,,,,,0.6072553141323587,2150.0,1.2099841258590562,6
production_joint2d_pentane_b2_trans_g48,joint2d,pentane,2.0,trans,production,abf,abf,2048.0,0.7235562099516584,18.856648298167688,0.5144957990968507,0.8925009130684632,0.7303081356449044,3.0982107064054847,0.423098885763148,0.38851570657059015,0.4861387608053722,9.0,937390.0,236972.5,0.0,,,,1.974583618183182,10.16360154973533,0.00395945284503616,0.0723776673259847,,,,,,,,6
production_joint2d_pentane_b2_trans_g48,joint2d,pentane,2.0,trans,production,fr_active,fr_estimated,2048.0,0.7302639756377464,18.932348353451705,0.5341927134744686,0.8925009130527994,0.7380163914434957,3.0998139353364147,0.4394978967387304,0.40411007888350214,0.5230375853239206,9.0,961725.0,230849.0,1657.0,715.417176598573,715.417176598573,0.006103515625,1.9784382559085658,10.953951292136551,0.003218394196914966,0.07304864827625637,0.00011235689921538676,0.00012890625,7201.0,0.23010692959311208,,,,6
production_joint2d_pentane_b2_trans_g48,joint2d,pentane,2.0,trans,production,fr_estimated,fr_estimated,2048.0,0.7245645153305948,18.864356895000157,0.518591635968495,0.8925009130527632,0.7321253749336838,3.0989776403657867,0.4263945787405694,0.39037169726231435,0.4899220981543663,9.0,938700.0,235832.0,187.0,1724.650240761781,1724.650240761781,0.001953125,1.981426613332434,10.272175706357933,0.0046016935805287245,0.07247852858634835,1.2679988022496874e-05,1.611328125e-05,7201.0,0.0259686154700736,,,,6
production_joint2d_pentane_b2_trans_g48,joint2d,pentane,2.0,trans,production,opes,opes,2048.0,1.6819849461397804,49.38616462533517,1.5085457660883765,2.3260587758283995,1.8899745812263715,4.775284415112557,0.34117860321481763,0.26804103233819243,0.3990742816516191,9.0,7627.0,0.0,0.0,,,,,,0.05619606611516747,0.16824974370291534,,,,,0.5709240736849761,392.0,3.9209590803662504,6
